experiment_id,dataset,model,num_layers,hidden_channels,seed,split_idx
0,Actor,GCN,2,64,1,0
1,Actor,GCN,2,64,1,1
2,Actor,GCN,2,64,1,2
3,Actor,GCN,2,64,1,3
4,Actor,GCN,2,64,1,4
5,Actor,GCN,2,64,1,5
6,Actor,GCN,2,64,1,6
7,Actor,GCN,2,64,1,7
8,Actor,GCN,2,64,1,8
9,Actor,GCN,2,64,1,9
10,Actor,GCN,2,128,1,0
11,Actor,GCN,2,128,1,1
12,Actor,GCN,2,128,1,2
13,Actor,GCN,2,128,1,3
14,Actor,GCN,2,128,1,4
15,Actor,GCN,2,128,1,5
16,Actor,GCN,2,128,1,6
17,Actor,GCN,2,128,1,7
18,Actor,GCN,2,128,1,8
19,Actor,GCN,2,128,1,9
20,Actor,GCN,4,64,1,0
21,Actor,GCN,4,64,1,1
22,Actor,GCN,4,64,1,2
23,Actor,GCN,4,64,1,3
24,Actor,GCN,4,64,1,4
25,Actor,GCN,4,64,1,5
26,Actor,GCN,4,64,1,6
27,Actor,GCN,4,64,1,7
28,Actor,GCN,4,64,1,8
29,Actor,GCN,4,64,1,9
30,Actor,GCN,4,128,1,0
31,Actor,GCN,4,128,1,1
32,Actor,GCN,4,128,1,2
33,Actor,GCN,4,128,1,3
34,Actor,GCN,4,128,1,4
35,Actor,GCN,4,128,1,5
36,Actor,GCN,4,128,1,6
37,Actor,GCN,4,128,1,7
38,Actor,GCN,4,128,1,8
39,Actor,GCN,4,128,1,9
40,Actor,GAT,2,64,1,0
41,Actor,GAT,2,64,1,1
42,Actor,GAT,2,64,1,2
43,Actor,GAT,2,64,1,3
44,Actor,GAT,2,64,1,4
45,Actor,GAT,2,64,1,5
46,Actor,GAT,2,64,1,6
47,Actor,GAT,2,64,1,7
48,Actor,GAT,2,64,1,8
49,Actor,GAT,2,64,1,9
50,Actor,GAT,2,128,1,0
51,Actor,GAT,2,128,1,1
52,Actor,GAT,2,128,1,2
53,Actor,GAT,2,128,1,3
54,Actor,GAT,2,128,1,4
55,Actor,GAT,2,128,1,5
56,Actor,GAT,2,128,1,6
57,Actor,GAT,2,128,1,7
58,Actor,GAT,2,128,1,8
59,Actor,GAT,2,128,1,9
60,Actor,GAT,4,64,1,0
61,Actor,GAT,4,64,1,1
62,Actor,GAT,4,64,1,2
63,Actor,GAT,4,64,1,3
64,Actor,GAT,4,64,1,4
65,Actor,GAT,4,64,1,5
66,Actor,GAT,4,64,1,6
67,Actor,GAT,4,64,1,7
68,Actor,GAT,4,64,1,8
69,Actor,GAT,4,64,1,9
70,Actor,GAT,4,128,1,0
71,Actor,GAT,4,128,1,1
72,Actor,GAT,4,128,1,2
73,Actor,GAT,4,128,1,3
74,Actor,GAT,4,128,1,4
75,Actor,GAT,4,128,1,5
76,Actor,GAT,4,128,1,6
77,Actor,GAT,4,128,1,7
78,Actor,GAT,4,128,1,8
79,Actor,GAT,4,128,1,9
80,Actor,GraphSAGE,2,64,1,0
81,Actor,GraphSAGE,2,64,1,1
82,Actor,GraphSAGE,2,64,1,2
83,Actor,GraphSAGE,2,64,1,3
84,Actor,GraphSAGE,2,64,1,4
85,Actor,GraphSAGE,2,64,1,5
86,Actor,GraphSAGE,2,64,1,6
87,Actor,GraphSAGE,2,64,1,7
88,Actor,GraphSAGE,2,64,1,8
89,Actor,GraphSAGE,2,64,1,9
90,Actor,GraphSAGE,2,128,1,0
91,Actor,GraphSAGE,2,128,1,1
92,Actor,GraphSAGE,2,128,1,2
93,Actor,GraphSAGE,2,128,1,3
94,Actor,GraphSAGE,2,128,1,4
95,Actor,GraphSAGE,2,128,1,5
96,Actor,GraphSAGE,2,128,1,6
97,Actor,GraphSAGE,2,128,1,7
98,Actor,GraphSAGE,2,128,1,8
99,Actor,GraphSAGE,2,128,1,9
100,Actor,GraphSAGE,4,64,1,0
101,Actor,GraphSAGE,4,64,1,1
102,Actor,GraphSAGE,4,64,1,2
103,Actor,GraphSAGE,4,64,1,3
104,Actor,GraphSAGE,4,64,1,4
105,Actor,GraphSAGE,4,64,1,5
106,Actor,GraphSAGE,4,64,1,6
107,Actor,GraphSAGE,4,64,1,7
108,Actor,GraphSAGE,4,64,1,8
109,Actor,GraphSAGE,4,64,1,9
110,Actor,GraphSAGE,4,128,1,0
111,Actor,GraphSAGE,4,128,1,1
112,Actor,GraphSAGE,4,128,1,2
113,Actor,GraphSAGE,4,128,1,3
114,Actor,GraphSAGE,4,128,1,4
115,Actor,GraphSAGE,4,128,1,5
116,Actor,GraphSAGE,4,128,1,6
117,Actor,GraphSAGE,4,128,1,7
118,Actor,GraphSAGE,4,128,1,8
119,Actor,GraphSAGE,4,128,1,9
