experiment_id,dataset,model,num_layers,hidden_channels,seed,split_idx,lr
0,Amazon-Ratings,GraphSAGE,4,128,1,0,0.005
1,Amazon-Ratings,GraphSAGE,4,128,1,1,0.005
2,Amazon-Ratings,GraphSAGE,4,128,1,2,0.005
3,Amazon-Ratings,GraphSAGE,4,128,1,3,0.005
4,Amazon-Ratings,GraphSAGE,4,128,1,4,0.005
5,Amazon-Ratings,GraphSAGE,4,128,1,5,0.005
6,Amazon-Ratings,GraphSAGE,4,128,1,6,0.005
7,Amazon-Ratings,GraphSAGE,4,128,1,7,0.005
8,Amazon-Ratings,GraphSAGE,4,128,1,8,0.005
9,Amazon-Ratings,GraphSAGE,4,128,1,9,0.005
10,Amazon-Ratings,GraphSAGEPairNorm,4,128,1,0,0.01
11,Amazon-Ratings,GraphSAGEPairNorm,4,128,1,1,0.01
12,Amazon-Ratings,GraphSAGEPairNorm,4,128,1,2,0.01
13,Amazon-Ratings,GraphSAGEPairNorm,4,128,1,3,0.01
14,Amazon-Ratings,GraphSAGEPairNorm,4,128,1,4,0.01
15,Amazon-Ratings,GraphSAGEPairNorm,4,128,1,5,0.01
16,Amazon-Ratings,GraphSAGEPairNorm,4,128,1,6,0.01
17,Amazon-Ratings,GraphSAGEPairNorm,4,128,1,7,0.01
18,Amazon-Ratings,GraphSAGEPairNorm,4,128,1,8,0.01
19,Amazon-Ratings,GraphSAGEPairNorm,4,128,1,9,0.01
20,Amazon-Ratings,GraphSAGE,8,128,1,0,0.003
21,Amazon-Ratings,GraphSAGE,8,128,1,1,0.003
22,Amazon-Ratings,GraphSAGE,8,128,1,2,0.003
23,Amazon-Ratings,GraphSAGE,8,128,1,3,0.003
24,Amazon-Ratings,GraphSAGE,8,128,1,4,0.003
25,Amazon-Ratings,GraphSAGE,8,128,1,5,0.003
26,Amazon-Ratings,GraphSAGE,8,128,1,6,0.003
27,Amazon-Ratings,GraphSAGE,8,128,1,7,0.003
28,Amazon-Ratings,GraphSAGE,8,128,1,8,0.003
29,Amazon-Ratings,GraphSAGE,8,128,1,9,0.003
30,Amazon-Ratings,GraphSAGEPairNorm,8,128,1,0,0.005
31,Amazon-Ratings,GraphSAGEPairNorm,8,128,1,1,0.005
32,Amazon-Ratings,GraphSAGEPairNorm,8,128,1,2,0.005
33,Amazon-Ratings,GraphSAGEPairNorm,8,128,1,3,0.005
34,Amazon-Ratings,GraphSAGEPairNorm,8,128,1,4,0.005
35,Amazon-Ratings,GraphSAGEPairNorm,8,128,1,5,0.005
36,Amazon-Ratings,GraphSAGEPairNorm,8,128,1,6,0.005
37,Amazon-Ratings,GraphSAGEPairNorm,8,128,1,7,0.005
38,Amazon-Ratings,GraphSAGEPairNorm,8,128,1,8,0.005
39,Amazon-Ratings,GraphSAGEPairNorm,8,128,1,9,0.005
