data_path,dataset,model,num_layers,hidden_channels,seed,split_idx,lr,weight_decay,dropout
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-LR0p001,GraphSAGE,8,128,11,0,0.001,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-LR0p003,GraphSAGE,8,128,11,0,0.003,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-LR0p030,GraphSAGE,8,128,11,0,0.03,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-LR0p001,GraphSAGE,8,128,29,0,0.001,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-LR0p003,GraphSAGE,8,128,29,0,0.003,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-LR0p030,GraphSAGE,8,128,29,0,0.03,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-LR0p001,GraphSAGE,8,128,47,0,0.001,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-LR0p003,GraphSAGE,8,128,47,0,0.003,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-LR0p030,GraphSAGE,8,128,47,0,0.03,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-LR0p001,GraphSAGE,8,128,65,0,0.001,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-LR0p003,GraphSAGE,8,128,65,0,0.003,0.0005,0.5
