data_path,dataset,model,num_layers,hidden_channels,seed,split_idx,lr,weight_decay,dropout
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-PNLR0p001,GraphSAGEPairNorm,8,128,11,0,0.001,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-PNLR0p003,GraphSAGEPairNorm,8,128,11,0,0.003,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-PNLR0p030,GraphSAGEPairNorm,8,128,11,0,0.03,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-PNLR0p001,GraphSAGEPairNorm,8,128,29,0,0.001,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-PNLR0p003,GraphSAGEPairNorm,8,128,29,0,0.003,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-PNLR0p030,GraphSAGEPairNorm,8,128,29,0,0.03,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-PNLR0p001,GraphSAGEPairNorm,8,128,47,0,0.001,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-PNLR0p003,GraphSAGEPairNorm,8,128,47,0,0.003,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-PNLR0p030,GraphSAGEPairNorm,8,128,47,0,0.03,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-PNLR0p001,GraphSAGEPairNorm,8,128,65,0,0.001,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-PNLR0p003,GraphSAGEPairNorm,8,128,65,0,0.003,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-PNLR0p030,GraphSAGEPairNorm,8,128,65,0,0.03,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-PNLR0p001,GraphSAGEPairNorm,8,128,83,0,0.001,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-PNLR0p003,GraphSAGEPairNorm,8,128,83,0,0.003,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed1.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G1-PNLR0p030,GraphSAGEPairNorm,8,128,83,0,0.03,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed2.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G2-PNLR0p001,GraphSAGEPairNorm,8,128,11,0,0.001,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed2.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G2-PNLR0p003,GraphSAGEPairNorm,8,128,11,0,0.003,0.0005,0.5
synthetic_data/csbm_lowlabel_fs050/csbm_h01_seed2.pt,CSBM-H0.1-FS0.50-TR0.05-EPOCH0-G2-PNLR0p030,GraphSAGEPairNorm,8,128,11,0,0.03,0.0005,0.5
