distance,bottleneck_width,model,graph_seed,init_seed,n_sources,hidden_dim,num_layers,train_graphs,val_graphs,test_graphs,batch_size,epochs,patience,lr,weight_decay,dropout
2,1,GraphSAGE,1,11,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGE,1,29,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGE,1,47,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGE,2,11,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGE,2,29,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGE,2,47,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGE,3,11,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGE,3,29,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGE,3,47,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGE,4,11,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGE,4,29,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGE,4,47,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGE,5,11,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGE,5,29,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGE,5,47,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGERewired,1,11,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGERewired,1,29,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGERewired,1,47,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGERewired,2,11,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGERewired,2,29,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGERewired,2,47,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGERewired,3,11,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGERewired,3,29,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGERewired,3,47,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGERewired,4,11,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGERewired,4,29,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGERewired,4,47,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGERewired,5,11,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGERewired,5,29,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,1,GraphSAGERewired,5,47,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,2,GraphSAGE,1,11,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,2,GraphSAGE,1,29,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,2,GraphSAGE,1,47,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,2,GraphSAGE,2,11,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,2,GraphSAGE,2,29,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,2,GraphSAGE,2,47,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,2,GraphSAGE,3,11,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,2,GraphSAGE,3,29,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,2,GraphSAGE,3,47,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,2,GraphSAGE,4,11,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,2,GraphSAGE,4,29,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
2,2,GraphSAGE,4,47,32,32,2,192,48,96,32,400,60,0.003,0.0,0.0
