experiment_id,dataset,model,num_layers,hidden_channels,seed
0,Cora,GCN,2,64,1
1,Cora,GCN,2,128,1
2,Cora,GCN,4,64,1
3,Cora,GCN,4,128,1
4,Cora,GCN,8,64,1
5,Cora,GCN,8,128,1
6,Cora,GCN,16,64,1
7,Cora,GCN,16,128,1
8,Cora,GCN,32,64,1
9,Cora,GCN,32,128,1
10,Cora,GAT,2,64,1
11,Cora,GAT,2,128,1
12,Cora,GAT,4,64,1
13,Cora,GAT,4,128,1
14,Cora,GAT,8,64,1
15,Cora,GAT,8,128,1
16,Cora,GAT,16,64,1
17,Cora,GAT,16,128,1
18,Cora,GAT,32,64,1
19,Cora,GAT,32,128,1
20,Cora,GCNPairNorm,2,64,1
21,Cora,GCNPairNorm,2,128,1
22,Cora,GCNPairNorm,4,64,1
23,Cora,GCNPairNorm,4,128,1
24,Cora,GCNPairNorm,8,64,1
25,Cora,GCNPairNorm,8,128,1
26,Cora,GCNPairNorm,16,64,1
27,Cora,GCNPairNorm,16,128,1
28,Cora,GCNPairNorm,32,64,1
29,Cora,GCNPairNorm,32,128,1
30,Cora,GATPairNorm,2,64,1
31,Cora,GATPairNorm,2,128,1
32,Cora,GATPairNorm,4,64,1
33,Cora,GATPairNorm,4,128,1
34,Cora,GATPairNorm,8,64,1
35,Cora,GATPairNorm,8,128,1
36,Cora,GATPairNorm,16,64,1
37,Cora,GATPairNorm,16,128,1
38,Cora,GATPairNorm,32,64,1
39,Cora,GATPairNorm,32,128,1
40,CiteSeer,GCN,2,64,1
41,CiteSeer,GCN,2,128,1
42,CiteSeer,GCN,4,64,1
43,CiteSeer,GCN,4,128,1
44,CiteSeer,GCN,8,64,1
45,CiteSeer,GCN,8,128,1
46,CiteSeer,GCN,16,64,1
47,CiteSeer,GCN,16,128,1
48,CiteSeer,GCN,32,64,1
49,CiteSeer,GCN,32,128,1
50,CiteSeer,GAT,2,64,1
51,CiteSeer,GAT,2,128,1
52,CiteSeer,GAT,4,64,1
53,CiteSeer,GAT,4,128,1
54,CiteSeer,GAT,8,64,1
55,CiteSeer,GAT,8,128,1
56,CiteSeer,GAT,16,64,1
57,CiteSeer,GAT,16,128,1
58,CiteSeer,GAT,32,64,1
59,CiteSeer,GAT,32,128,1
60,CiteSeer,GCNPairNorm,2,64,1
61,CiteSeer,GCNPairNorm,2,128,1
62,CiteSeer,GCNPairNorm,4,64,1
63,CiteSeer,GCNPairNorm,4,128,1
64,CiteSeer,GCNPairNorm,8,64,1
65,CiteSeer,GCNPairNorm,8,128,1
66,CiteSeer,GCNPairNorm,16,64,1
67,CiteSeer,GCNPairNorm,16,128,1
68,CiteSeer,GCNPairNorm,32,64,1
69,CiteSeer,GCNPairNorm,32,128,1
70,CiteSeer,GATPairNorm,2,64,1
71,CiteSeer,GATPairNorm,2,128,1
72,CiteSeer,GATPairNorm,4,64,1
73,CiteSeer,GATPairNorm,4,128,1
74,CiteSeer,GATPairNorm,8,64,1
75,CiteSeer,GATPairNorm,8,128,1
76,CiteSeer,GATPairNorm,16,64,1
77,CiteSeer,GATPairNorm,16,128,1
78,CiteSeer,GATPairNorm,32,64,1
79,CiteSeer,GATPairNorm,32,128,1
80,PubMed,GCN,2,64,1
81,PubMed,GCN,2,128,1
82,PubMed,GCN,4,64,1
83,PubMed,GCN,4,128,1
84,PubMed,GCN,8,64,1
85,PubMed,GCN,8,128,1
86,PubMed,GCN,16,64,1
87,PubMed,GCN,16,128,1
88,PubMed,GCN,32,64,1
89,PubMed,GCN,32,128,1
90,PubMed,GAT,2,64,1
91,PubMed,GAT,2,128,1
92,PubMed,GAT,4,64,1
93,PubMed,GAT,4,128,1
94,PubMed,GAT,8,64,1
95,PubMed,GAT,8,128,1
96,PubMed,GAT,16,64,1
97,PubMed,GAT,16,128,1
98,PubMed,GAT,32,64,1
99,PubMed,GAT,32,128,1
100,PubMed,GCNPairNorm,2,64,1
101,PubMed,GCNPairNorm,2,128,1
102,PubMed,GCNPairNorm,4,64,1
103,PubMed,GCNPairNorm,4,128,1
104,PubMed,GCNPairNorm,8,64,1
105,PubMed,GCNPairNorm,8,128,1
106,PubMed,GCNPairNorm,16,64,1
107,PubMed,GCNPairNorm,16,128,1
108,PubMed,GCNPairNorm,32,64,1
109,PubMed,GCNPairNorm,32,128,1
110,PubMed,GATPairNorm,2,64,1
111,PubMed,GATPairNorm,2,128,1
112,PubMed,GATPairNorm,4,64,1
113,PubMed,GATPairNorm,4,128,1
114,PubMed,GATPairNorm,8,64,1
115,PubMed,GATPairNorm,8,128,1
116,PubMed,GATPairNorm,16,64,1
117,PubMed,GATPairNorm,16,128,1
118,PubMed,GATPairNorm,32,64,1
119,PubMed,GATPairNorm,32,128,1
