experiment_id,dataset,model,num_layers,hidden_channels,seed
0,Cora,GCN,8,64,1
1,Cora,GCN,8,64,2
2,Cora,GCN,8,64,3
3,Cora,GCN,8,128,1
4,Cora,GCN,8,128,2
5,Cora,GCN,8,128,3
6,Cora,GCN,16,64,1
7,Cora,GCN,16,64,2
8,Cora,GCN,16,64,3
9,Cora,GCN,16,128,1
10,Cora,GCN,16,128,2
11,Cora,GCN,16,128,3
12,Cora,GCN,32,64,1
13,Cora,GCN,32,64,2
14,Cora,GCN,32,64,3
15,Cora,GCN,32,128,1
16,Cora,GCN,32,128,2
17,Cora,GCN,32,128,3
18,Cora,GAT,8,64,1
19,Cora,GAT,8,64,2
20,Cora,GAT,8,64,3
21,Cora,GAT,8,128,1
22,Cora,GAT,8,128,2
23,Cora,GAT,8,128,3
24,Cora,GAT,16,64,1
25,Cora,GAT,16,64,2
26,Cora,GAT,16,64,3
27,Cora,GAT,16,128,1
28,Cora,GAT,16,128,2
29,Cora,GAT,16,128,3
30,Cora,GAT,32,64,1
31,Cora,GAT,32,64,2
32,Cora,GAT,32,64,3
33,Cora,GAT,32,128,1
34,Cora,GAT,32,128,2
35,Cora,GAT,32,128,3
36,Cora,GraphSAGE,8,64,1
37,Cora,GraphSAGE,8,64,2
38,Cora,GraphSAGE,8,64,3
39,Cora,GraphSAGE,8,128,1
40,Cora,GraphSAGE,8,128,2
41,Cora,GraphSAGE,8,128,3
42,Cora,GraphSAGE,16,64,1
43,Cora,GraphSAGE,16,64,2
44,Cora,GraphSAGE,16,64,3
45,Cora,GraphSAGE,16,128,1
46,Cora,GraphSAGE,16,128,2
47,Cora,GraphSAGE,16,128,3
48,Cora,GraphSAGE,32,64,1
49,Cora,GraphSAGE,32,64,2
50,Cora,GraphSAGE,32,64,3
51,Cora,GraphSAGE,32,128,1
52,Cora,GraphSAGE,32,128,2
53,Cora,GraphSAGE,32,128,3
54,Cora,GCNPairNorm,8,64,1
55,Cora,GCNPairNorm,8,64,2
56,Cora,GCNPairNorm,8,64,3
57,Cora,GCNPairNorm,8,128,1
58,Cora,GCNPairNorm,8,128,2
59,Cora,GCNPairNorm,8,128,3
60,Cora,GCNPairNorm,16,64,1
61,Cora,GCNPairNorm,16,64,2
62,Cora,GCNPairNorm,16,64,3
63,Cora,GCNPairNorm,16,128,1
64,Cora,GCNPairNorm,16,128,2
65,Cora,GCNPairNorm,16,128,3
66,Cora,GCNPairNorm,32,64,1
