experiment_id,dataset,model,num_layers,hidden_channels,seed,split_idx
0,Roman-empire,GCN,2,64,1,0
1,Roman-empire,GCN,2,64,1,1
2,Roman-empire,GCN,2,64,1,2
3,Roman-empire,GCN,2,64,1,3
4,Roman-empire,GCN,2,64,1,4
5,Roman-empire,GCN,2,64,1,5
6,Roman-empire,GCN,2,64,1,6
7,Roman-empire,GCN,2,64,1,7
8,Roman-empire,GCN,2,64,1,8
9,Roman-empire,GCN,2,64,1,9
10,Roman-empire,GCN,2,128,1,0
11,Roman-empire,GCN,2,128,1,1
12,Roman-empire,GCN,2,128,1,2
13,Roman-empire,GCN,2,128,1,3
14,Roman-empire,GCN,2,128,1,4
15,Roman-empire,GCN,2,128,1,5
16,Roman-empire,GCN,2,128,1,6
17,Roman-empire,GCN,2,128,1,7
18,Roman-empire,GCN,2,128,1,8
19,Roman-empire,GCN,2,128,1,9
20,Roman-empire,GCN,4,64,1,0
21,Roman-empire,GCN,4,64,1,1
22,Roman-empire,GCN,4,64,1,2
23,Roman-empire,GCN,4,64,1,3
24,Roman-empire,GCN,4,64,1,4
25,Roman-empire,GCN,4,64,1,5
26,Roman-empire,GCN,4,64,1,6
27,Roman-empire,GCN,4,64,1,7
28,Roman-empire,GCN,4,64,1,8
29,Roman-empire,GCN,4,64,1,9
30,Roman-empire,GCN,4,128,1,0
31,Roman-empire,GCN,4,128,1,1
32,Roman-empire,GCN,4,128,1,2
33,Roman-empire,GCN,4,128,1,3
34,Roman-empire,GCN,4,128,1,4
35,Roman-empire,GCN,4,128,1,5
36,Roman-empire,GCN,4,128,1,6
37,Roman-empire,GCN,4,128,1,7
38,Roman-empire,GCN,4,128,1,8
39,Roman-empire,GCN,4,128,1,9
40,Roman-empire,GAT,2,64,1,0
41,Roman-empire,GAT,2,64,1,1
42,Roman-empire,GAT,2,64,1,2
43,Roman-empire,GAT,2,64,1,3
44,Roman-empire,GAT,2,64,1,4
45,Roman-empire,GAT,2,64,1,5
46,Roman-empire,GAT,2,64,1,6
47,Roman-empire,GAT,2,64,1,7
48,Roman-empire,GAT,2,64,1,8
49,Roman-empire,GAT,2,64,1,9
50,Roman-empire,GAT,2,128,1,0
51,Roman-empire,GAT,2,128,1,1
52,Roman-empire,GAT,2,128,1,2
53,Roman-empire,GAT,2,128,1,3
54,Roman-empire,GAT,2,128,1,4
55,Roman-empire,GAT,2,128,1,5
56,Roman-empire,GAT,2,128,1,6
57,Roman-empire,GAT,2,128,1,7
58,Roman-empire,GAT,2,128,1,8
59,Roman-empire,GAT,2,128,1,9
60,Roman-empire,GAT,4,64,1,0
61,Roman-empire,GAT,4,64,1,1
62,Roman-empire,GAT,4,64,1,2
63,Roman-empire,GAT,4,64,1,3
64,Roman-empire,GAT,4,64,1,4
65,Roman-empire,GAT,4,64,1,5
66,Roman-empire,GAT,4,64,1,6
67,Roman-empire,GAT,4,64,1,7
68,Roman-empire,GAT,4,64,1,8
69,Roman-empire,GAT,4,64,1,9
70,Roman-empire,GAT,4,128,1,0
71,Roman-empire,GAT,4,128,1,1
72,Roman-empire,GAT,4,128,1,2
73,Roman-empire,GAT,4,128,1,3
74,Roman-empire,GAT,4,128,1,4
75,Roman-empire,GAT,4,128,1,5
76,Roman-empire,GAT,4,128,1,6
77,Roman-empire,GAT,4,128,1,7
78,Roman-empire,GAT,4,128,1,8
79,Roman-empire,GAT,4,128,1,9
80,Roman-empire,GraphSAGE,2,64,1,0
81,Roman-empire,GraphSAGE,2,64,1,1
82,Roman-empire,GraphSAGE,2,64,1,2
83,Roman-empire,GraphSAGE,2,64,1,3
84,Roman-empire,GraphSAGE,2,64,1,4
85,Roman-empire,GraphSAGE,2,64,1,5
86,Roman-empire,GraphSAGE,2,64,1,6
87,Roman-empire,GraphSAGE,2,64,1,7
88,Roman-empire,GraphSAGE,2,64,1,8
89,Roman-empire,GraphSAGE,2,64,1,9
90,Roman-empire,GraphSAGE,2,128,1,0
91,Roman-empire,GraphSAGE,2,128,1,1
92,Roman-empire,GraphSAGE,2,128,1,2
93,Roman-empire,GraphSAGE,2,128,1,3
94,Roman-empire,GraphSAGE,2,128,1,4
95,Roman-empire,GraphSAGE,2,128,1,5
96,Roman-empire,GraphSAGE,2,128,1,6
97,Roman-empire,GraphSAGE,2,128,1,7
98,Roman-empire,GraphSAGE,2,128,1,8
99,Roman-empire,GraphSAGE,2,128,1,9
100,Roman-empire,GraphSAGE,4,64,1,0
101,Roman-empire,GraphSAGE,4,64,1,1
102,Roman-empire,GraphSAGE,4,64,1,2
103,Roman-empire,GraphSAGE,4,64,1,3
104,Roman-empire,GraphSAGE,4,64,1,4
105,Roman-empire,GraphSAGE,4,64,1,5
106,Roman-empire,GraphSAGE,4,64,1,6
107,Roman-empire,GraphSAGE,4,64,1,7
108,Roman-empire,GraphSAGE,4,64,1,8
109,Roman-empire,GraphSAGE,4,64,1,9
110,Roman-empire,GraphSAGE,4,128,1,0
111,Roman-empire,GraphSAGE,4,128,1,1
112,Roman-empire,GraphSAGE,4,128,1,2
113,Roman-empire,GraphSAGE,4,128,1,3
114,Roman-empire,GraphSAGE,4,128,1,4
115,Roman-empire,GraphSAGE,4,128,1,5
116,Roman-empire,GraphSAGE,4,128,1,6
117,Roman-empire,GraphSAGE,4,128,1,7
118,Roman-empire,GraphSAGE,4,128,1,8
119,Roman-empire,GraphSAGE,4,128,1,9
