dataset,model,lr,mean,sd,n_graphs
PubMed,GraphSAGE,0.001,0.4050217568874358,0.012610014006325347,5
PubMed,GraphSAGE,0.003,0.399367481470108,0.0,5
PubMed,GraphSAGE,0.01,0.399367481470108,0.0,5
PubMed,GraphSAGE,0.03,0.39926007986068723,0.0005903346307881155,5
PubMed,GraphSAGEPairNorm,0.001,0.6678799319267272,0.003036123570004335,5
PubMed,GraphSAGEPairNorm,0.003,0.7756285929679871,0.008794556822669697,5
PubMed,GraphSAGEPairNorm,0.01,0.8327919077873229,0.004735437918408853,5
PubMed,GraphSAGEPairNorm,0.03,0.8353290581703187,0.004469056887188241,5
Roman-Empire,GraphSAGE,0.001,0.41056948542594907,0.005173925592287091,5
Roman-Empire,GraphSAGE,0.003,0.45374240398406984,0.013427646798086746,5
Roman-Empire,GraphSAGE,0.01,0.5182308006286621,0.027561396300918622,5
Roman-Empire,GraphSAGE,0.03,0.28163629472255697,0.08415535011924578,5
Roman-Empire,GraphSAGEPairNorm,0.001,0.3563577795028686,0.006411534644212539,5
Roman-Empire,GraphSAGEPairNorm,0.003,0.4529014146327972,0.013560434219696898,5
Roman-Empire,GraphSAGEPairNorm,0.01,0.5564782190322877,0.017005080663055786,5
Roman-Empire,GraphSAGEPairNorm,0.03,0.6062108659744263,0.006905717079850095,5
