dataset,graph_seed,variant,accuracy_delta_pp
PubMed,1,center,0.0
PubMed,1,scale,39.82934534549714
PubMed,1,full,43.00137341022492
PubMed,2,center,0.0
PubMed,2,scale,41.59914195537568
PubMed,2,full,43.73411238193513
PubMed,3,center,0.0
PubMed,3,scale,40.32579481601715
PubMed,3,full,42.84623086452484
PubMed,4,center,0.0
PubMed,4,scale,41.257831454277046
PubMed,4,full,43.18992793560029
PubMed,5,center,0.0
PubMed,5,scale,41.41058504581452
PubMed,5,full,43.94056856632233
Roman-Empire,1,center,-0.07371544837951882
Roman-Empire,1,scale,-0.42049646377564365
Roman-Empire,1,full,-0.18792510032654697
Roman-Empire,2,center,-0.04256844520569292
Roman-Empire,2,scale,-0.9084773063659735
Roman-Empire,2,full,-0.38207888603211115
Roman-Empire,3,center,-0.25437235832214133
Roman-Empire,3,scale,-0.17857909202575462
Roman-Empire,3,full,-0.00622868537902832
Roman-Empire,4,center,-0.08928894996643733
Roman-Empire,4,scale,-0.2813661098480247
Roman-Empire,4,full,0.060219764709468215
Roman-Empire,5,center,-0.31044006347656916
Roman-Empire,5,scale,-0.8337223529815696
Roman-Empire,5,full,-0.32393574714660867
