model,num_layers,hidden_channels,learning_rate,n,mean_best_val_acc,std_best_val_acc,mean_test_at_best_val,std_test_at_best_val,mean_final_test_acc,std_final_test_acc,mean_best_epoch,std_best_epoch,best_epoch_at_cap_count,best_epoch_last_10_percent_count
GraphSAGE,4,128,0.0003,10,0.36981907894736843,0.006831655136752012,0.3488815789473684,0.00852757237509574,0.33309210526315786,0.008310506594201229,144.1,16.400880735158367,0,0
GraphSAGE,4,128,0.001,10,0.3681332236842105,0.007021103341032774,0.34309210526315786,0.011650703034332889,0.33401315789473685,0.013789832201490897,60.9,14.051097228805066,0,0
GraphSAGE,4,128,0.003,10,0.36768092105263156,0.005907330590811817,0.3482236842105263,0.008459627020134565,0.33572368421052634,0.013824662981637696,28.4,5.660781257427675,0,0
GraphSAGE,4,128,0.005,10,0.36661184210526315,0.006332177507886344,0.3442105263157894,0.007683579642450752,0.33098684210526313,0.01392656094385802,32.8,31.755314515841285,0,0
GraphSAGE,4,128,0.01,10,0.36476151315789473,0.005883910522149708,0.3405263157894737,0.012460309408561833,0.33375,0.008650752933461308,35.9,22.668872441693647,0,0
GraphSAGE,4,128,0.03,10,0.3609375,0.0056671202665935895,0.33631578947368423,0.009199032092754173,0.32480263157894734,0.010135517955331028,64.4,46.342205385587775,0,0
GraphSAGEPairNorm,4,128,0.0003,10,0.3412006578947368,0.0075565470816585205,0.3304605263157895,0.01158363973235792,0.18671052631578944,0.006051995898477306,78.8,7.177124153246278,0,0
GraphSAGEPairNorm,4,128,0.001,10,0.3427631578947368,0.007557541429591211,0.3335526315789473,0.012389865694583793,0.18361842105263154,0.011688617063278025,31.2,2.8596814119369625,0,0
GraphSAGEPairNorm,4,128,0.003,10,0.3442023026315789,0.007364292757017272,0.33460526315789474,0.01040777552219524,0.26598684210526313,0.008854056337914543,13.6,1.6465452046971292,0,0
GraphSAGEPairNorm,4,128,0.005,10,0.34362664473684207,0.00800384615008634,0.33427631578947364,0.012337158761379294,0.2913815789473684,0.009202429607457452,9.0,1.247219128924647,0,0
GraphSAGEPairNorm,4,128,0.01,10,0.34321546052631574,0.006913250021438404,0.33236842105263154,0.01031308145622863,0.31223684210526315,0.014134788423153433,25.2,59.31984865493543,0,0
GraphSAGEPairNorm,4,128,0.03,10,0.35045230263157895,0.005051042808906898,0.3304605263157895,0.011255149978853045,0.32743421052631577,0.011736247133059066,151.8,256.55919828028425,0,0
GraphSAGE,8,128,0.0003,10,0.3598273026315789,0.008706258595743472,0.3371052631578947,0.014682177226179824,0.31914473684210526,0.010583043415809299,262.1,118.8972011632084,0,0
GraphSAGE,8,128,0.001,10,0.2607319078947368,0.00585510530415054,0.2516447368421052,0.011663079846995397,0.24868421052631576,0.008566677624835355,42.2,115.54008443441225,0,0
GraphSAGE,8,128,0.003,10,0.2607319078947368,0.00585510530415054,0.2516447368421052,0.011663079846995397,0.24802631578947362,0.011224985870236596,5.3,5.186520991955976,0,0
GraphSAGE,8,128,0.005,10,0.26167763157894736,0.005911781036918612,0.25111842105263155,0.01075702044089226,0.25052631578947365,0.009136081772336295,48.7,144.2151556221159,0,0
GraphSAGE,8,128,0.01,10,0.2609375,0.005793013355061229,0.25111842105263155,0.010801635208446996,0.25059210526315784,0.009113154897301473,42.9,124.84608301602596,0,0
GraphSAGE,8,128,0.03,10,0.2616365131578947,0.006251112022109807,0.25111842105263155,0.011999642512885857,0.25243421052631576,0.011903067581579413,7.3,8.60297106301719,0,0
GraphSAGEPairNorm,8,128,0.0003,10,0.3048519736842105,0.007066841305508569,0.29914473684210524,0.009875971770193717,0.24624999999999994,0.013765398216465224,108.2,9.986657765906136,0,0
GraphSAGEPairNorm,8,128,0.001,10,0.3095805921052631,0.004109328544598221,0.2931578947368421,0.01104009313863317,0.2882236842105263,0.011325008144802372,410.2,323.43359270318365,0,1
GraphSAGEPairNorm,8,128,0.003,10,0.33096217105263154,0.006276304918416531,0.31046052631578946,0.012777581227495225,0.3100657894736842,0.010001779235375666,435.6,207.37898747087286,0,1
GraphSAGEPairNorm,8,128,0.005,10,0.33560855263157896,0.0055937175178441935,0.3208552631578947,0.010383951396214912,0.31375,0.00963141317404394,289.0,139.47042697288913,0,0
GraphSAGEPairNorm,8,128,0.01,10,0.3493832236842105,0.004420309949302132,0.33125,0.008556847813652069,0.3231578947368421,0.011632319840921765,223.4,221.72064505689235,0,0
GraphSAGEPairNorm,8,128,0.03,10,0.36007401315789467,0.005308542274534948,0.3370394736842105,0.012639838004131957,0.3229605263157894,0.01088324852660469,64.1,27.42444165338649,0,0
