dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,class_metric_scope,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
Actor,GraphSAGE,1,1,4,128,1,1,convs.0,2048,0,0,,nan,nan,nan,nan,nan,0.6918100118637085,0.6455335021018982,0.5282484292984009,1.286456253888837,128,115.54835510253906,0.9027215242385864,0.6217465400695801,0.002306884154677391,0.14276232898398789
Actor,GraphSAGE,1,1,4,128,1,2,convs.1,2048,0,0,,nan,nan,nan,nan,nan,0.12030148506164551,0.0955742746591568,0.08379823714494705,0.20073899204376588,128,103.79085540771484,0.8108660578727722,0.6443678736686707,0.0004187470185570419,0.14276232898398789
Actor,GraphSAGE,1,1,4,128,1,3,convs.2,2048,0,0,,nan,nan,nan,nan,nan,0.050240278244018555,0.02851841412484646,0.02585306204855442,0.05842138757905209,128,77.88999938964844,0.6085156202316284,0.6646216511726379,0.00017862569075077772,0.14276232898398789
Actor,GraphSAGE,1,1,4,128,1,4,convs.3,2048,0,0,,nan,nan,nan,nan,nan,0.031301140785217285,0.016634728759527206,0.00032161164563149214,0.04265111609566171,5,4.3898606300354,0.8779721260070801,0.08651280403137207,5.7955181546276435e-05,0.14276232898398789
Actor,GraphSAGE,1,1,4,128,10,1,convs.0,2048,0,0,,nan,nan,nan,nan,nan,0.6427806615829468,0.577549397945404,0.4986969530582428,1.1724022278419144,128,113.98966979980469,0.8905442953109741,0.6327590942382812,0.0021838434040546417,0.11677044119022562
Actor,GraphSAGE,1,1,4,128,10,2,convs.1,2048,0,0,,nan,nan,nan,nan,nan,0.11356240510940552,0.08538437634706497,0.08723390102386475,0.1851457764507656,128,99.5121078491211,0.7774383425712585,0.6833081841468811,0.0004532102611847222,0.11677044119022562
Actor,GraphSAGE,1,1,4,128,10,3,convs.2,2048,0,0,,nan,nan,nan,nan,nan,0.06795018911361694,0.03480413183569908,0.036603234708309174,0.07305733456646013,128,68.46003723144531,0.5348440408706665,0.7053757905960083,0.00028038257732987404,0.11677044119022562
Actor,GraphSAGE,1,1,4,128,10,4,convs.3,2048,0,0,,nan,nan,nan,nan,nan,0.03902226686477661,0.015760667622089386,0.001534951850771904,0.06115974112065273,5,2.8629088401794434,0.5725817680358887,0.15475066006183624,0.00038554807542823255,0.11677044119022562
Actor,GraphSAGE,1,1,4,128,25,1,convs.0,2048,0,0,,nan,nan,nan,nan,nan,0.49043768644332886,0.4177454113960266,0.4780072569847107,0.8982108876680723,128,110.37683868408203,0.8623190522193909,0.7032708525657654,0.0021265954710543156,0.07226857944720544
Actor,GraphSAGE,1,1,4,128,25,2,convs.1,2048,0,0,,nan,nan,nan,nan,nan,0.10053718090057373,0.06476814299821854,0.13658830523490906,0.16553389824754083,128,86.8907470703125,0.6788339614868164,0.8916873931884766,0.0008308582473546267,0.07226857944720544
Actor,GraphSAGE,1,1,4,128,25,3,convs.2,2048,0,0,,nan,nan,nan,nan,nan,0.09608334302902222,0.04289417341351509,0.13283979892730713,0.11186035506902603,128,44.260196685791016,0.3457827866077423,1.0568833351135254,0.001204680884256959,0.07226857944720544
Actor,GraphSAGE,1,1,4,128,25,4,convs.3,2048,0,0,,nan,nan,nan,nan,nan,0.029584288597106934,0.012248434126377106,0.02162420004606247,0.10870207293978304,5,1.723235011100769,0.3446470022201538,0.41675806045532227,0.00565084395930171,0.07226857944720544
Actor,GraphSAGE,1,1,4,128,50,1,convs.0,2048,0,0,,nan,nan,nan,nan,nan,0.4630008339881897,0.3993843197822571,0.48563724756240845,0.8853792003439092,128,105.03519439697266,0.8205874562263489,0.7002133131027222,0.00212088436819613,0.06196806545185383
Actor,GraphSAGE,1,1,4,128,50,2,convs.1,2048,0,0,,nan,nan,nan,nan,nan,0.09570354223251343,0.06528259813785553,0.22051505744457245,0.21653406721166152,128,75.5696029663086,0.5903875231742859,0.9765626192092896,0.001195285003632307,0.06196806545185383
Actor,GraphSAGE,1,1,4,128,50,3,convs.2,2048,0,0,,nan,nan,nan,nan,nan,0.07486021518707275,0.03712160885334015,0.25779417157173157,0.1401213305153571,128,35.40830993652344,0.27662742137908936,1.2994402647018433,0.0019708354957401752,0.06196806545185383
Actor,GraphSAGE,1,1,4,128,50,4,convs.3,2048,0,0,,nan,nan,nan,nan,nan,0.014746665954589844,0.006711294408887625,0.05555391311645508,0.12058331616410142,5,1.9228688478469849,0.384573769569397,0.6351003050804138,0.012252974323928356,0.06196806545185383
Actor,GraphSAGE,1,1,4,128,100,1,convs.0,2048,0,0,,nan,nan,nan,nan,nan,0.5503354072570801,0.4790080189704895,0.8210118412971497,1.1344912684164563,128,87.62918090820312,0.6846029758453369,0.7359801530838013,0.0035111834295094013,0.15122659478790684
Actor,GraphSAGE,1,1,4,128,100,2,convs.1,2048,0,0,,nan,nan,nan,nan,nan,0.35618895292282104,0.30400559306144714,3.0782227516174316,1.0434917194730025,128,28.566879272460938,0.22317874431610107,1.3028720617294312,0.013304552063345909,0.15122659478790684
Actor,GraphSAGE,1,1,4,128,100,3,convs.2,2048,0,0,,nan,nan,nan,nan,nan,0.341919481754303,0.31419670581817627,12.084022521972656,1.1118223746884932,128,7.964197635650635,0.062220294028520584,2.3984522819519043,0.051602501422166824,0.15122659478790684
Actor,GraphSAGE,1,1,4,128,100,4,convs.3,2048,0,0,,nan,nan,nan,nan,nan,0.458817720413208,0.5036289095878601,7.056435585021973,1.3918699147228646,5,1.7430601119995117,0.34861202239990235,1.4995864629745483,0.7090753316879272,0.15122659478790684
