model,num_layers,seed,split_idx,best_epoch,best_val_acc,test_acc_at_best_val
GraphSAGEPairNorm,4,1,0,79,0.3392269736842105,0.325
GraphSAGEPairNorm,4,1,1,73,0.3453947368421052,0.3381578947368421
GraphSAGEPairNorm,4,1,2,86,0.3338815789473684,0.3243421052631579
GraphSAGEPairNorm,4,1,3,80,0.3384046052631579,0.3328947368421052
GraphSAGEPairNorm,4,1,4,80,0.3453947368421052,0.306578947368421
GraphSAGEPairNorm,4,1,5,82,0.3388157894736842,0.3361842105263158
GraphSAGEPairNorm,4,1,6,87,0.3338815789473684,0.3164473684210526
GraphSAGEPairNorm,4,1,7,71,0.3585526315789473,0.3217105263157894
GraphSAGEPairNorm,4,1,8,83,0.3400493421052631,0.3407894736842105
GraphSAGEPairNorm,4,1,9,68,0.3453947368421052,0.3532894736842105
GraphSAGEPairNorm,8,1,0,99,0.3013980263157895,0.2934210526315789
GraphSAGEPairNorm,8,1,1,84,0.3087993421052631,0.2855263157894737
GraphSAGEPairNorm,8,1,2,115,0.2997532894736842,0.3013157894736842
GraphSAGEPairNorm,8,1,3,114,0.3055098684210526,0.2914473684210526
GraphSAGEPairNorm,8,1,4,119,0.3046875,0.2828947368421052
GraphSAGEPairNorm,8,1,5,119,0.2861842105263157,0.3059210526315789
GraphSAGEPairNorm,8,1,6,87,0.3092105263157895,0.2822368421052632
GraphSAGEPairNorm,8,1,7,109,0.3092105263157895,0.3125
GraphSAGEPairNorm,8,1,8,117,0.3034539473684211,0.3039473684210526
GraphSAGEPairNorm,8,1,9,110,0.3042763157894737,0.2980263157894737
GraphSAGE,4,1,0,224,0.3680098684210526,0.3467105263157894
GraphSAGE,4,1,1,153,0.3717105263157895,0.3282894736842105
GraphSAGE,4,1,2,123,0.3741776315789473,0.3605263157894737
GraphSAGE,4,1,3,119,0.3803453947368421,0.3388157894736842
GraphSAGE,4,1,4,146,0.3836348684210526,0.3388157894736842
GraphSAGE,4,1,5,147,0.3614309210526316,0.3552631578947368
GraphSAGE,4,1,6,159,0.3626644736842105,0.3532894736842105
GraphSAGE,4,1,7,154,0.3667763157894737,0.3513157894736842
GraphSAGE,4,1,8,146,0.3696546052631579,0.3631578947368421
GraphSAGE,4,1,9,113,0.3680098684210526,0.3421052631578947
GraphSAGE,8,1,0,213,0.3507401315789473,0.3513157894736842
GraphSAGE,8,1,1,421,0.3597861842105263,0.3111842105263158
GraphSAGE,8,1,2,452,0.3577302631578947,0.3289473684210526
GraphSAGE,8,1,3,228,0.3725328947368421,0.3394736842105263
GraphSAGE,8,1,4,187,0.3651315789473684,0.3157894736842105
GraphSAGE,8,1,5,194,0.3589638157894737,0.3532894736842105
GraphSAGE,8,1,6,201,0.3478618421052631,0.3480263157894737
GraphSAGE,8,1,7,194,0.3569078947368421,0.3493421052631579
GraphSAGE,8,1,8,198,0.3589638157894737,0.3453947368421052
GraphSAGE,8,1,9,217,0.3540296052631579,0.3394736842105263
