model,num_layers,epoch,selected_representation,mean_mean_pairwise_cosine_distance,std_mean_pairwise_cosine_distance,mean_mean_edge_cosine_distance,std_mean_edge_cosine_distance,mean_normalized_dirichlet_energy,std_normalized_dirichlet_energy,mean_effective_rank,std_effective_rank,mean_effective_rank_ratio,std_effective_rank_ratio,mean_mean_embedding_norm,std_mean_embedding_norm,mean_mean_feature_variance,std_mean_feature_variance,mean_gradient_norm,std_gradient_norm
GraphSAGE,4,1,convs.2,0.050158202648162786,0.00012088203708912654,0.02848432976752515,6.151430132530265e-05,0.05834651134120802,0.0001257274107683554,77.89864120483398,0.032801085453735335,0.6085831344127655,0.0002562584801073073,0.6645907640457154,0.0002057350859938953,0.00017832018347684002,4.179703866255649e-07,0.14253557237748166,0.005572725107592391
GraphSAGE,4,10,convs.2,0.06699511408805844,0.0007388932657750425,0.03439836055040355,0.00032994266872836593,0.07208633083628728,0.0007421507898652436,68.76553726196289,0.20583708596443875,0.5372307598590851,0.0016081022340971778,0.7031582534313202,0.002857122880885503,0.0002739803952863,4.8752008628476634e-06,0.11815479938517207,0.005619578592873654
GraphSAGE,4,25,convs.2,0.09510341882705685,0.001639443347676973,0.042635398358106556,0.0006307982319443971,0.10983089837761446,0.0019740018744882075,45.15273246765137,0.8231555313227324,0.3527557224035263,0.006430902588458848,1.0371039509773254,0.018939237820014387,0.00112723736092443,6.695796486720534e-05,0.07411277092178405,0.005676626169954539
GraphSAGE,4,50,convs.2,0.07290195226669308,0.0033461972678534074,0.03705168403685089,0.0016959558535424909,0.1391033361978365,0.004090528803825271,36.31822662353515,1.0625893533063087,0.2837361454963684,0.008301479322705536,1.2920388221740722,0.044396398870656155,0.00185413497965778,0.00013869478824708135,0.06439298208216984,0.0024662493198957624
GraphSAGE,4,100,convs.2,0.33283844590187067,0.011553151471884198,0.31143279671669005,0.00931096984055807,1.1031852940438367,0.01924460296130069,7.863022518157959,0.21831148336720563,0.06142986342310901,0.0017055584638062996,2.516494965553284,0.06580249522350808,0.05441326647996899,0.002603717840726519,0.15233003290177588,0.0019528650407810984
GraphSAGE,4,200,convs.2,0.42695311903953553,0.008148818932602797,0.3828731477260589,0.007013968912555858,1.157998951387772,0.0256516992690588,4.5065192699432375,0.106276337415113,0.035207181796431494,0.0008302838860555786,6.5763258934021,0.12210180771891711,0.4032169371843338,0.01833307560388364,0.27517513361276846,0.011222661222174303
GraphSAGE,4,400,convs.2,0.4707827568054199,0.007262073661786774,0.43183443546295164,0.011048825945065153,1.1479527344568456,0.03175344376058416,3.7633540868759154,0.20429440745196437,0.02940120380371804,0.001596050058218477,11.41124210357666,0.37406446925744946,1.2340707182884216,0.09617760604560678,0.48397247728579273,0.03746732181341983
GraphSAGE,4,600,convs.2,0.45871652364730836,0.009222167687826814,0.42770135402679443,0.013637079459090718,1.1003712364735256,0.03164069134258532,3.776994466781616,0.2655710894101132,0.02950776927173134,0.002074774136016509,12.734841346740723,0.6903772765353761,1.4548717975616454,0.186841683546053,0.5080643778960162,0.05848299263163485
GraphSAGE,4,800,convs.2,0.4526673793792725,0.010431707271124514,0.42823065519332887,0.012120820090229177,1.0737083108162253,0.028356290418638734,3.658465361595154,0.26743839743896886,0.028581760637462088,0.0020893624799919446,12.393102264404297,0.8909972263362901,1.3116459906101228,0.2246139609049946,0.4959933456214453,0.03946089516750982
GraphSAGEPairNorm,4,1,pns.2,0.9940735101699829,2.3985206618164193e-05,0.9570492744445801,0.00015772221508355422,1.44910241757981,0.0005497125990957221,106.29332733154297,0.019269934248790036,0.8304166197776794,0.000150546361318649,0.9999941647052765,3.383435083757955e-08,0.00887569915503259,1.7880579153527265e-06,0.14649304284165454,0.004154017589835614
GraphSAGEPairNorm,4,10,pns.2,0.9950269401073456,0.00010069011561835102,0.954528683423996,0.0008455396413165236,1.437029570762503,0.0033870621993475746,105.24427108764648,0.09564537604836576,0.8222208678722381,0.0007472295003778652,0.9999942064285279,4.701677783917016e-08,0.00886167213320726,7.3443349487734625e-06,0.13649962091518864,0.004124844979115957
GraphSAGEPairNorm,4,25,pns.2,0.9896832942962647,0.0006279185096746339,0.9420974969863891,0.0016414043192923742,1.409281435998882,0.011338028267873626,102.4081298828125,0.31108700393982347,0.8000635147094727,0.002430367218279825,0.9999945759773254,2.80978989810166e-08,0.00903204139322037,3.482076817159407e-05,0.12651526585884393,0.00377716792183849
