dataset,model,num_layers,hidden_channels,learning_rate,seed,split_idx,best_epoch,best_val_acc,test_acc_at_best_val,train_acc_at_best_val,loss_at_best_val,final_test_acc,final_val_acc,final_loss,maximum_epoch,best_epoch_at_cap,best_epoch_last_10_percent,history_path,summary_path
Amazon-Ratings,GraphSAGE,4,128,0.0003,1,0,716,0.4822799281398007,0.4692144373673036,0.6119549240568349,0.9917088150978088,0.4768904131961456,0.4785235995427078,0.9708386063575744,800,False,False,runs/amazon_ratings_fair_lr_800ep/lr_0p0003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split0_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p0003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split0_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.0003,1,1,777,0.4780336436387392,0.480973379062551,0.6327780499755022,0.9784191250801086,0.4749305895802711,0.4711742609831781,0.9676281213760376,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p0003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split1_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p0003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split1_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.0003,1,2,764,0.4894659480646742,0.4842397517556753,0.615874571288584,0.9884747266769408,0.483259839947738,0.4850563449289564,0.9797893166542052,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p0003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split2_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p0003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split2_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.0003,1,3,763,0.483259839947738,0.4754205454842397,0.6220806794055201,0.9782148003578186,0.4767270945614895,0.4762371386575208,0.965091347694397,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p0003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split3_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p0003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split3_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.0003,1,4,766,0.4793401927159889,0.4814633349665196,0.6177527355871305,0.9853555560112,0.4819532908704883,0.4747672709456149,0.9695925712585448,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p0003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split4_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p0003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split4_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.0003,1,5,775,0.4734607218683652,0.4767270945614895,0.6056671566225706,0.9969263672828674,0.480973379062551,0.4688878000979912,0.9876088500022888,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p0003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split5_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p0003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split5_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.0003,1,6,781,0.4791768740813327,0.4822799281398007,0.6192226032990364,0.9847168922424316,0.4811366976972072,0.4767270945614895,0.9801369905471802,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p0003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split6_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p0003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split6_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.0003,1,7,788,0.4808100604278948,0.4806467417932386,0.6305732484076433,0.983523964881897,0.4767270945614895,0.4749305895802711,0.979215443134308,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p0003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split7_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p0003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split7_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.0003,1,8,796,0.485546300832925,0.4736240405030213,0.6398007512657194,0.9683941602706908,0.4750939082149273,0.482443246774457,0.9650006890296936,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p0003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split8_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p0003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split8_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.0003,1,9,770,0.4829332026784256,0.4755838641188959,0.6243671402907072,0.984400987625122,0.4731340845990527,0.471010942348522,0.9785996675491332,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p0003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split9_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p0003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split9_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.001,1,0,783,0.5012248897599216,0.4940388698350482,0.8179813816756492,0.7271934747695923,0.4989384288747346,0.499265066144047,0.7067546844482422,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p001/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split0_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p001/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split0_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.001,1,1,789,0.5022048015678588,0.4977951984321411,0.8290053895149436,0.7192187309265137,0.4956720561816103,0.4951821002776417,0.7160333395004272,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p001/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split1_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p001/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split1_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.001,1,2,797,0.5155969296096684,0.5093908214927323,0.8029560672872775,0.7350276112556458,0.5084109096847951,0.5131471500898253,0.7336190342903137,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p001/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split2_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p001/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split2_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.001,1,3,793,0.5069410419728891,0.4964886493548914,0.7997713539114814,0.7509710788726807,0.491589090315205,0.492405683488486,0.7345032095909119,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p001/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split3_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p001/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split3_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.001,1,4,775,0.5010615711252654,0.5080842724154826,0.7950351135064511,0.7489234209060669,0.5093908214927323,0.4953454189122979,0.72135990858078,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p001/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split4_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p001/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split4_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.001,1,5,755,0.496162012085579,0.4994283847787032,0.7813980075126572,0.7459717392921448,0.5074309978768577,0.4940388698350482,0.7059326767921448,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p001/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split5_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p001/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split5_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.001,1,6,793,0.5126571941858566,0.5066144047035767,0.8214110730034296,0.736668050289154,0.5035113506451087,0.5044912624530459,0.7288287878036499,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p001/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split6_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p001/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split6_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.001,1,7,798,0.494692144373673,0.4943655071043606,0.8207577984648048,0.730814516544342,0.4917524089498611,0.4881593989874244,0.7167065739631653,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p001/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split7_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p001/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split7_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.001,1,8,768,0.5090641842234199,0.4909358157765801,0.804180957047199,0.7340717315673828,0.4942021884697044,0.5046545810877021,0.7028861045837402,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p001/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split8_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p001/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split8_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.001,1,9,727,0.5004082965866405,0.5033480320104524,0.7876857749469215,0.7559367418289185,0.5074309978768577,0.4912624530458925,0.7041165828704834,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p001/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split9_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p001/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split9_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.003,1,0,588,0.5026947574718276,0.494692144373673,0.8437857259513311,0.7313230037689209,0.49697860525886,0.4940388698350482,0.5983624458312988,800,False,False,runs/amazon_ratings_fair_lr_800ep/lr_0p003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split0_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split0_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.003,1,1,770,0.519026620937449,0.5080842724154826,0.906255103707333,0.5998467206954956,0.5008982524906092,0.5120039196472318,0.5689390301704407,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split1_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split1_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.003,1,2,796,0.5172301159562306,0.5087375469541074,0.9064184223419892,0.5871713757514954,0.503837987914421,0.5139637432631063,0.5877296924591064,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split2_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split2_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.003,1,3,705,0.5162502041482934,0.5041646251837335,0.8655071043606075,0.6386119723320007,0.4994283847787032,0.5040013065490773,0.6112706065177917,800,False,False,runs/amazon_ratings_fair_lr_800ep/lr_0p003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split3_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split3_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.003,1,4,715,0.5072676792422015,0.5030213947411399,0.8631389841580924,0.6460238695144653,0.5041646251837335,0.4999183406826719,0.592699408531189,800,False,False,runs/amazon_ratings_fair_lr_800ep/lr_0p003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split4_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split4_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.003,1,5,752,0.5051445369916707,0.5138004246284501,0.8987424465131472,0.5887148976325989,0.5057978115302956,0.4963253307202351,0.5598093271255493,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split5_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split5_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.003,1,6,756,0.5142903805324187,0.5084109096847951,0.8837987914421035,0.608870267868042,0.4814633349665196,0.4765637759268332,0.6293662190437317,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split6_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split6_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.003,1,7,789,0.4973052425281725,0.505307855626327,0.9020904785235996,0.6017329692840576,0.5095541401273885,0.4963253307202351,0.5907129049301147,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split7_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split7_summary.json
Amazon-Ratings,GraphSAGE,4,128,0.003,1,8,733,0.5085742283194512,0.5028580761064837,0.8680385431977788,0.6284219622612,0.5056344928956394,0.5017148456638902,0.6010589599609375,800,False,True,runs/amazon_ratings_fair_lr_800ep/lr_0p003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split8_history.csv,runs/amazon_ratings_fair_lr_800ep/lr_0p003/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split8_summary.json
