model,num_layers,hidden_channels,learning_rate,n,mean_best_val_acc,std_best_val_acc,mean_test_at_best_val,std_test_at_best_val,mean_final_test_acc,std_final_test_acc,mean_best_epoch,std_best_epoch,best_epoch_at_cap_count,best_epoch_last_10_percent_count
GraphSAGE,4,128,0.0003,10,0.4814306712395885,0.004380810758853912,0.4780173117752735,0.00466115058376914,0.4780826392291361,0.0034628429219215047,769.6,21.629198372159344,0,9
GraphSAGE,4,128,0.001,10,0.5040013065490772,0.006865860495002156,0.5000489955903968,0.006458742111634284,0.5008329250367467,0.007203403057324551,777.8,22.596951613485878,0,10
GraphSAGE,4,128,0.003,10,0.5092601665850074,0.007150795340870345,0.505177200718602,0.005089325918827119,0.5021231422505308,0.008686221338933903,730.3,60.16652816235212,0,6
GraphSAGE,4,128,0.005,10,0.5056834884860363,0.0061277989397561065,0.4992650661440471,0.004333333059422355,0.49578637922586966,0.004519498753247226,757.1,33.88690340267493,0,8
GraphSAGE,4,128,0.01,10,0.4794545157602482,0.0030949731125448155,0.4708149599869345,0.0049421992687946874,0.45593663236975335,0.017097319556315015,635.3,125.37592361463274,0,2
GraphSAGE,4,128,0.03,10,0.44527192552670253,0.006658648482513223,0.4398334149926506,0.003947861808435536,0.41750775763514614,0.020583216844983956,550.5,212.68717247011708,0,2
GraphSAGEPairNorm,4,128,0.0003,10,0.5009472480810061,0.0024102028751064627,0.49639065817409767,0.006732127158438811,0.49723991507431,0.006458466789241959,748.5,40.022910105754846,1,7
GraphSAGEPairNorm,4,128,0.001,10,0.5209537808263922,0.005290336265055879,0.5162012085578965,0.004888083051256311,0.5166421688714682,0.004310154488447348,750.4,43.581851472577185,0,7
GraphSAGEPairNorm,4,128,0.003,10,0.5289563939245469,0.0025601639414449505,0.5196635636126082,0.005076294172438164,0.5186999836681365,0.0058476282181832906,714.9,88.29426809129671,0,7
GraphSAGEPairNorm,4,128,0.005,10,0.5269965703086722,0.004560461469911015,0.520921117099461,0.007261590472872609,0.5191082802547771,0.006060297575741385,657.4,111.51103582655446,0,4
GraphSAGEPairNorm,4,128,0.01,10,0.5244487996080353,0.004597354295672487,0.5172301159562306,0.005169750707608815,0.5149109913441123,0.007025359462590852,681.7,108.09363225155002,0,4
GraphSAGEPairNorm,4,128,0.03,10,0.5101910828025478,0.004911913338293826,0.503103054058468,0.0061394919322340135,0.49900375632859706,0.00703564512920636,679.6,62.44143923175806,0,4
GraphSAGE,8,128,0.0003,10,0.46728727747836024,0.0049529814776736875,0.4657847460395231,0.005704474668160334,0.4645271925526703,0.006107937409158223,748.8,86.49059036809855,1,9
GraphSAGE,8,128,0.001,10,0.4775926833251674,0.0042049394850312925,0.4766291033806957,0.004656538589541095,0.46895312755185364,0.008251569746962,763.3,45.74579519232099,0,9
GraphSAGE,8,128,0.003,10,0.48221460068593824,0.005521361594430818,0.47783766127715166,0.007438442195650384,0.4723501551527029,0.012208740071391323,742.1,58.020015703395174,0,7
GraphSAGE,8,128,0.005,10,0.36780989710926015,5.164588698627424e-05,0.36794055201698517,5.1645886986282604e-05,0.36794055201698517,5.1645886986282604e-05,1.0,0.0,0,0
GraphSAGE,8,128,0.01,10,0.36780989710926015,5.164588698627424e-05,0.36794055201698517,5.1645886986282604e-05,0.36794055201698517,5.1645886986282604e-05,1.0,0.0,0,0
GraphSAGE,8,128,0.03,10,0.3757471827535522,0.021521880733885928,0.3751592356687898,0.020146817132335543,0.36794055201698517,5.1645886986282604e-05,41.0,85.49074023931871,0,0
GraphSAGEPairNorm,8,128,0.0003,10,0.48619957537154984,0.0028475576962539084,0.48399477380369094,0.006095892195359668,0.48441940225379715,0.005921386068950086,772.7,29.223468498983998,1,10
GraphSAGEPairNorm,8,128,0.001,10,0.5115139637432631,0.002738260403932548,0.5061897762534705,0.006321647845286598,0.5071370243344766,0.004832441125077611,750.4,40.62073909278909,0,8
GraphSAGEPairNorm,8,128,0.003,10,0.5160542217867059,0.006709903035172618,0.5103870651641352,0.008567770913248781,0.5098971092601665,0.007229788823773106,719.0,69.81722168952616,0,7
GraphSAGEPairNorm,8,128,0.005,10,0.5177037399967336,0.006033930431737167,0.5110893352931569,0.005986469003171498,0.5087865425445044,0.005680551955024577,677.1,69.84498709443808,0,3
GraphSAGEPairNorm,8,128,0.01,10,0.5142903805324187,0.005729357990929446,0.5079372856442921,0.0038072279271257367,0.502890739833415,0.0038799778214337346,698.7,74.60421495390786,1,5
GraphSAGEPairNorm,8,128,0.03,10,0.46424955087375464,0.005278783461993452,0.45572431814470027,0.004706549750652118,0.4485709619467581,0.005407466593200243,630.8,104.44541370708646,0,2
