dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
Amazon-Ratings,GraphSAGEPairNorm,1,0,4,128,1,1,convs.0,1024,0.40078383684158325,0.2439701110124588,0.21042831242084503,0.5285179096471448,128,94.70280456542969,0.7398656606674194,0.6106247901916504,0.0013757501728832722,0.3168660718997421
Amazon-Ratings,GraphSAGEPairNorm,1,0,4,128,1,2,pns.0,1024,0.9958400130271912,0.5936836004257202,1.359713077545166,1.1936688083241094,128,95.1258316040039,0.7431705594062805,0.9999939203262329,0.008868258446455002,0.3168660718997421
Amazon-Ratings,GraphSAGEPairNorm,1,0,4,128,1,3,convs.1,1024,0.3212956190109253,0.13646481931209564,0.20901957154273987,0.29459170580168986,128,86.29805755615234,0.6742035746574402,0.8281621336936951,0.002014812547713518,0.3168660718997421
Amazon-Ratings,GraphSAGEPairNorm,1,0,4,128,1,4,pns.1,1024,0.9924851059913635,0.4547561705112457,0.9191792011260986,0.8147894260216317,128,86.42732238769531,0.6752134561538696,0.9999955296516418,0.008824842050671577,0.3168660718997421
Amazon-Ratings,GraphSAGEPairNorm,1,0,4,128,1,5,convs.2,1024,0.33998042345046997,0.10478784888982773,0.15949539840221405,0.21500999715506067,128,79.44351196289062,0.620652437210083,0.8294737935066223,0.00240974104963243,0.3168660718997421
Amazon-Ratings,GraphSAGEPairNorm,1,0,4,128,1,6,pns.2,1024,0.9849509000778198,0.3293881118297577,0.6168497204780579,0.5190081164806505,128,78.44937133789062,0.6128857135772705,0.9999960064888,0.009304987266659737,0.3168660718997421
Amazon-Ratings,GraphSAGEPairNorm,1,0,4,128,1,7,convs.3,1024,0.3124452233314514,0.02997218631207943,0.009217684157192707,0.07014568023133678,5,3.826920986175537,0.7653841972351074,0.32216131687164307,0.012343903072178364,0.3168660718997421
Amazon-Ratings,GraphSAGEPairNorm,1,0,4,128,2,1,convs.0,1024,0.3985494375228882,0.2316981703042984,0.275927871465683,0.47947230660278245,128,85.76766204833984,0.670059859752655,0.7235978245735168,0.0019805398769676685,0.26300428227142386
Amazon-Ratings,GraphSAGEPairNorm,1,0,4,128,2,2,pns.0,1024,0.9951685070991516,0.5550101399421692,1.2349485158920288,1.0875188064989127,128,86.72802734375,0.6775627136230469,0.9999952912330627,0.008868648670613766,0.26300428227142386
Amazon-Ratings,GraphSAGEPairNorm,1,0,4,128,2,3,convs.1,1024,0.40391993522644043,0.1308458298444748,0.21782205998897552,0.2686926110246451,128,72.33476257324219,0.5651153326034546,0.8697962760925293,0.002899843268096447,0.26300428227142386
