dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
Amazon-Ratings,GraphSAGE,1,0,8,128,1,1,convs.0,1024,0.16644495725631714,0.11536895483732224,0.1021357998251915,0.2604380832092894,128,102.22027587890625,0.7985959053039551,0.6208835244178772,0.0005850042216479778,0.38510254700975866
Amazon-Ratings,GraphSAGE,1,0,8,128,1,2,convs.1,1024,0.015534460544586182,0.008137073367834091,0.01119239255785942,0.017642868455084944,128,83.08943939208984,0.6491362452507019,0.7962391972541809,8.616846753284335e-05,0.38510254700975866
Amazon-Ratings,GraphSAGE,1,0,8,128,1,3,convs.2,1024,0.0019269585609436035,0.0007297283154912293,0.0019143633544445038,0.0017077522010614215,128,63.71726989746094,0.4977911710739136,1.056064486503601,2.5657189326011576e-05,0.38510254700975866
Amazon-Ratings,GraphSAGE,1,0,8,128,1,4,convs.3,1024,0.0003077983856201172,7.528323476435617e-05,0.00030305664404295385,0.00020931841800703359,128,39.15610122680664,0.3059070408344269,1.205001711845398,7.947739504743367e-06,0.38510254700975866
Amazon-Ratings,GraphSAGE,1,0,8,128,1,5,convs.4,1024,5.990266799926758e-05,8.22786932985764e-06,0.00010430706606712192,4.395305428649211e-05,128,19.811229705810547,0.1547752320766449,1.5428067445755005,5.573527232627384e-06,0.38510254700975866
Amazon-Ratings,GraphSAGE,1,0,8,128,1,6,convs.5,1024,2.110004425048828e-05,1.483373580413172e-06,6.0331742133712396e-05,1.727035989385186e-05,128,9.0828218460083,0.07095954567193985,1.8590041399002075,4.739828000310808e-06,0.38510254700975866
Amazon-Ratings,GraphSAGE,1,0,8,128,1,7,convs.6,1024,7.033348083496094e-06,3.6919951185154787e-07,8.448278822470456e-05,1.1068410475285555e-05,128,3.336052417755127,0.02606290951371193,2.7815332412719727,8.254524800577201e-06,0.38510254700975866
Amazon-Ratings,GraphSAGE,1,0,8,128,1,8,convs.7,1024,4.76837158203125e-07,3.064334208602304e-08,2.2880829419591464e-05,8.298980219306905e-06,5,1.1207749843597412,0.22415499687194823,1.6572822332382202,6.585656956303865e-05,0.38510254700975866
Amazon-Ratings,GraphSAGE,1,0,8,128,2,1,convs.0,1024,0.11858808994293213,0.0796683058142662,0.06814949959516525,0.18237867384479978,128,96.87139892578125,0.756807804107666,0.6033681631088257,0.00041709604556672275,0.23250232850412378
Amazon-Ratings,GraphSAGE,1,0,8,128,2,2,convs.1,1024,0.012478470802307129,0.006896546576172113,0.00377067131921649,0.014238256497011029,128,66.01407623291016,0.5157349705696106,0.5147632956504822,2.9097645892761648e-05,0.23250232850412378
Amazon-Ratings,GraphSAGE,1,0,8,128,2,3,convs.2,1024,0.0016211271286010742,0.0005392504390329123,0.0005327548715285957,0.0011291567821526962,128,57.13317108154297,0.44635289907455444,0.6867499351501465,6.4096529968082905e-06,0.23250232850412378
Amazon-Ratings,GraphSAGE,1,0,8,128,2,4,convs.3,1024,0.00014853477478027344,3.4365304600214586e-05,3.51763992512133e-05,7.106251343455566e-05,128,31.755615234375,0.2480907440185547,0.7033867239952087,6.270940389185853e-07,0.23250232850412378
Amazon-Ratings,GraphSAGE,1,0,8,128,2,5,convs.4,1024,1.6570091247558594e-05,2.7904593480343465e-06,4.4196503949933685e-06,5.744538138975044e-06,128,33.08595275878906,0.25848400592803955,0.8761246204376221,1.119360675261305e-07,0.23250232850412378
Amazon-Ratings,GraphSAGE,1,0,8,128,2,6,convs.5,1024,2.2649765014648438e-06,2.683430864180991e-07,5.27277563833195e-07,5.612016320996236e-07,128,27.62647247314453,0.21583181619644165,0.9688143730163574,1.86711499594594e-08,0.23250232850412378
Amazon-Ratings,GraphSAGE,1,0,8,128,2,7,convs.6,1024,2.384185791015625e-07,2.5749205434522082e-08,9.334186046316972e-08,4.525584007478742e-08,128,22.658632278442383,0.17702056467533112,1.4407031536102295,5.305214489936816e-09,0.23250232850412378
Amazon-Ratings,GraphSAGE,1,0,8,128,2,8,convs.7,1024,0.0,6.227493187793698e-09,3.770609158237903e-09,4.75112359908418e-09,5,2.6301562786102295,0.5260312557220459,0.8890775442123413,1.2333527088514984e-08,0.23250232850412378
Amazon-Ratings,GraphSAGE,1,0,8,128,4,1,convs.0,1024,0.03551071882247925,0.019867513328790665,0.05379875749349594,0.0698505897093919,128,70.40071105957031,0.5500055551528931,0.8597298860549927,0.00042679329635575414,0.3589889255771062
Amazon-Ratings,GraphSAGE,1,0,8,128,4,2,convs.1,1024,0.009411275386810303,0.0029719755984842777,0.0010173541959375143,0.00608670355450068,128,30.054353713989258,0.23479963839054108,0.4088699519634247,1.2343385606072843e-05,0.3589889255771062
Amazon-Ratings,GraphSAGE,1,0,8,128,4,3,convs.2,1024,0.0012645721435546875,0.00022599288786295801,0.00020842044614255428,0.0005322179399534034,128,20.54271125793457,0.16048993170261383,0.626086413860321,5.2040281843801495e-06,0.3589889255771062
Amazon-Ratings,GraphSAGE,1,0,8,128,4,4,convs.3,1024,3.790855407714844e-05,5.861655154149048e-06,4.828139481105609e-06,1.1957875847510683e-05,128,14.1312255859375,0.11040019989013672,0.6350294351577759,1.2453590159111627e-07,0.3589889255771062
Amazon-Ratings,GraphSAGE,1,0,8,128,4,5,convs.4,1024,2.384185791015625e-06,2.9462694328685757e-07,5.929957751504844e-07,6.251646511260274e-07,128,14.67209529876709,0.11462574452161789,0.9777441620826721,2.2365217233755175e-08,0.3589889255771062
Amazon-Ratings,GraphSAGE,1,0,8,128,4,6,convs.5,1024,4.76837158203125e-07,3.482043808844537e-08,1.2895948486857378e-07,7.620912011445503e-08,128,8.434370994567871,0.06589352339506149,1.2904229164123535,1.0163452301981124e-08,0.3589889255771062
Amazon-Ratings,GraphSAGE,1,0,8,128,4,7,convs.6,1024,0.0,1.0868906663574762e-08,4.451928958815188e-08,7.3779881857008624e-09,128,5.024214744567871,0.03925167769193649,2.436882972717285,5.706094263757677e-09,0.3589889255771062
Amazon-Ratings,GraphSAGE,1,0,8,128,4,8,convs.7,1024,0.0,1.046717112984652e-08,1.5309490564163752e-08,4.1317229784782796e-09,5,1.2552595138549805,0.2510519027709961,1.9305649995803833,6.600080126872854e-08,0.3589889255771062
Amazon-Ratings,GraphSAGE,1,0,8,128,8,1,convs.0,1024,0.021572113037109375,0.013302084989845753,0.07058979570865631,0.05975260591312104,128,71.34818267822266,0.5574076771736145,1.0622069835662842,0.0005805537803098559,0.12546162406521433
Amazon-Ratings,GraphSAGE,1,0,8,128,8,2,convs.1,1024,0.010646820068359375,0.0024563060142099857,0.0013403011253103614,0.006856509105066434,128,18.604459762573242,0.14534734189510345,0.44194576144218445,2.34782764891861e-05,0.12546162406521433
Amazon-Ratings,GraphSAGE,1,0,8,128,8,3,convs.2,1024,0.0005879402160644531,7.853407441871241e-05,6.243662937777117e-05,0.0001615079699505888,128,11.020166397094727,0.08609504997730255,0.6193771958351135,1.9696212802955415e-06,0.12546162406521433
Amazon-Ratings,GraphSAGE,1,0,8,128,8,4,convs.3,1024,0.00018090009689331055,1.211203561979346e-05,2.3329275791184045e-05,4.331561459724037e-05,128,3.0892891883850098,0.02413507178425789,0.7375568151473999,1.3031615253566997e-06,0.12546162406521433
Amazon-Ratings,GraphSAGE,1,0,8,128,8,5,convs.4,1024,2.7298927307128906e-05,1.3413881561064045e-06,1.9401998088142136e-06,4.075564148836826e-06,128,3.141930341720581,0.02454633079469204,0.6898355484008789,1.5551614751529996e-07,0.12546162406521433
Amazon-Ratings,GraphSAGE,1,0,8,128,8,6,convs.5,1024,2.1457672119140625e-06,9.622871743886208e-08,1.3302940260473406e-07,1.9605420133519161e-07,128,4.002212047576904,0.031267281621694565,0.8218513131141663,1.2011307504167235e-08,0.12546162406521433
Amazon-Ratings,GraphSAGE,1,0,8,128,8,7,convs.6,1024,1.1920928955078125e-07,1.4688968263953939e-08,6.843924182931005e-08,2.4105193676790967e-08,128,3.0733354091644287,0.0240104328840971,1.6767799854278564,5.9647975447774115e-09,0.12546162406521433
Amazon-Ratings,GraphSAGE,1,0,8,128,8,8,convs.7,1024,0.0,8.412599505902563e-09,2.4658183050974003e-08,1.0956783310337708e-08,5,1.2081283330917358,0.24162566661834717,1.4940598011016846,6.263407215101324e-08,0.12546162406521433
Amazon-Ratings,GraphSAGE,1,0,8,128,16,1,convs.0,1024,0.01773935556411743,0.010482018813490868,0.02944725565612316,0.04728987536237282,128,66.28265380859375,0.5178332328796387,0.7744008302688599,0.00024534369003959,0.06755301211546687
Amazon-Ratings,GraphSAGE,1,0,8,128,16,2,convs.1,1024,0.0031726956367492676,0.0008344805683009326,0.0003434794780332595,0.0021224671748034047,128,36.686065673828125,0.2866098880767822,0.40168264508247375,5.429553311842028e-06,0.06755301211546687
Amazon-Ratings,GraphSAGE,1,0,8,128,16,3,convs.2,1024,0.00022125244140625,3.0795461498200893e-05,2.0110232071601786e-05,6.300061971946273e-05,128,16.767641067504883,0.1309971958398819,0.5670425891876221,5.584763584920438e-07,0.06755301211546687
Amazon-Ratings,GraphSAGE,1,0,8,128,16,4,convs.3,1024,2.6106834411621094e-05,2.195501792812138e-06,5.5937498473213054e-06,1.0298179260283599e-05,128,3.5047850608825684,0.027381133288145065,0.7422568798065186,2.8593646561603236e-07,0.06755301211546687
Amazon-Ratings,GraphSAGE,1,0,8,128,16,5,convs.4,1024,1.430511474609375e-06,8.878588175775803e-08,5.9553112663479624e-08,1.7110175062211956e-07,128,4.8242082595825195,0.037689127027988434,0.5950708985328674,3.8556184911442415e-09,0.06755301211546687
Amazon-Ratings,GraphSAGE,1,0,8,128,16,6,convs.5,1024,1.1920928955078125e-07,1.908242630577206e-08,1.0115114967845784e-08,2.3710328726528538e-08,128,2.8253371715545654,0.022072946652770042,0.6523091197013855,7.88029086429276e-10,0.06755301211546687
Amazon-Ratings,GraphSAGE,1,0,8,128,16,7,convs.6,1024,0.0,1.0671019623487155e-08,5.175777140209448e-09,2.3150274986638436e-09,128,2.047659158706665,0.01599733717739582,1.4858295917510986,4.710646317462874e-10,0.06755301211546687
Amazon-Ratings,GraphSAGE,1,0,8,128,16,8,convs.7,1024,0.0,1.169025853897665e-08,4.945878817608218e-09,1.5272373505182766e-09,5,1.0477309226989746,0.20954618453979493,1.7999666929244995,1.3590761405168905e-08,0.06755301211546687
Amazon-Ratings,GraphSAGE,1,0,8,128,32,1,convs.0,1024,0.03034120798110962,0.017719462513923645,0.005254932679235935,0.055090863396639086,128,72.7361831665039,0.5682514309883118,0.30466553568840027,3.7958292523398995e-05,0.017280932009017813
Amazon-Ratings,GraphSAGE,1,0,8,128,32,2,convs.1,1024,0.00016760826110839844,5.921725096413866e-05,7.0932806011114735e-06,0.00011934766242764822,128,51.208961486816406,0.4000700116157532,0.24478767812252045,7.671496859984472e-08,0.017280932009017813
Amazon-Ratings,GraphSAGE,1,0,8,128,32,3,convs.2,1024,1.7881393432617188e-06,2.900624167523347e-07,1.1242456565696557e-07,6.016099824188732e-07,128,17.50885772705078,0.13678795099258423,0.42987921833992004,2.687959188563127e-09,0.017280932009017813
Amazon-Ratings,GraphSAGE,1,0,8,128,32,4,convs.3,1024,2.384185791015625e-07,2.316474834174187e-08,7.159176362847575e-09,3.6302485329809036e-08,128,4.942381858825684,0.03861235827207565,0.44589686393737793,3.875162413180533e-10,0.017280932009017813
Amazon-Ratings,GraphSAGE,1,0,8,128,32,5,convs.4,1024,0.0,1.0113120119115138e-08,6.571853061743127e-10,2.984107092324112e-09,128,2.35030198097229,0.018361734226346016,0.47078701853752136,4.905135325694587e-11,0.017280932009017813
Amazon-Ratings,GraphSAGE,1,0,8,128,32,6,convs.5,1024,0.0,9.422302049699738e-09,1.8130805190530452e-10,4.981506741824008e-10,128,1.7099792957305908,0.01335921324789524,0.6002758741378784,1.743802498233027e-11,0.017280932009017813
Amazon-Ratings,GraphSAGE,1,0,8,128,32,7,convs.6,1024,0.0,9.167790082642568e-09,2.93537867623872e-11,2.146523356037608e-11,128,1.7153297662734985,0.013401013799011707,1.1609623432159424,3.4003134509463795e-12,0.017280932009017813
Amazon-Ratings,GraphSAGE,1,0,8,128,32,8,convs.7,1024,0.0,9.780525722646871e-09,2.9858206185284786e-11,9.356677920583353e-12,5,1.0810085535049438,0.21620171070098876,1.782123327255249,1.0578168202490801e-10,0.017280932009017813
Amazon-Ratings,GraphSAGE,1,0,8,128,50,1,convs.0,1024,0.022907018661499023,0.013014419004321098,0.0011869736481457949,0.03783842432346269,128,73.02658081054688,0.5705201625823975,0.17616583406925201,8.438346412731335e-06,0.010877916765586427
Amazon-Ratings,GraphSAGE,1,0,8,128,50,2,convs.1,1024,7.68899917602539e-06,2.9846369216102175e-06,1.75231051002811e-07,6.012161632598254e-06,128,68.54505920410156,0.5355082750320435,0.17073343694210052,1.7863568402276542e-09,0.010877916765586427
Amazon-Ratings,GraphSAGE,1,0,8,128,50,3,convs.2,1024,0.0,1.0388493620894224e-08,3.410237925383086e-10,3.182101266592917e-09,128,31.782670974731445,0.24830211699008942,0.32833266258239746,8.153542944977499e-12,0.010877916765586427
Amazon-Ratings,GraphSAGE,1,0,8,128,50,4,convs.3,1024,0.0,1.1757015805358151e-08,1.8234655105309194e-11,1.8446135514197334e-10,128,4.282804012298584,0.03345940634608269,0.3130224943161011,9.176771755686763e-13,0.010877916765586427
Amazon-Ratings,GraphSAGE,1,0,8,128,50,5,convs.4,1024,0.0,5.232095645624213e-09,1.399738072845047e-12,1.0976491824237653e-11,128,2.453054904937744,0.019164491444826126,0.3605915606021881,9.966100210714868e-14,0.010877916765586427
Amazon-Ratings,GraphSAGE,1,0,8,128,50,6,convs.5,1024,0.0,3.1793117027945073e-09,1.8982667000788656e-13,7.772602889607946e-13,128,3.1143457889556885,0.024330826476216316,0.491069495677948,1.585870649210841e-14,0.010877916765586427
Amazon-Ratings,GraphSAGE,1,0,8,128,50,7,convs.6,1024,0.0,4.8107501982030954e-08,1.7820519501244095e-14,1.709403354579241e-14,128,14.8143310546875,0.1157369613647461,1.0172597169876099,1.6581043695790905e-15,0.010877916765586427
Amazon-Ratings,GraphSAGE,1,0,8,128,50,8,convs.7,1024,0.0,-1.909136626565555e-09,3.2856668910142064e-14,1.0257707630831443e-14,5,2.721698045730591,0.5443396091461181,1.7896732091903687,7.775479885603273e-14,0.010877916765586427
Amazon-Ratings,GraphSAGE,1,0,8,128,100,1,convs.0,1024,0.0034775137901306152,0.0018739225342869759,8.640405212645419e-06,0.004283337823213926,128,67.24970245361328,0.5253883004188538,0.04499526694417,6.133046781542362e-08,0.010849946453537651
Amazon-Ratings,GraphSAGE,1,0,8,128,100,2,convs.1,1024,1.1920928955078125e-07,8.354782643493763e-09,1.9940590845202166e-11,3.6442579510956708e-09,128,40.45616912841797,0.3160638213157654,0.07405641674995422,2.9660540516729395e-13,0.010849946453537651
Amazon-Ratings,GraphSAGE,1,0,8,128,100,3,convs.2,1024,0.0,-2.585589875536698e-08,2.36212792684856e-16,6.023614732485955e-15,128,24.491090774536133,0.19133664667606354,0.19806671142578125,5.662598059310372e-18,0.010849946453537651
Amazon-Ratings,GraphSAGE,1,0,8,128,100,4,convs.3,1024,0.0,0.0,6.4275172007468395e-18,1.9392662636550737e-16,128,2.8760790824890137,0.02246936783194542,0.18129253387451172,1.6949380530669613e-19,0.010849946453537651
Amazon-Ratings,GraphSAGE,1,0,8,128,100,5,convs.4,1024,0.0,-2.384185730786026e-12,1.4070113917677936e-17,2.5340353149379864e-16,128,1.8297771215438843,0.014295133762061596,0.23507118225097656,2.373469398159323e-19,0.010849946453537651
Amazon-Ratings,GraphSAGE,1,0,8,128,100,6,convs.5,1024,0.0,5.960464326965065e-12,3.0788959418424173e-17,2.187793799140006e-16,128,1.9671720266342163,0.015368531458079815,0.3752656579017639,6.962552406799587e-19,0.010849946453537651
Amazon-Ratings,GraphSAGE,1,0,8,128,100,7,convs.6,1024,0.0,4.6696065680862375e-08,5.130709907393016e-16,5.766478844524281e-16,128,2.6520655155181885,0.020719261839985847,0.9427236318588257,1.1086099562562291e-17,0.010849946453537651
