dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,class_metric_scope,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm,selected_representation,source_file,best_epoch,test_acc_at_best_val,metric_epoch_gap
Amazon-Ratings,GraphSAGEPairNorm,1,0,4,128,600,6,pns.2,2048,0,0,,,,,,,0.9928786158561708,0.4901078045368194,1.1114341020584106,0.9396261464290894,128,20.655216217041016,0.1613688766956329,0.9999969601631165,0.0092409942299127,0.6740845351004215,pns.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split0_oversmoothing.csv,799,0.5250694104197289,199
Amazon-Ratings,GraphSAGEPairNorm,1,1,4,128,400,6,pns.2,2048,0,0,,,,,,,0.9935269355773926,0.4390071332454681,1.0262038707733154,0.8666498808465167,128,20.635257720947266,0.1612129509449005,0.9999969601631165,0.0092508140951395,0.5612675137019382,pns.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split1_oversmoothing.csv,598,0.5191899395721051,198
Amazon-Ratings,GraphSAGEPairNorm,1,2,4,128,600,6,pns.2,2048,0,0,,,,,,,0.9924401640892028,0.4849007725715637,1.1266396045684814,0.9459081323111066,128,20.93757057189941,0.1635747700929641,0.9999969601631165,0.0093052079901099,0.5486159663200522,pns.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split2_oversmoothing.csv,759,0.5198432141107301,159
Amazon-Ratings,GraphSAGEPairNorm,1,3,4,128,600,6,pns.2,2048,0,0,,,,,,,0.9910020232200624,0.4545161426067352,1.0503429174423218,0.8661647954633014,128,20.250059127807617,0.158203586935997,0.999996781349182,0.0094737214967608,0.6769397063183201,pns.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split3_oversmoothing.csv,775,0.5103707333006696,175
Amazon-Ratings,GraphSAGEPairNorm,1,4,4,128,400,6,pns.2,2048,0,0,,,,,,,0.9945124983787536,0.4440439641475677,1.0155912637710571,0.8545698952235189,128,21.642240524291992,0.1690800040960312,0.9999967217445374,0.0092845624312758,0.706740603204815,pns.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split4_oversmoothing.csv,589,0.5253960476890414,189
Amazon-Ratings,GraphSAGEPairNorm,1,5,4,128,600,6,pns.2,2048,0,0,,,,,,,0.992371678352356,0.4785117208957672,1.102771878242493,0.9243506443221066,128,20.987323760986328,0.1639634668827057,0.9999969601631165,0.009320493787527,0.6966636162388861,pns.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split5_oversmoothing.csv,602,0.524416135881104,2
Amazon-Ratings,GraphSAGEPairNorm,1,6,4,128,600,6,pns.2,2048,0,0,,,,,,,0.990259289741516,0.470092236995697,1.081504225730896,0.9145734210521804,128,21.2204532623291,0.1657847911119461,0.9999969601631165,0.0092384619638323,0.6232804357239777,pns.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split6_oversmoothing.csv,658,0.5245794545157603,58
Amazon-Ratings,GraphSAGEPairNorm,1,7,4,128,600,6,pns.2,2048,0,0,,,,,,,0.994745910167694,0.4544425904750824,1.0491249561309814,0.8892094504151471,128,20.85754776000977,0.1629495918750763,0.999996781349182,0.009217501617968,0.5742841661776318,pns.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split7_oversmoothing.csv,616,0.5180467091295117,16
Amazon-Ratings,GraphSAGEPairNorm,1,8,4,128,600,6,pns.2,2048,0,0,,,,,,,0.990808606147766,0.4868234694004059,1.1236050128936768,0.940996308887383,128,20.852048873901367,0.1629066318273544,0.999996781349182,0.0093285851180553,0.5854316156234733,pns.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split8_oversmoothing.csv,747,0.510697370569982,147
Amazon-Ratings,GraphSAGEPairNorm,1,9,4,128,600,6,pns.2,2048,0,0,,,,,,,0.9918349385261536,0.4776655733585357,1.099208116531372,0.9233090313863904,128,20.53506851196289,0.16043022274971,0.999996781349182,0.0093008559197187,0.5333600914455613,pns.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGEPairNorm_L4_H128_seed1_split9_oversmoothing.csv,686,0.5183733463988242,86
