dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,class_metric_scope,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm,selected_representation,source_file
Amazon-Ratings,GraphSAGE,1,0,4,128,1,3,convs.2,2048,0,0,,,,,,,0.0079983472824096,0.0030622440390288,0.0051319133490324,0.0064809401611096,128,76.15853118896484,0.5949885249137878,0.8893155455589294,5.647148282150738e-05,0.4242810332256352,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split0_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,0,4,128,10,3,convs.2,2048,0,0,,,,,,,0.0015774369239807,0.0004423649224918,0.0079352855682373,0.001866553875958,128,35.08893585205078,0.2741323113441467,2.056408405303955,0.0002300795167684,0.2283957334482813,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split0_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,0,4,128,25,3,convs.2,2048,0,0,,,,,,,0.003618836402893,0.0004009442345704,0.016592962667346,0.0029936604537768,128,14.132583618164062,0.1104108095169067,2.3363747596740723,0.000804255134426,0.0979087083896815,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split0_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,0,4,128,50,3,convs.2,2048,0,0,,,,,,,0.2071930766105651,0.0130380978807806,0.182251289486885,0.0332493034289503,128,4.33744478225708,0.0338862873613834,2.240725040435791,0.0118336528539657,0.1664698755993255,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split0_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,0,4,128,100,3,convs.2,2048,0,0,,,,,,,0.3101719617843628,0.0217544101178646,0.2136127352714538,0.0607729491700632,128,3.964114427566528,0.0309696439653635,1.754409909248352,0.010672646574676,0.7510967796317701,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split0_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,0,4,128,200,3,convs.2,2048,0,0,,,,,,,0.3270409703254699,0.043394960463047,0.3284629583358764,0.1211053490880267,128,3.276318073272705,0.025596234947443,1.5491788387298584,0.0084445672109723,0.5718285238559074,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split0_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,0,4,128,400,3,convs.2,2048,0,0,,,,,,,0.3534379005432129,0.1175545006990432,0.8347853422164917,0.3323491189530805,128,3.168637275695801,0.0247549787163734,1.4623398780822754,0.0089578218758106,2.4389838645143733,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split0_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,0,4,128,600,3,convs.2,2048,0,0,,,,,,,0.360020101070404,0.167361319065094,1.5312540531158447,0.501143003792274,128,2.994702816009521,0.0233961157500743,1.5512943267822266,0.0117800766602158,5.466174864144781,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split0_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,0,4,128,800,3,convs.2,2048,0,0,,,,,,,0.410997211933136,0.2131108939647674,2.001850128173828,0.6261657967524779,128,3.076511144638061,0.0240352433174848,1.5414804220199585,0.0139763979241251,2.089520692571218,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split0_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,1,4,128,1,3,convs.2,2048,0,0,,,,,,,0.0079922080039978,0.0030472634825855,0.0050978926010429,0.0064535319006302,128,76.04828643798828,0.5941272377967834,0.8882471323013306,5.6319167924812064e-05,0.4233436776793864,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split1_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,1,4,128,10,3,convs.2,2048,0,0,,,,,,,0.0015793442726135,0.000441774376668,0.0076276487670838,0.0018330479847312,128,35.4145393371582,0.2766760885715484,2.0347533226013184,0.000216991524212,0.2319417999723173,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split1_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,1,4,128,25,3,convs.2,2048,0,0,,,,,,,0.0036138296127319,0.0003838724514935,0.0138074476271867,0.0025744305020493,128,15.09866428375244,0.1179583147168159,2.301359176635742,0.0006645172834396,0.1083448478665472,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split1_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,1,4,128,50,3,convs.2,2048,0,0,,,,,,,0.2066787481307983,0.0116534437984228,0.1619311273097992,0.0294146979082205,128,4.292388439178467,0.0335342846810817,2.256191730499268,0.0115486495196819,0.1897206199260748,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split1_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,1,4,128,100,3,convs.2,2048,0,0,,,,,,,0.2461864948272705,0.0171516947448253,0.1903778910636901,0.0484537570404098,128,4.043839454650879,0.0315924957394599,1.8747650384902956,0.0095781115815043,0.9391897099532374,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split1_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,1,4,128,200,3,convs.2,2048,0,0,,,,,,,0.3203004002571106,0.044473297894001,0.3241834044456482,0.1097400746367975,128,3.3510468006134038,0.0261800531297922,1.6236072778701782,0.0086473356932401,3.4662997253332466,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split1_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,1,4,128,400,3,convs.2,2048,0,0,,,,,,,0.3644627928733825,0.1194565892219543,0.8578568696975708,0.3275577518697428,128,3.156452178955078,0.0246597826480865,1.4922668933868408,0.0092910546809434,3.32152151577487,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split1_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,1,4,128,600,3,convs.2,2048,0,0,,,,,,,0.4212045073509216,0.202442318201065,1.4517886638641355,0.582011116551749,128,3.116133213043213,0.0243447907269001,1.3986873626708984,0.0108268614858388,3.646098322911585,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split1_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,1,4,128,800,3,convs.2,2048,0,0,,,,,,,0.4446050524711609,0.230648010969162,1.989749789237976,0.665279461336363,128,2.989992141723633,0.0233593136072158,1.4821152687072754,0.0137316267937421,3.864156609620319,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split1_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,2,4,128,1,3,convs.2,2048,0,0,,,,,,,0.0080372095108032,0.0030572002287954,0.0050907065160572,0.0064777838446619,128,75.90912628173828,0.5930400490760803,0.8859533667564392,5.6322827731492e-05,0.4240595098332873,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split2_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,2,4,128,10,3,convs.2,2048,0,0,,,,,,,0.0016362071037292,0.000451839325251,0.0081264860928058,0.0019314737624072,128,34.933311462402344,0.2729164958000183,2.045637607574463,0.0002338328340556,0.2313236362383463,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split2_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,2,4,128,25,3,convs.2,2048,0,0,,,,,,,0.0040207505226135,0.0004488950944505,0.0169937331229448,0.0031383011719346,128,14.47683048248291,0.1131002381443977,2.3087921142578125,0.0008199351723305,0.1066388160328128,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split2_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,2,4,128,50,3,convs.2,2048,0,0,,,,,,,0.1808979511260986,0.0111875282600522,0.1745746582746505,0.0292757081920896,128,4.406946659088135,0.034429270774126,2.34446382522583,0.0115245971828699,0.1765476682282304,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split2_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,2,4,128,100,3,convs.2,2048,0,0,,,,,,,0.2838593125343323,0.0199595503509044,0.2099802792072296,0.0583562089000128,128,4.167198657989502,0.0325562395155429,1.7869725227355957,0.0103985574096441,0.8227614513498377,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split2_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,2,4,128,200,3,convs.2,2048,0,0,,,,,,,0.3019639253616333,0.0360675863921642,0.3085410296916961,0.0997868248360776,128,3.409052848815918,0.0266332253813743,1.6635162830352783,0.0087774535641074,0.2781502043071136,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split2_oversmoothing.csv
Amazon-Ratings,GraphSAGE,1,2,4,128,400,3,convs.2,2048,0,0,,,,,,,0.3506203889846802,0.108945332467556,0.7098503708839417,0.2905654471159898,128,3.198111057281494,0.0249852426350116,1.4554063081741333,0.0086230281740427,1.9531543282005612,convs.2,runs/amazon_ratings_matched_lr_oversmoothing_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split2_oversmoothing.csv
