model,num_layers,epoch,selected_representation,mean_mean_pairwise_cosine_distance,std_mean_pairwise_cosine_distance,mean_mean_edge_cosine_distance,std_mean_edge_cosine_distance,mean_normalized_dirichlet_energy,std_normalized_dirichlet_energy,mean_effective_rank,std_effective_rank,mean_effective_rank_ratio,std_effective_rank_ratio,mean_mean_embedding_norm,std_mean_embedding_norm,mean_mean_feature_variance,std_mean_feature_variance,mean_gradient_norm,std_gradient_norm
GraphSAGE,4,1,convs.2,0.007970833778381311,6.543010843674606e-05,0.0030415353365241997,1.920380634305211e-05,0.006439181489245591,4.2301989595197664e-05,76.0742202758789,0.1214345870785138,0.5943298459053039,0.0009487077115508891,0.888353681564331,0.0024811497412978037,5.613567482214421e-05,3.9024249520751987e-07,0.4238912828595575,0.0003338718039101439
GraphSAGE,4,10,convs.2,0.0015830576419829999,5.92628124306104e-05,0.00043993977014900997,9.717509165710984e-06,0.00184583994958647,5.4581737006727794e-05,35.2103988647461,0.4119182424696904,0.2750812411308289,0.0032181112692944427,2.049335789680481,0.00753903312619004,0.00022587107814611,7.436908141108379e-06,0.2307030975926679,0.0018366695206919548
GraphSAGE,4,25,convs.2,0.00389299988746638,0.0005693799811187007,0.00041026026301545,3.8979571568589395e-05,0.00292700401563811,0.0002106676176562768,14.244432258605958,0.48673649912232436,0.11128462702035899,0.0038026288993931482,2.330773115158081,0.01761320889460788,0.00079542864114041,6.512337363321365e-05,0.1026319294127761,0.004455671481578572
GraphSAGE,4,50,convs.2,0.19606204628944396,0.010691869443661423,0.011741324607282829,0.000673168302173687,0.02993320396084817,0.0018443084852253822,4.314684820175171,0.08246160923286383,0.033708475157618475,0.0006442313221317452,2.2814675092697145,0.04633486505616826,0.011430092062801081,0.00045537805135758836,0.11303850689594339,0.05629633243827756
GraphSAGE,4,100,convs.2,0.276032030582428,0.027483052922061685,0.019653134979307617,0.00139047581622243,0.054875889429204405,0.004407707686660551,4.0760023355484005,0.07123058489711596,0.03184376824647183,0.0005564889445087112,1.8031140685081481,0.11117304699219492,0.01001238999888298,0.00047075884143415065,0.7315325144363902,0.2637575314178441
GraphSAGE,4,200,convs.2,0.32155937552452085,0.021965502021638952,0.04115981832146641,0.0042389525548392065,0.10935239928287321,0.009645084238561122,3.3669680833816527,0.09003390730636192,0.02630443815141912,0.0007033899008309473,1.5978983402252198,0.07782373442937804,0.00850543249398466,0.0005197617889843246,2.231158997359763,2.0766958932845627
GraphSAGE,4,400,convs.2,0.3528089225292206,0.019497224703238853,0.11652371138334269,0.008455908749416392,0.32043825510624113,0.02239503995525393,3.2364267826080324,0.11622450302726119,0.0252845842391252,0.000908003929900483,1.4974129676818848,0.06344121994772763,0.00917154131457205,0.00041651816622813965,2.060516736578825,0.6089919873638873
GraphSAGE,4,600,convs.2,0.4001924455165863,0.020601736670173176,0.18834725916385647,0.011154306372320748,0.538107791800029,0.03270903968962747,3.1360955238342285,0.10812527649559894,0.02450074627995486,0.0008447287226218822,1.4712061166763306,0.05887880086168658,0.01122595025226469,0.0005905412658516762,2.997552104410182,1.1287317091219542
GraphSAGE,4,800,convs.2,0.4266492068767548,0.01803645871872254,0.22279115915298459,0.008782145745853322,0.6391586796385148,0.022177699869943578,3.0954846858978273,0.09745164123978818,0.02418347410857672,0.0007613409471858512,1.5045769572257996,0.046619965902374154,0.013449424877762739,0.0007017524315585797,2.596522192489541,0.9459572801247405
GraphSAGEPairNorm,4,1,pns.2,0.9910667300224304,0.0005624250598557051,0.48296462595462797,0.0020355500264450863,0.8592151846866459,0.00573920845453199,97.83254852294922,0.24223643471034947,0.7643167853355408,0.0018924721461745916,0.9999946296215058,7.13598132006433e-08,0.008985779434442471,3.715927506831195e-05,0.31673309086750134,0.0002161566956192085
GraphSAGEPairNorm,4,10,pns.2,0.9637670516967773,0.004235599853072683,0.10378629863262172,0.003965224739492587,0.12881803954344634,0.005172187576465091,30.35275020599365,0.8148568391464033,0.2371308609843254,0.006366069055831271,0.9999987006187439,6.15594123894248e-08,0.01085690092295403,0.00012093862198914553,0.18863522949582087,0.0009175201703339563
GraphSAGEPairNorm,4,25,pns.2,0.980812919139862,0.0030624215658396716,0.08714351430535311,0.003983401230164198,0.1264329499299595,0.005306735834217111,15.473646259307861,0.4575478291018637,0.12088786140084262,0.0035745924148583128,0.9999990880489349,4.0230069025508294e-08,0.01051134914159769,8.799951836130842e-05,0.09076663533705963,0.002333565942741117
GraphSAGEPairNorm,4,50,pns.2,0.9897588849067688,0.002621716928851925,0.13146069645881647,0.005117774079784155,0.22276969111749204,0.008406534813598772,13.848800945281983,0.3854315336737152,0.10819375738501544,0.003011183856825903,0.9999984681606293,7.460508085336497e-08,0.00981498751789324,0.00010987753754090989,0.2354183287670079,0.02902504470100451
