dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
Amazon-Ratings,GCNPairNorm,1,0,2,64,1,1,convs.0,1024,0.3139981627464294,0.0708372965455055,0.1699686050415039,0.8233134131931931,64,48.8213005065918,0.7628328204154968,0.4235137701034546,0.0013324656756594,0.3319526916019886
Amazon-Ratings,GCNPairNorm,1,0,2,64,1,2,pns.0,1024,0.9843676686286926,0.4654978513717651,2.431053638458252,2.013196395405454,64,48.74361801147461,0.7616190314292908,0.9999880194664,0.0188712086528539,0.3319526916019886
Amazon-Ratings,GCNPairNorm,1,0,2,64,1,3,convs.1,1024,0.4173014760017395,0.0544481091201305,0.0288197696208953,0.3404822865713821,5,4.670044898986816,0.9340089797973632,0.2590274512767792,0.0085314726456999,0.3319526916019886
Amazon-Ratings,GCNPairNorm,1,0,2,64,2,1,convs.0,1024,0.2890058755874634,0.0614540688693523,0.2254538238048553,0.8117327274264622,64,45.41733551025391,0.7096458673477173,0.4878928363323211,0.0016643810085952,0.2755836062599723
Amazon-Ratings,GCNPairNorm,1,0,2,64,2,2,pns.0,1024,0.9849981665611268,0.4677765369415283,2.571631669998169,2.117391860779024,64,45.93935775756836,0.7178024649620056,0.9999900460243224,0.019022449851036,0.2755836062599723
Amazon-Ratings,GCNPairNorm,1,0,2,64,2,3,convs.1,1024,0.2546515464782715,0.0248719956725835,0.0389562509953975,0.2121927413958064,5,4.362894058227539,0.8725788116455078,0.3893501460552215,0.0138605162501335,0.2755836062599723
Amazon-Ratings,GCNPairNorm,1,0,2,64,4,1,convs.0,1024,0.2296546101570129,0.0417640171945095,0.414593905210495,0.8514234648236219,64,39.34341049194336,0.614740788936615,0.6479683518409729,0.0025437050499022,0.2126128430696236
Amazon-Ratings,GCNPairNorm,1,0,2,64,4,2,pns.0,1024,0.9827092289924622,0.5078371167182922,3.17261266708374,2.5366942088393705,64,40.177433013916016,0.6277723908424377,0.9999926686286926,0.0194313451647758,0.2126128430696236
Amazon-Ratings,GCNPairNorm,1,0,2,64,4,3,convs.1,1024,0.1552409529685974,0.0114077217876911,0.0556488186120986,0.1314712444211161,5,4.066907405853272,0.8133814811706543,0.6050285696983337,0.0227218568325042,0.2126128430696236
Amazon-Ratings,GCNPairNorm,1,0,2,64,8,1,convs.0,1024,0.1473572254180908,0.0237651634961366,0.9044042825698853,0.8634355306834562,64,30.97620010375977,0.4840031266212463,0.9573987722396852,0.0042988508939743,0.1380486379035505
Amazon-Ratings,GCNPairNorm,1,0,2,64,8,2,pns.0,1024,0.9745373129844666,0.5714166760444641,4.238044738769531,3.2854906096861787,64,31.515748977661133,0.4924335777759552,0.9999950528144836,0.0200905054807662,0.1380486379035505
Amazon-Ratings,GCNPairNorm,1,0,2,64,8,3,convs.1,1024,0.0904838442802429,0.0061607407405972,0.078313261270523,0.0739550053337806,5,3.6595847606658936,0.7319169521331788,0.9607046246528624,0.0438460148870945,0.1380486379035505
Amazon-Ratings,GCNPairNorm,1,0,2,64,16,1,convs.0,1024,0.116746187210083,0.0174062065780162,1.3283743858337402,0.8811562034216696,64,25.972383499145508,0.4058184921741485,1.1521817445755005,0.0052952533587813,0.0557943709486457
Amazon-Ratings,GCNPairNorm,1,0,2,64,16,2,pns.0,1024,0.9956426620483398,0.6246917247772217,5.15071439743042,3.9286356622093344,64,26.19290542602539,0.4092641472816467,0.9999957084655762,0.0204932801425457,0.0557943709486457
Amazon-Ratings,GCNPairNorm,1,0,2,64,16,3,convs.1,1024,0.0948145389556884,0.0042567937634885,0.1446892172098159,0.0574121331052659,5,3.3837666511535645,0.6767533302307129,1.489145040512085,0.1013624891638755,0.0557943709486457
Amazon-Ratings,GCNPairNorm,1,0,2,64,32,1,convs.0,1024,0.2848877310752868,0.04964504763484,0.2667938470840454,0.926158104453069,64,34.04380798339844,0.5319344997406006,0.5028605461120605,0.0017249366501346,0.0265956335311125
Amazon-Ratings,GCNPairNorm,1,0,2,64,32,2,pns.0,1024,0.990919828414917,0.4526845514774322,3.033322334289551,2.4044267836463367,64,33.89234161376953,0.5295678377151489,0.9999898672103882,0.0195166952908039,0.0265956335311125
Amazon-Ratings,GCNPairNorm,1,0,2,64,32,3,convs.1,1024,0.1877939701080322,0.0108678732067346,0.3422636985778808,0.0864311601100305,5,3.3561363220214844,0.6712272644042969,1.8594655990600584,0.2360812872648239,0.0265956335311125
Amazon-Ratings,GCNPairNorm,1,0,2,64,50,1,convs.0,1024,0.5760756731033325,0.1201973408460617,0.043941956013441,0.9931260133188622,64,45.23970031738281,0.7068703174591064,0.1959621608257293,0.0004459364572539,0.0550095149222032
Amazon-Ratings,GCNPairNorm,1,0,2,64,50,2,pns.0,1024,0.9962969422340392,0.3406609296798706,1.8940304517745967,1.5400999382994711,64,45.99454879760742,0.718664824962616,0.9999679327011108,0.0191244017332792,0.0550095149222032
Amazon-Ratings,GCNPairNorm,1,0,2,64,50,3,convs.1,1024,0.2374511957168579,0.0164686813950538,0.5076021552085876,0.1147142316681203,5,3.539346218109131,0.7078692436218261,1.9749481678009035,0.296262115240097,0.0550095149222032
Amazon-Ratings,GCNPairNorm,1,0,2,64,100,1,convs.0,1024,0.7721072435379028,0.1837618947029113,0.0180192124098539,1.010230186995457,64,52.71736145019531,0.8237087726593018,0.1241395473480224,0.000230322999414,0.162503270563328
Amazon-Ratings,GCNPairNorm,1,0,2,64,100,2,pns.0,1024,0.997512936592102,0.29775470495224,1.469419240951538,1.2296212907982464,64,52.273475646972656,0.8167730569839478,0.9999427199363708,0.0187961757183074,0.162503270563328
