dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,effective_rank,mean_embedding_norm,mean_feature_variance,gradient_norm
Amazon-Ratings,GCN,1,0,2,64,1,1,convs.0,1024,0.1943939328193664,0.0457766987383365,0.1938215941190719,48.92316055297852,0.4983287751674652,0.0012233514571562,0.3949271867462774
Amazon-Ratings,GCN,1,0,2,64,1,2,convs.1,1024,0.0411677956581115,0.0035658739507198,0.0120222698897123,4.488943576812744,0.1957038938999176,0.0008883750415407,0.3949271867462774
Amazon-Ratings,GCN,1,0,2,64,2,1,convs.0,1024,0.0912227630615234,0.0215213559567928,0.3449891805648803,44.58499526977539,0.7192114591598511,0.0015952003886923,0.3341183763073419
Amazon-Ratings,GCN,1,0,2,64,2,2,convs.1,1024,0.0113396048545837,0.0008025199640542,0.0699072331190109,3.542492151260376,0.4831589460372925,0.0034165654797106,0.3341183763073419
Amazon-Ratings,GCN,1,0,2,64,4,1,convs.0,1024,0.0334013104438781,0.0075412383303046,0.8991327881813049,36.24983215332031,1.1983071565628052,0.0029968165326863,0.2152086042598343
Amazon-Ratings,GCN,1,0,2,64,4,2,convs.1,1024,0.0039641857147216,0.0002387042768532,0.408907800912857,2.572248935699463,1.1728417873382568,0.0177734177559614,0.2152086042598343
Amazon-Ratings,GCN,1,0,2,64,8,1,convs.0,1024,0.0161374807357788,0.0032238562125712,2.1656947135925293,23.282400131225582,1.8781821727752688,0.0063042105175554,0.1350507967029821
Amazon-Ratings,GCN,1,0,2,64,8,2,convs.1,1024,0.0030338168144226,0.0001404995273333,1.7895926237106323,2.109666347503662,2.4129862785339355,0.0746071264147758,0.1350507967029821
Amazon-Ratings,GCN,1,0,2,64,16,1,convs.0,1024,0.0254065990447998,0.004443353973329,2.022432565689087,20.49398422241211,1.8386567831039429,0.0061580250039696,0.0360809091120884
Amazon-Ratings,GCN,1,0,2,64,16,2,convs.1,1024,0.0134220719337463,0.0006176599417813,1.0714452266693115,2.820802688598633,1.9073220491409304,0.0531624965369701,0.0360809091120884
Amazon-Ratings,GCN,1,0,2,64,32,1,convs.0,1024,0.0338889956474304,0.0067106299102306,1.546310305595398,15.622438430786133,1.6546061038970947,0.0050717457197606,0.0261090173548966
Amazon-Ratings,GCN,1,0,2,64,32,2,convs.1,1024,0.0397866368293762,0.0016646194271743,0.9982609152793884,2.8532614707946777,1.8537548780441284,0.0664047971367836,0.0261090173548966
Amazon-Ratings,GCN,1,0,2,64,50,1,convs.0,1024,0.0516974925994873,0.0114828068763017,0.9145910739898682,13.887300491333008,1.317276120185852,0.0034338189288973,0.0185724253241808
Amazon-Ratings,GCN,1,0,2,64,50,2,convs.1,1024,0.0746324658393859,0.0036670097615569,0.9624192118644714,2.8033666610717773,1.8068525791168213,0.088534228503704,0.0185724253241808
Amazon-Ratings,GCN,1,0,2,64,100,1,convs.0,1024,0.1186275482177734,0.0575141869485378,0.5103129744529724,14.860626220703123,0.8580140471458435,0.0021796324290335,0.0430270391967846
Amazon-Ratings,GCN,1,0,2,64,100,2,convs.1,1024,0.1303640007972717,0.007438326254487,0.8211861252784729,2.93871808052063,1.9072926044464111,0.1374018639326095,0.0430270391967846
Amazon-Ratings,GCN,1,0,2,64,150,1,convs.0,1024,0.1843978762626648,0.1077333390712738,0.439479798078537,15.999160766601562,0.7018163800239563,0.0020058741793036,0.0329287352790749
Amazon-Ratings,GCN,1,0,2,64,150,2,convs.1,1024,0.1429240703582763,0.0086824391037225,0.7952158451080322,3.082159280776977,1.9642009735107424,0.1674718111753463,0.0329287352790749
Amazon-Ratings,GCN,1,0,2,64,200,1,convs.0,1024,0.2321776151657104,0.1395879983901977,0.401080459356308,17.024900436401367,0.6169154644012451,0.0019209927413612,0.0371345220905074
Amazon-Ratings,GCN,1,0,2,64,200,2,convs.1,1024,0.1557373404502868,0.0095547996461391,0.8017742037773132,3.150650978088379,1.9960309267044067,0.1894809603691101,0.0371345220905074
