dataset,model,num_layers,hidden_channels,learning_rate,seed,split_idx,best_epoch_400,best_val_acc_400,test_acc_at_best_val_400,best_epoch_800,best_val_acc_800,test_acc_at_best_val_800,validation_gain_800_minus_400,test_gain_800_minus_400,best_epoch_shift,optimum_after_400,optimum_at_800_cap,optimum_last_10_percent,final_val_acc,final_test_acc,final_loss,summary_path,history_path
Amazon-Ratings,GraphSAGE,4,128,0.005,1,0,385,0.4897925853339866,0.4876694430834558,689,0.4997550220480157,0.5056344928956394,0.009962436714029077,0.017965049812183664,304,True,False,False,0.4964886493548914,0.5051445369916707,0.701000988483429,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split0_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split0_history.csv
Amazon-Ratings,GraphSAGE,4,128,0.005,1,1,385,0.4953454189122979,0.4839131144863628,793,0.5066144047035767,0.4955087375469541,0.011268985791278774,0.011595623060591309,408,True,False,True,0.5025314388371713,0.4912624530458925,0.6865071058273315,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split1_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split1_history.csv
Amazon-Ratings,GraphSAGE,4,128,0.005,1,2,369,0.501551527029234,0.4894659480646742,738,0.5097174587620448,0.5012248897599216,0.008165931732810772,0.011758941695247438,369,True,False,True,0.5000816593173281,0.4964886493548914,0.7775993943214417,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split2_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split2_history.csv
Amazon-Ratings,GraphSAGE,4,128,0.005,1,3,377,0.4866895312755185,0.4830965213130818,791,0.5079209537808264,0.4942021884697044,0.02123142250530785,0.01110566715662259,414,True,False,True,0.5022048015678588,0.4919157275845174,0.7088162899017334,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split3_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split3_history.csv
Amazon-Ratings,GraphSAGE,4,128,0.005,1,4,382,0.4889759921607055,0.4861995753715499,664,0.5113506451086068,0.4981218357014535,0.022374652947901363,0.011922260329903622,282,True,False,False,0.503837987914421,0.5056344928956394,0.6542844772338867,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split4_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split4_history.csv
Amazon-Ratings,GraphSAGE,4,128,0.005,1,5,368,0.4868528499101747,0.4803201045239262,740,0.4987751102400783,0.4974685611628286,0.011922260329903622,0.01714845663890241,372,True,False,True,0.4937122325657357,0.4971419238935162,0.7080971002578735,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split5_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split5_history.csv
Amazon-Ratings,GraphSAGE,4,128,0.005,1,6,375,0.4948554630083293,0.4902825412379552,758,0.5090641842234199,0.4986117916054222,0.014208721215090647,0.008329250367466956,383,True,False,True,0.5090641842234199,0.5004082965866405,0.6806328296661377,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split6_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split6_history.csv
Amazon-Ratings,GraphSAGE,4,128,0.005,1,7,392,0.4881593989874244,0.4795035113506451,529,0.4950187816429854,0.4875061244487996,0.006859382655561019,0.008002613098154476,137,True,False,False,0.4852196635636126,0.490119222603299,0.7106730937957764,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split7_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split7_history.csv
Amazon-Ratings,GraphSAGE,4,128,0.005,1,8,400,0.4982851543361097,0.4850563449289564,799,0.5046545810877021,0.5025314388371713,0.006369426751592411,0.017475093908214945,399,True,False,True,0.5041646251837335,0.5023681202025151,0.6595035195350647,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split8_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split8_history.csv
Amazon-Ratings,GraphSAGE,4,128,0.005,1,9,392,0.4842397517556753,0.4775436877347705,704,0.4979585170667973,0.5067777233382329,0.013718765311121983,0.029234035603462383,312,True,False,False,0.4879960803527682,0.4956720561816103,0.700850248336792,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split9_summary.json,runs/amazon_ratings_selected_lr_800ep/Amazon-Ratings_GraphSAGE_L4_H128_seed1_split9_history.csv
