model,num_layers,learning_rate,epoch,mean_train_acc,mean_val_acc,mean_test_acc,mean_loss
GraphSAGE,4,0.005,1,0.3678752245631226,0.36780989710926015,0.36794055201698517,1.6220130443572998
GraphSAGE,4,0.005,26,0.37225216397190913,0.3724154826065654,0.371696880614078,1.392143189907074
GraphSAGE,4,0.005,51,0.4322799281398007,0.4215907235015515,0.4225869671729544,1.3051313281059265
GraphSAGE,4,0.005,76,0.453405193532582,0.4286624203821655,0.4307039033153683,1.271322286128998
GraphSAGE,4,0.005,101,0.47902988731014207,0.4381512330556916,0.43779193205944794,1.2162676453590393
GraphSAGE,4,0.005,126,0.4930017965049812,0.4376449452882573,0.440552016985138,1.1887609362602234
GraphSAGE,4,0.005,151,0.5156867548587294,0.44889759921607053,0.45082475910501385,1.138844072818756
GraphSAGE,4,0.005,176,0.5402253797158256,0.4579944471664216,0.45735750449126245,1.1158116579055786
GraphSAGE,4,0.005,201,0.5488322717622081,0.4565899069083782,0.45704719908541563,1.1014911890029908
GraphSAGE,4,0.005,226,0.5703331700146987,0.4647395067777233,0.464233219010289,1.073003339767456
GraphSAGE,4,0.005,251,0.5875877837661277,0.46949207904621915,0.46838151233055686,1.0504895091056823
GraphSAGE,4,0.005,276,0.6004899559039687,0.4707169688061407,0.46960640209047855,1.0219057321548461
GraphSAGE,4,0.005,301,0.6164951821002776,0.46795688388045076,0.468463171647885,1.0092327773571015
GraphSAGE,4,0.005,326,0.639000489955904,0.4751102400783929,0.4745386248570962,0.984408438205719
GraphSAGE,4,0.005,351,0.6573738363547281,0.47471827535521804,0.4772987097827862,0.9590489447116852
GraphSAGE,4,0.005,376,0.6825902335456475,0.48162665360117585,0.4828842070880287,0.9281172454357147
GraphSAGE,4,0.005,400,0.6974603952310958,0.48430507920953775,0.48067940552016986,0.9023594439029694
GraphSAGE,4,0.005,401,0.7036420055528336,0.4808917197452229,0.4813490119222603,0.9021551549434662
GraphSAGE,4,0.005,426,0.7137922586967174,0.4849256900212314,0.48459905275191895,0.8881259143352509
GraphSAGE,4,0.005,451,0.7423076923076923,0.48691817736403725,0.48606892046382494,0.8579218685626984
GraphSAGE,4,0.005,476,0.7525641025641026,0.48886166911644613,0.48889433284337735,0.8348086655139924
GraphSAGE,4,0.005,501,0.7537726604605586,0.487702106810387,0.48682018618324346,0.8454822182655335
GraphSAGE,4,0.005,526,0.7758451739343458,0.49137677609015185,0.49150743099787686,0.8081888973712921
GraphSAGE,4,0.005,551,0.791589090315205,0.4919483913114487,0.4964069900375633,0.7839683771133423
