dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,4,0,8,128,1,1,convs.0,1024,0.9847810864448547,0.9849244356155396,87.62379455566406,1.965143212160898,128,82.46728515625,0.6442756652832031,6.641545295715332,0.34319353103637695,0.11242570704517005
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,4,0,8,128,1,2,convs.1,1024,0.210976243019104,0.20985299348831177,10.298652648925781,0.4312237541159033,128,97.52991485595703,0.7619524598121643,4.8681769371032715,0.04054251313209534,0.11242570704517005
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,4,0,8,128,1,3,convs.2,1024,0.030637621879577637,0.03047645278275013,1.835031509399414,0.06454501395578749,128,83.85759735107422,0.6551374793052673,5.326290130615234,0.0072743846103549,0.11242570704517005
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,4,0,8,128,1,4,convs.3,1024,0.004568755626678467,0.004480842035263777,0.33769258856773376,0.009919119647891987,128,71.8189926147461,0.5610858798027039,5.832977294921875,0.0013659792020916939,0.11242570704517005
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,4,0,8,128,1,5,convs.4,1024,0.0007834434509277344,0.0007741842418909073,0.07176482677459717,0.001830006262561236,128,61.42040252685547,0.47984689474105835,6.261628150939941,0.00030103203607723117,0.11242570704517005
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,4,0,8,128,1,6,convs.5,1024,0.00018733739852905273,0.0001805204665288329,0.014217373915016651,0.0004591309915732292,128,50.8635139465332,0.39737120270729065,5.564498424530029,6.224146636668593e-05,0.11242570704517005
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,4,0,8,128,1,7,convs.6,1024,5.6684017181396484e-05,5.3059618949191645e-05,0.0029728091321885586,0.00014746841729510645,128,44.01326370239258,0.343853622674942,4.489804267883301,1.358970348519506e-05,0.11242570704517005
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,4,0,8,128,1,8,convs.7,1024,3.3795833587646484e-05,3.623803786467761e-05,1.0926085451501422e-05,9.948661332044734e-05,2,1.9067676067352295,0.9533838033676147,0.3313956558704376,2.7332862373441458e-06,0.11242570704517005
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,4,0,8,128,2,1,convs.0,1024,0.9844900369644165,0.9842159152030945,80.39297485351562,1.9637667506236203,128,81.85595703125,0.6394996643066406,6.36356782913208,0.31474924087524414,1.046309907370424
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,4,0,8,128,2,2,convs.1,1024,0.16096222400665283,0.15925388038158417,9.238409042358398,0.32944495286950687,128,96.94190979003906,0.7573586702346802,5.277283191680908,0.03638960421085358,1.046309907370424
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,4,0,8,128,2,3,convs.2,1024,0.044576406478881836,0.044429197907447815,1.040906548500061,0.0934115448927924,128,77.17422485351562,0.6029236316680908,3.333841323852539,0.004104475025087595,1.046309907370424
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,4,0,8,128,2,4,convs.3,1024,0.0065610408782958984,0.0065264455042779446,0.0987568125128746,0.01435633285677151,128,57.555110931396484,0.44964930415153503,2.6217081546783447,0.00039615866262465715,1.046309907370424
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,4,0,8,128,2,5,convs.4,1024,0.000838160514831543,0.0008209347724914551,0.012828503735363483,0.0018899178216016362,128,47.076087951660156,0.36778193712234497,2.605130910873413,5.3369280067272484e-05,1.046309907370424
