dataset,model,uses_pairnorm,num_layers,hidden_channels,seed,graph_seed,split_idx,target_homophily,realized_homophily,feature_signal,best_epoch,nearest_best_metric_epoch,final_metric_epoch,best_train_acc,best_val_acc,best_test_acc,best_pairwise_distance,best_edge_distance,best_rank_ratio,best_normalized_dirichlet,final_pairwise_distance,final_edge_distance,final_rank_ratio,final_normalized_dirichlet
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,False,2,128,1,1,0,0.1,0.09996520727872849,0.25,8,8,200,1.0,0.6399999856948853,0.6076470613479614,0.986380398273468,0.993353009223938,0.6316892504692078,1.981486716805364,0.987464427947998,0.9897549152374268,0.419659286737442,1.981224544707727
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,False,7,128,1,1,0,0.1,0.09996520727872849,0.25,12,8,200,1.0,1.0,0.99647057056427,0.0002338290214538,0.0003682980022858,0.0882396325469017,0.0007447689927011,0.6583758592605591,1.189517617225647,0.0116918366402387,2.4032477452765115
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,False,8,128,1,1,0,0.1,0.09996520727872849,0.25,1,1,200,0.5,0.5,0.4999999701976776,7.742643356323242e-05,7.459026528522372e-05,0.3470657169818878,0.0001747370942354,0.0,5.925798480382882e-12,0.0329302959144115,1.8445619022191586e-15
CSBM-H0.1-FS0.25-TR0.05,GraphSAGEPairNorm,True,2,128,1,1,0,0.1,0.09996520727872849,0.25,117,100,200,1.0,0.6949999928474426,0.6682352423667908,1.0006568431854248,1.024730920791626,0.4687875807285309,2.036161470148107,1.000624179840088,1.0182558298110962,0.4268381893634796,2.025078320577927
CSBM-H0.1-FS0.25-TR0.05,GraphSAGEPairNorm,True,7,128,1,1,0,0.1,0.09996520727872849,0.25,5,4,200,1.0,1.0,0.9988234639167786,0.9981592297554016,1.5040955543518066,0.5178243517875671,3.026639200987887,0.9971018433570862,1.7324883937835691,0.0247831735759973,3.474181856979835
CSBM-H0.1-FS0.25-TR0.05,GraphSAGEPairNorm,True,8,128,1,1,0,0.1,0.09996520727872849,0.25,5,4,200,1.0,1.0,0.9970588088035583,0.9987099766731262,1.179509520530701,0.6680455207824707,2.3400869034862968,0.997511386871338,1.6930879354476929,0.0207645110785961,3.457344891870582
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,False,2,128,2,2,0,0.1,0.10044276714324951,0.25,18,16,200,1.0,0.6699999570846558,0.6358823180198669,0.9891090393066406,0.9997419118881226,0.6065355539321899,1.9967591335416237,0.992230236530304,0.9964104890823364,0.4381558895111084,1.9910912083007288
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,False,7,128,2,2,0,0.1,0.10044276714324951,0.25,1,1,200,0.5,0.5,0.4999999701976776,0.0001457929611206,0.0001454313023714,0.4011944532394409,0.0003590227787243,0.0,5.390838442309587e-09,0.0157822035253047,8.626742623862017e-11
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,False,8,128,2,2,0,0.1,0.10044276714324951,0.25,1,1,200,0.5,0.5,0.4999999701976776,7.94529914855957e-05,7.715892570558935e-05,0.3479414582252502,0.0002042432721962,1.1920928955078125e-07,4.728103064621792e-08,0.0147544173523783,3.3491575067832296e-16
CSBM-H0.1-FS0.25-TR0.05,GraphSAGEPairNorm,True,2,128,2,2,0,0.1,0.10044276714324951,0.25,102,100,200,1.0,0.7699999809265137,0.7617647051811218,1.000403881072998,1.0438092947006226,0.486476719379425,2.092070267326118,1.0001860857009888,1.0297735929489136,0.4526103734970093,2.0547456365013668
CSBM-H0.1-FS0.25-TR0.05,GraphSAGEPairNorm,True,7,128,2,2,0,0.1,0.10044276714324951,0.25,5,4,200,1.0,1.0,0.9999999403953552,0.9995265603065492,1.4722967147827148,0.5657594799995422,2.9872802433083527,0.9890601634979248,1.646876573562622,0.0244921576231718,3.417696549230539
CSBM-H0.1-FS0.25-TR0.05,GraphSAGEPairNorm,True,8,128,2,2,0,0.1,0.10044276714324951,0.25,5,4,200,1.0,1.0,0.9999999403953552,0.9999504089355468,1.4523664712905884,0.5660787224769592,2.954242483288896,0.9905595183372498,1.6074973344802856,0.0209754053503274,3.366643422098021
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,False,2,128,3,3,0,0.1,0.10047942399978638,0.25,23,16,200,1.0,0.6499999761581421,0.6094117164611816,0.989444375038147,1.0003812313079834,0.6030886769294739,1.9970332204753127,0.98440819978714,0.9924301505088806,0.4255861639976501,1.9862376432009985
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,False,7,128,3,3,0,0.1,0.10047942399978638,0.25,31,32,200,1.0,1.0,0.9905881881713867,0.4446168541908264,0.7795792818069458,0.0173295326530933,1.7158066363063096,0.6549673080444336,1.1840466260910034,0.0127237169072031,2.422330594504775
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,False,8,128,3,3,0,0.1,0.10047942399978638,0.25,1,1,200,0.5,0.5,0.4999999701976776,7.051229476928711e-05,6.530707469210029e-05,0.3134579956531524,0.0001787698959605,2.384185791015625e-07,-4.75729819982007e-08,0.0292111616581678,1.1533347106611752e-15
CSBM-H0.1-FS0.25-TR0.05,GraphSAGEPairNorm,True,2,128,3,3,0,0.1,0.10047942399978638,0.25,108,100,200,1.0,0.7450000047683716,0.7082352638244629,1.0000629425048828,1.0389057397842407,0.4532416462898254,2.081959260278942,1.0005719661712646,1.034677505493164,0.4307339489459991,2.070720190372773
CSBM-H0.1-FS0.25-TR0.05,GraphSAGEPairNorm,True,7,128,3,3,0,0.1,0.10047942399978638,0.25,5,4,200,1.0,1.0,0.9994117021560669,0.9983975291252136,1.44809889793396,0.5782885551452637,2.9155256145504227,0.9884762763977052,1.5530327558517456,0.0215463936328887,3.2942423877374303
CSBM-H0.1-FS0.25-TR0.05,GraphSAGEPairNorm,True,8,128,3,3,0,0.1,0.10047942399978638,0.25,5,4,200,1.0,1.0,0.9999999403953552,0.999006450176239,1.2365483045578003,0.6570079326629639,2.482338671129603,0.9888229966163636,1.5694199800491333,0.0211212858557701,3.328662632003124
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,False,2,128,4,4,0,0.1,0.09760119765996933,0.25,100,100,200,1.0,0.6349999904632568,0.5699999928474426,0.9860659837722778,1.000252604484558,0.4668880403041839,2.0169610946520717,0.9762107133865356,0.9926156401634216,0.4098691046237945,2.0098629257441223
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,False,7,128,4,4,0,0.1,0.09760119765996933,0.25,16,16,200,0.6699999570846558,0.574999988079071,0.563529372215271,5.960464477539062e-07,5.637360231958155e-07,0.052582886070013,1.2550909759866856e-06,0.0,2.484271677261063e-09,0.0147555628791451,2.324806646113281e-16
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,False,8,128,4,4,0,0.1,0.09760119765996933,0.25,13,16,200,0.5099999904632568,0.5149999856948853,0.5064705610275269,4.76837158203125e-07,3.152642022996588e-07,0.0272796060889959,7.55067890525388e-07,5.960464477539064e-08,-1.1920928955078125e-07,0.0090902689844369,8.683668523344961e-18
CSBM-H0.1-FS0.25-TR0.05,GraphSAGEPairNorm,True,2,128,4,4,0,0.1,0.09760119765996933,0.25,116,100,200,1.0,0.7199999690055847,0.6823529005050659,1.000478982925415,1.056970715522766,0.430908590555191,2.155843059736001,1.0004574060440063,1.0538465976715088,0.4291117787361145,2.134815028508963
CSBM-H0.1-FS0.25-TR0.05,GraphSAGEPairNorm,True,7,128,4,4,0,0.1,0.09760119765996933,0.25,5,4,200,1.0,1.0,0.9982352256774902,0.9963291883468628,1.3815888166427612,0.5728918313980103,2.795611478698164,0.9659026861190796,1.4594424962997437,0.0246445443481206,3.1740430611671093
CSBM-H0.1-FS0.25-TR0.05,GraphSAGEPairNorm,True,8,128,4,4,0,0.1,0.09760119765996933,0.25,5,4,200,1.0,1.0,0.9982352256774902,0.9978369474411012,1.235366702079773,0.6366296410560608,2.479592843369718,0.991971790790558,1.676430583000183,0.0193831212818622,3.4472273771627058
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,False,2,128,5,5,0,0.1,0.10260676592588425,0.25,3,2,200,0.9799999594688416,0.5949999690055847,0.5499999523162842,0.9855400919914246,0.9866979122161864,0.6528344750404358,1.9668466208956237,0.9890676736831664,0.9886137247085572,0.4263641238212585,1.9719764857628788
CSBM-H0.1-FS0.25-TR0.05,GraphSAGE,False,7,128,5,5,0,0.1,0.10260676592588425,0.25,90,100,200,1.0,0.9950000047683716,0.9970588088035583,0.5860904455184937,1.057699203491211,0.0160611532628536,2.183051058276511,0.6216050386428833,1.1199381351470947,0.0146125135943293,2.314836706578413
