h,feature_signal,model,seed,epoch,normalized_dirichlet_energy,effective_rank_ratio,mean_pairwise_cosine_distance
0.1,0.25,GraphSAGEPairNorm,1,1,1.9881919833646988,0.7573294043540955,0.9996126890182496
0.1,0.25,GraphSAGEPairNorm,1,2,2.008442674796076,0.7412318587303162,0.9990636706352234
0.1,0.25,GraphSAGEPairNorm,1,4,2.3400869034862968,0.6680455207824707,0.9987099766731262
0.1,0.25,GraphSAGEPairNorm,1,8,3.621848454995504,0.0216200891882181,1.0007151365280151
0.1,0.25,GraphSAGEPairNorm,1,16,3.6338464542538143,0.0097626112401485,0.9996327757835388
0.1,0.25,GraphSAGEPairNorm,1,32,3.6271779032536,0.0094425696879625,1.0009565353393557
0.1,0.25,GraphSAGEPairNorm,1,50,3.5557274292494245,0.0114247687160968,0.9990995526313782
0.1,0.25,GraphSAGEPairNorm,1,100,3.4998323862241025,0.0179398525506258,0.9970090389251708
0.1,0.25,GraphSAGEPairNorm,1,150,3.4820638080168385,0.0188652463257312,0.9968585968017578
0.1,0.25,GraphSAGEPairNorm,1,200,3.457344891870582,0.0207645110785961,0.997511386871338
0.1,0.25,GraphSAGEPairNorm,2,1,1.9817869616963484,0.7656371593475342,0.9984042644500732
0.1,0.25,GraphSAGEPairNorm,2,2,2.005010972828777,0.7448855638504028,0.9986966848373412
0.1,0.25,GraphSAGEPairNorm,2,4,2.954242483288896,0.5660787224769592,0.9999504089355468
0.1,0.25,GraphSAGEPairNorm,2,8,3.6310456979117705,0.0152308847755193,0.9992529153823853
0.1,0.25,GraphSAGEPairNorm,2,16,3.63325040730868,0.0099268816411495,1.0006412267684937
0.1,0.25,GraphSAGEPairNorm,2,32,3.5416931485309977,0.0121218441054224,0.9982743859291076
0.1,0.25,GraphSAGEPairNorm,2,50,3.505883292593447,0.0138417016714811,0.9957950711250304
0.1,0.25,GraphSAGEPairNorm,2,100,3.4890718430990884,0.0163442008197307,0.9907866716384888
0.1,0.25,GraphSAGEPairNorm,2,150,3.5327837960061874,0.0161262862384319,0.9984013438224792
0.1,0.25,GraphSAGEPairNorm,2,200,3.366643422098021,0.0209754053503274,0.9905595183372498
0.1,0.25,GraphSAGEPairNorm,3,1,1.9666596466702475,0.7623493671417236,0.999228835105896
0.1,0.25,GraphSAGEPairNorm,3,2,1.988151151384575,0.746681809425354,0.9989268183708192
0.1,0.25,GraphSAGEPairNorm,3,4,2.482338671129603,0.6570079326629639,0.999006450176239
0.1,0.25,GraphSAGEPairNorm,3,8,3.6257397403733767,0.0191378202289342,1.0007755756378174
