dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
CSBM-H0.1,GCNPairNorm,5,0,3,128,1,1,convs.0,1024,0.989909291267395,0.9466431140899658,8.383484840393066,1.8959953887307524,128,57.89046859741211,0.4522692859172821,2.0897128582000732,0.03415761888027191,0.18090478286393177
CSBM-H0.1,GCNPairNorm,5,0,3,128,1,2,pns.0,1024,1.000563383102417,0.9577049016952515,1.9174587726593018,1.917463344248162,128,57.90678405761719,0.4523967504501343,0.9937887191772461,0.007812481373548508,0.18090478286393177
CSBM-H0.1,GCNPairNorm,5,0,3,128,1,3,convs.1,1024,0.2257567048072815,0.27105334401130676,0.12000084668397903,0.5852842212627604,128,74.0454330444336,0.5784799456596375,0.45013436675071716,0.00037617236375808716,0.18090478286393177
CSBM-H0.1,GCNPairNorm,5,0,3,128,1,4,pns.1,1024,1.0003424882888794,1.2133874893188477,2.491708517074585,2.4922262077530632,128,73.94776916503906,0.5777169466018677,0.9874972105026245,0.00781087763607502,0.18090478286393177
CSBM-H0.1,GCNPairNorm,5,0,3,128,1,5,convs.2,1024,0.9483733177185059,1.6919260025024414,0.21410875022411346,3.505732659062403,2,1.2899433374404907,0.6449716687202454,0.23601926863193512,0.02850077673792839,0.18090478286393177
CSBM-H0.1,GCNPairNorm,5,0,3,128,2,1,convs.0,1024,0.9880387187004089,0.9758668541908264,8.877327919006348,1.9636557520219728,128,57.33739471435547,0.4479483962059021,2.111687660217285,0.03489120304584503,0.16429827096319746
CSBM-H0.1,GCNPairNorm,5,0,3,128,2,2,pns.0,1024,1.0003728866577148,0.9882300496101379,1.9877204895019531,1.9877249916523505,128,57.340187072753906,0.4479702115058899,0.9931420087814331,0.007812482304871082,0.16429827096319746
CSBM-H0.1,GCNPairNorm,5,0,3,128,2,3,convs.1,1024,0.36081403493881226,0.5372267961502075,0.28826239705085754,1.1737134509949252,128,61.69223403930664,0.48197057843208313,0.49009039998054504,0.00072233856189996,0.16429827096319746
CSBM-H0.1,GCNPairNorm,5,0,3,128,2,4,pns.1,1024,1.0007567405700684,1.4907714128494263,3.1173834800720215,3.1177209485317787,128,62.07643508911133,0.48497214913368225,0.9738669991493225,0.007811654359102249,0.16429827096319746
CSBM-H0.1,GCNPairNorm,5,0,3,128,2,5,convs.2,1024,0.9793638586997986,1.7575531005859375,0.60450679063797,3.687976869101423,2,1.1572129726409912,0.5786064863204956,0.3898392915725708,0.08000190556049347,0.16429827096319746
CSBM-H0.1,GCNPairNorm,5,0,3,128,4,1,convs.0,1024,0.9904988408088684,1.0567291975021362,10.50010871887207,2.159974881097683,128,55.513031005859375,0.43369555473327637,2.180504560470581,0.037616316229104996,0.1502146170875748
CSBM-H0.1,GCNPairNorm,5,0,3,128,4,2,pns.0,1024,1.0004878044128418,1.0674259662628174,2.180753707885742,2.1807583872855867,128,55.495826721191406,0.43356114625930786,0.9888852834701538,0.007812483236193657,0.1502146170875748
CSBM-H0.1,GCNPairNorm,5,0,3,128,4,3,convs.1,1024,0.6761186122894287,1.1635730266571045,1.1279195547103882,2.516514863593334,128,37.11595916748047,0.28996843099594116,0.6491944193840027,0.0024784919805824757,0.1502146170875748
CSBM-H0.1,GCNPairNorm,5,0,3,128,4,4,pns.1,1024,1.0007879734039307,1.7141518592834473,3.5552234649658203,3.5553355677435,128,37.25840377807617,0.2910812795162201,0.9575112462043762,0.007812253199517727,0.1502146170875748
CSBM-H0.1,GCNPairNorm,5,0,3,128,4,5,convs.2,1024,0.9805463552474976,1.7615156173706055,1.2318661212921143,3.716113807860299,2,1.1045235395431519,0.5522617697715759,0.5559823513031006,0.16275832056999207,0.1502146170875748
CSBM-H0.1,GCNPairNorm,5,0,3,128,8,1,convs.0,1024,0.9929758906364441,1.1871578693389893,14.002708435058594,2.4911744947398344,128,51.61145782470703,0.4032145142555237,2.3098132610321045,0.04359548166394234,0.1252666048558205
CSBM-H0.1,GCNPairNorm,5,0,3,128,8,2,pns.0,1024,1.000707745552063,1.1968388557434082,2.5093414783477783,2.5093462645459454,128,51.348541259765625,0.40116047859191895,0.974010705947876,0.007812485098838806,0.1252666048558205
CSBM-H0.1,GCNPairNorm,5,0,3,128,8,3,convs.1,1024,0.8854060173034668,1.5749837160110474,4.226083278656006,3.287403898190224,128,13.9829683303833,0.10924194008111954,1.0813738107681274,0.009009825065732002,0.1252666048558205
CSBM-H0.1,GCNPairNorm,5,0,3,128,8,4,pns.1,1024,1.00019109249115,1.7785693407058716,3.664443016052246,3.6644746869104865,128,14.046226501464844,0.10973614454269409,0.953229546546936,0.007812432013452053,0.1252666048558205
CSBM-H0.1,GCNPairNorm,5,0,3,128,8,5,convs.2,1024,0.9872196912765503,1.7728722095489502,2.29996657371521,3.748836814365084,2,1.079685926437378,0.539842963218689,0.7575395703315735,0.30362385511398315,0.1252666048558205
CSBM-H0.1,GCNPairNorm,5,0,3,128,16,1,convs.0,1024,0.9951221942901611,1.3249173164367676,17.3708553314209,2.8186877747459147,128,45.13062286376953,0.35258299112319946,2.361056327819824,0.04793374240398407,0.08325615453466495
CSBM-H0.1,GCNPairNorm,5,0,3,128,16,2,pns.0,1024,1.0006942749023438,1.332236409187317,2.831191301345825,2.8311956889085717,128,45.22984313964844,0.3533581495285034,0.9507635831832886,0.007812487427145243,0.08325615453466495
CSBM-H0.1,GCNPairNorm,5,0,3,128,16,3,convs.1,1024,0.9380205273628235,1.676798939704895,10.988679885864258,3.4772088243959094,128,4.712918281555176,0.03681967407464981,1.694848656654358,0.023269111290574074,0.08325615453466495
CSBM-H0.1,GCNPairNorm,5,0,3,128,16,4,pns.1,1024,1.000069260597229,1.7895656824111938,3.689387559890747,3.6894005343098355,128,4.715044975280762,0.03683628886938095,0.954124927520752,0.007812472991645336,0.08325615453466495
CSBM-H0.1,GCNPairNorm,5,0,3,128,16,5,convs.2,1024,0.9972759485244751,1.7879343032836914,5.176616191864014,3.7784345783211153,2,1.0466281175613403,0.5233140587806702,1.1323074102401733,0.6828610897064209,0.08325615453466495
CSBM-H0.1,GCNPairNorm,5,0,3,128,32,1,convs.0,1024,0.9966699481010437,1.4044435024261475,13.435303688049316,2.983739942434402,128,38.28892517089844,0.29913222789764404,1.987272024154663,0.03507343307137489,0.037996061038030465
CSBM-H0.1,GCNPairNorm,5,0,3,128,32,2,pns.0,1024,1.0006144046783447,1.410156011581421,2.992666006088257,2.992672427666628,128,38.22818374633789,0.29865768551826477,0.936188280582428,0.007812483236193657,0.037996061038030465
CSBM-H0.1,GCNPairNorm,5,0,3,128,32,3,convs.1,1024,0.9395496845245361,1.6835016012191772,12.352334022521973,3.5191834917616873,128,2.66029953956604,0.020783590152859688,1.7943118810653687,0.02609584853053093,0.037996061038030465
CSBM-H0.1,GCNPairNorm,5,0,3,128,32,4,pns.1,1024,1.0007227659225464,1.790690541267395,3.69799542427063,3.698006445188657,128,2.6569056510925293,0.020757075399160385,0.9547903537750244,0.00781247578561306,0.037996061038030465
CSBM-H0.1,GCNPairNorm,5,0,3,128,32,5,convs.2,1024,0.9993454217910767,1.7917251586914062,12.882267951965332,3.787180284062976,2,1.0329294204711914,0.5164647102355957,1.7859429121017456,1.6983704566955566,0.037996061038030465
CSBM-H0.1,GCNPairNorm,5,0,3,128,50,1,convs.0,1024,0.9966118931770325,1.3922370672225952,6.9166388511657715,2.956869265046324,128,36.709983825683594,0.2867967486381531,1.4367423057556152,0.01821226440370083,0.021426168967168757
CSBM-H0.1,GCNPairNorm,5,0,3,128,50,2,pns.0,1024,1.0008028745651245,1.3983848094940186,2.9670116901397705,2.9670247769256526,128,37.045894622802734,0.28942105174064636,0.9391077160835266,0.007812465541064739,0.021426168967168757
