dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,1,1,convs.0,1024,0.9889768362045288,0.9984049201011658,90.0794906616211,1.9929220027763075,128,83.32066345214844,0.6509426832199097,6.686833381652832,0.3490028381347656,0.07006189508808053
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,1,2,pns.0,1024,1.000273585319519,1.0103813409805298,2.0164473056793213,2.0164477864379373,128,83.33023834228516,0.6510174870491028,0.994482696056366,0.007812498137354851,0.07006189508808053
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,1,3,convs.1,1024,0.2853738069534302,0.29944539070129395,0.2674815356731415,0.6069517523186416,128,96.4794692993164,0.7537458539009094,0.6624571681022644,0.0009950323728844523,0.07006189508808053
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,1,4,pns.1,1024,1.0003365278244019,1.0516972541809082,2.0999674797058105,2.100132213472899,128,96.31546020507812,0.7524645328521729,0.9910698533058167,0.007811886724084616,0.07006189508808053
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,1,5,convs.2,1024,0.2795450687408447,0.45505473017692566,0.04056196287274361,1.0537123571818574,2,1.6623218059539795,0.8311609029769897,0.19213327765464783,0.006444348953664303,0.07006189508808053
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,2,1,convs.0,1024,0.9915600419044495,1.013817548751831,90.47661590576172,2.0258345797332513,128,82.8233413696289,0.6470573544502258,6.645187854766846,0.3457556664943695,0.1005215492189448
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,2,2,pns.0,1024,1.000567078590393,1.0232306718826294,2.044358015060425,2.04435838062019,128,82.6773452758789,0.645916759967804,0.9942473769187927,0.007812498137354851,0.1005215492189448
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,2,3,convs.1,1024,0.4245568513870239,0.5288505554199219,0.4644855260848999,1.1160391419869096,128,88.21157836914062,0.6891529560089111,0.6401121616363525,0.0014318751636892557,0.1005215492189448
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,2,4,pns.1,1024,1.000380277633667,1.2323224544525146,2.53415584564209,2.534294212669063,128,87.69764709472656,0.6851378679275513,0.973688542842865,0.007812072988599539,0.1005215492189448
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,2,5,convs.2,1024,0.6849366426467896,1.1902159452438354,0.28430214524269104,2.6138404726867135,2,1.332282543182373,0.6661412715911865,0.3111378252506256,0.04180489480495453,0.1005215492189448
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,4,1,convs.0,1024,0.9956040978431702,1.0606772899627686,94.77001953125,2.135178205454137,128,80.54421997070312,0.6292517185211182,6.607110977172852,0.34498199820518494,0.21130115649631354
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,4,2,pns.0,1024,1.0005732774734497,1.066229224205017,2.146171808242798,2.1461721920082915,128,80.77024841308594,0.6310175657272339,0.9916337132453918,0.007812498137354851,0.21130115649631354
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,4,3,convs.1,1024,0.8075128793716431,1.3010493516921997,2.8711986541748047,2.825141210962815,128,52.20432662963867,0.4078463017940521,0.9446219801902771,0.006876148283481598,0.21130115649631354
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,4,4,pns.1,1024,1.000717282295227,1.6006109714508057,3.2621428966522217,3.2621806182289084,128,51.70705795288086,0.4039613902568817,0.9150236248970032,0.007812409661710262,0.21130115649631354
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,4,5,convs.2,1024,0.9217246770858765,1.6408653259277344,1.4002808332443237,3.304332207500709,2,1.1806941032409668,0.5903470516204834,0.6080785989761353,0.19982773065567017,0.21130115649631354
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,8,1,convs.0,1024,0.9987318515777588,1.1531171798706055,108.17660522460938,2.367662621547081,128,76.00398254394531,0.5937811136245728,6.634134292602539,0.35622477531433105,0.1541337095181272
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,8,2,pns.0,1024,1.0002148151397705,1.155347466468811,2.3724610805511475,2.3724617875998577,128,76.57135009765625,0.5982136726379395,0.9813876748085022,0.007812497206032276,0.1541337095181272
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,8,3,convs.1,1024,0.9765423536300659,1.7225561141967773,16.773386001586914,3.4361374109556593,128,15.145299911499023,0.11832265555858612,2.055086374282837,0.03756992518901825,0.1541337095181272
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,8,4,pns.1,1024,1.0002375841140747,1.7660106420516968,3.4879443645477295,3.4879518488804435,128,15.502279281616211,0.12111155688762665,0.9281560778617859,0.007812482304871082,0.1541337095181272
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,8,5,convs.2,1024,0.9809117317199707,1.7617796659469604,4.927577972412109,3.5177941465697065,2,1.0923540592193604,0.5461770296096802,1.1305923461914062,0.6889197826385498,0.1541337095181272
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,16,1,convs.0,1024,0.9975131154060364,1.2190375328063965,113.48628997802734,2.514985848753144,128,69.69152069091797,0.5444650053977966,6.563632965087891,0.35130685567855835,0.05036607379101294
CSBM-H0.1,GraphSAGEPairNorm,2,0,3,128,16,2,pns.0,1024,1.0004762411117554,1.2229083776474,2.523751735687256,2.523752186969314,128,69.31119537353516,0.5414937138557434,0.97707200050354,0.007812498137354851,0.05036607379101294
