dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
CSBM-H0.1,GraphSAGE,2,0,7,128,1,1,convs.0,1024,0.9849158525466919,0.9912726283073425,84.45802307128906,1.9785961097728428,128,82.62850952148438,0.6455352306365967,6.498801231384277,0.3285143971443176,0.11976505772593156
CSBM-H0.1,GraphSAGE,2,0,7,128,1,2,convs.1,1024,0.2315889596939087,0.23332944512367249,9.760702133178711,0.4753902790694261,128,97.23185729980469,0.7596238851547241,4.5189056396484375,0.037940870970487595,0.11976505772593156
CSBM-H0.1,GraphSAGE,2,0,7,128,1,3,convs.2,1024,0.033115267753601074,0.034384384751319885,1.3266657590866089,0.07184942309625172,128,82.2104721069336,0.6422693133354187,4.293313026428223,0.005077368579804897,0.11976505772593156
CSBM-H0.1,GraphSAGE,2,0,7,128,1,4,convs.3,1024,0.005598962306976318,0.006039915140718222,0.22979484498500824,0.013243024438253502,128,65.6421127319336,0.5128290057182312,4.16414213180542,0.0008537140092812479,0.11976505772593156
CSBM-H0.1,GraphSAGE,2,0,7,128,1,5,convs.4,1024,0.0009111762046813965,0.0010688372422009706,0.05637780949473381,0.0025280297299578214,128,55.546287536621094,0.4339553713798523,4.721806526184082,0.00020530464826151729,0.11976505772593156
CSBM-H0.1,GraphSAGE,2,0,7,128,1,6,convs.5,1024,0.00014734268188476562,0.00017898570513352752,0.013077166862785816,0.0004909198017129168,128,45.10134506225586,0.3523542582988739,5.160977363586426,4.953697134624235e-05,0.11976505772593156
CSBM-H0.1,GraphSAGE,2,0,7,128,1,7,convs.6,1024,3.7550926208496094e-06,5.564495495491428e-06,0.0001690932986093685,6.937248501714422e-05,2,1.7153534889221191,0.8576767444610596,1.561210036277771,5.076629895484075e-05,0.11976505772593156
CSBM-H0.1,GraphSAGE,2,0,7,128,2,1,convs.0,1024,0.9825825095176697,0.9877697229385376,72.62506866455078,1.9713598100028495,128,83.34725189208984,0.6511504054069519,6.037649631500244,0.282755970954895,5.058334206767972
CSBM-H0.1,GraphSAGE,2,0,7,128,2,2,convs.1,1024,0.11174410581588745,0.11197453737258911,8.16678237915039,0.23335642692567532,128,97.16715240478516,0.759118378162384,5.899580478668213,0.03183591365814209,5.058334206767972
CSBM-H0.1,GraphSAGE,2,0,7,128,2,3,convs.2,1024,0.07999670505523682,0.0828668475151062,0.34553074836730957,0.1740222034676055,128,61.25786590576172,0.4785770773887634,1.4057456254959106,0.0013258333783596754,5.058334206767972
CSBM-H0.1,GraphSAGE,2,0,7,128,2,4,convs.3,1024,0.0215761661529541,0.022999662905931473,0.032314613461494446,0.047518740851106835,128,58.1370849609375,0.4541959762573242,0.82431960105896,0.00012012578372377902,5.058334206767972
CSBM-H0.1,GraphSAGE,2,0,7,128,2,5,convs.4,1024,0.0034615397453308105,0.0037855845876038074,0.0034909097012132406,0.007743428933886329,128,51.289703369140625,0.40070080757141113,0.6714044213294983,1.255684401257895e-05,5.058334206767972
CSBM-H0.1,GraphSAGE,2,0,7,128,2,6,convs.5,1024,0.0003834962844848633,0.0004401858022902161,0.00043013409595005214,0.0008919523758353109,128,43.812217712402344,0.3422829508781433,0.6944320201873779,1.4812786730544758e-06,5.058334206767972
CSBM-H0.1,GraphSAGE,2,0,7,128,2,7,convs.6,1024,0.00018554925918579102,0.00028914317954331636,1.3946693115940434e-06,0.0008604509037204079,2,1.9035602807998657,0.9517801403999329,0.04025743901729584,2.517592179174244e-07,5.058334206767972
CSBM-H0.1,GraphSAGE,2,0,7,128,4,1,convs.0,1024,0.9743112921714783,0.9790880084037781,57.986915588378906,1.9541670212664755,128,83.52285766601562,0.6525223255157471,5.418745040893555,0.22597908973693848,0.03757844912540447
CSBM-H0.1,GraphSAGE,2,0,7,128,4,2,convs.1,1024,0.03216069936752319,0.032450251281261444,6.5970139503479,0.07531069509406131,128,94.60084533691406,0.7390691041946411,9.331241607666016,0.026093553751707077,0.03757844912540447
CSBM-H0.1,GraphSAGE,2,0,7,128,4,3,convs.2,1024,0.018214881420135498,0.01975299045443535,0.10086620599031448,0.04609990007195081,128,17.29355239868164,0.13510587811470032,1.4764366149902344,0.000380597950424999,0.03757844912540447
CSBM-H0.1,GraphSAGE,2,0,7,128,4,4,convs.3,1024,0.0026021599769592285,0.0026966186705976725,0.004550872836261988,0.006031911489684536,128,26.386932373046875,0.2061479091644287,0.8684367537498474,1.7647842469159514e-05,0.03757844912540447
CSBM-H0.1,GraphSAGE,2,0,7,128,4,5,convs.4,1024,0.0003312230110168457,0.00033867073943838477,0.0002967805485241115,0.0006995519178383055,128,29.304018020629883,0.22893764078617096,0.6513357162475586,1.1407308875277522e-06,0.03757844912540447
CSBM-H0.1,GraphSAGE,2,0,7,128,4,6,convs.5,1024,3.2961368560791016e-05,3.523237683111802e-05,3.0489591154037043e-05,7.248748659794233e-05,128,26.12798500061035,0.20412488281726837,0.6485508680343628,1.1237034414079972e-07,0.03757844912540447
CSBM-H0.1,GraphSAGE,2,0,7,128,4,7,convs.6,1024,8.344650268554688e-07,7.812149078745279e-07,1.3086277306229022e-07,1.646635786666135e-05,2,1.7570151090621948,0.8785075545310974,0.08914728462696075,2.513217012278801e-08,0.03757844912540447
CSBM-H0.1,GraphSAGE,2,0,7,128,8,1,convs.0,1024,0.956433117389679,0.959705114364624,42.25290298461914,1.9164319142414779,128,82.47157287597656,0.6443091630935669,4.670258045196533,0.1646764576435089,0.041674055700242366
CSBM-H0.1,GraphSAGE,2,0,7,128,8,2,convs.1,1024,0.012315630912780762,0.01237097941339016,5.418882846832275,0.038401809280724446,128,86.8031234741211,0.678149402141571,11.83064079284668,0.022384747862815857,0.041674055700242366
CSBM-H0.1,GraphSAGE,2,0,7,128,8,3,convs.2,1024,0.002740323543548584,0.0031019714660942554,0.1083940640091896,0.011242475416973258,128,11.252090454101562,0.08790695667266846,3.1003150939941406,0.0004385524953249842,0.041674055700242366
CSBM-H0.1,GraphSAGE,2,0,7,128,8,4,convs.3,1024,0.00033408403396606445,0.00037444147164933383,0.012736023403704166,0.002217528326710482,128,8.960625648498535,0.0700048878788948,2.395406723022461,5.678910019923933e-05,0.041674055700242366
CSBM-H0.1,GraphSAGE,2,0,7,128,8,5,convs.4,1024,0.00012862682342529297,0.00013684538134839386,0.0005758878542110324,0.0004661641193974322,128,5.148311614990234,0.040221184492111206,1.1114031076431274,2.4702826522116084e-06,0.041674055700242366
CSBM-H0.1,GraphSAGE,2,0,7,128,8,6,convs.5,1024,2.6404857635498047e-05,2.889081952162087e-05,3.139592445222661e-05,6.328229261677691e-05,128,4.497744560241699,0.035138629376888275,0.7043601274490356,1.1784385378632578e-07,0.041674055700242366
CSBM-H0.1,GraphSAGE,2,0,7,128,8,7,convs.6,1024,4.827976226806641e-06,6.913237029948505e-06,4.863566118729068e-07,0.0001127989926584035,2,1.3823096752166748,0.6911548376083374,0.06566262990236282,7.509533617167108e-08,0.041674055700242366
CSBM-H0.1,GraphSAGE,2,0,7,128,16,1,convs.0,1024,0.9325147271156311,0.9821137189865112,33.02104187011719,1.9735368214182305,128,77.53759002685547,0.6057624220848083,4.062191963195801,0.12166113406419754,0.4037105621563722
CSBM-H0.1,GraphSAGE,2,0,7,128,16,2,convs.1,1024,0.011696994304656982,0.015789665281772614,8.371542930603027,0.05291549573642667,128,64.312255859375,0.5024394989013672,12.503121376037598,0.029211396351456642,0.4037105621563722
CSBM-H0.1,GraphSAGE,2,0,7,128,16,3,convs.2,1024,0.04879564046859741,0.08543478697538376,3.7702865600585938,0.20345591263292792,128,3.6696949005126953,0.028669491410255432,4.276542663574219,0.009036441333591938,0.4037105621563722
CSBM-H0.1,GraphSAGE,2,0,7,128,16,4,convs.3,1024,0.04770517349243164,0.08382070809602737,5.94639778137207,0.18738894982667442,128,2.410128593444824,0.01882912963628769,5.611472129821777,0.013609889894723892,0.4037105621563722
CSBM-H0.1,GraphSAGE,2,0,7,128,16,5,convs.4,1024,0.13145041465759277,0.2370060831308365,6.339250087738037,0.49730864550731174,128,1.8832188844680786,0.014712647534906864,3.5580852031707764,0.013820270076394081,0.4037105621563722
CSBM-H0.1,GraphSAGE,2,0,7,128,16,6,convs.5,1024,0.19759052991867065,0.3565347194671631,6.572032928466797,0.7331902830803355,128,1.8559514284133911,0.014499620534479618,2.98734712600708,0.014225739985704422,0.4037105621563722
