dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
CSBM-H0.5,GCN,1,0,2,128,1,1,convs.0,1024,0.9860469698905945,0.8898791670799255,6.773231506347656,1.7737358281064752,128,58.473182678222656,0.4568217396736145,1.9430406093597412,0.02938651852309704,0.0613808924815126
CSBM-H0.5,GCN,1,0,2,128,1,2,convs.1,1024,0.0650252103805542,0.051572561264038086,0.007056352682411671,0.21783581965966936,2,1.9731028079986572,0.9865514039993286,0.17214183509349823,0.0021918369457125664,0.0613808924815126
CSBM-H0.5,GCN,1,0,2,128,2,1,convs.0,1024,0.9878135919570923,0.89238440990448,6.452650547027588,1.7782483525939172,128,58.38603210449219,0.4561408758163452,1.8940123319625854,0.028010305017232895,0.11921058226838145
CSBM-H0.5,GCN,1,0,2,128,2,2,convs.1,1024,0.5951955318450928,0.5025082230567932,0.009160924702882767,0.8583862687071482,2,1.902586817741394,0.951293408870697,0.08947429060935974,0.002932304283604026,0.11921058226838145
CSBM-H0.5,GCN,1,0,2,128,4,1,convs.0,1024,0.9873337745666504,0.8905910849571228,6.0370774269104,1.7733486090979322,128,57.73479461669922,0.45105308294296265,1.8330553770065308,0.026261519640684128,0.04305523464730501
CSBM-H0.5,GCN,1,0,2,128,4,2,convs.1,1024,0.6846141815185547,0.5399265885353088,0.02275931090116501,0.901591995859062,2,1.6634787321090698,0.8317393660545349,0.13359595835208893,0.0073384977877140045,0.04305523464730501
CSBM-H0.5,GCN,1,0,2,128,8,1,convs.0,1024,0.978215217590332,0.8814444541931152,5.908807754516602,1.7500123924872293,128,55.01999282836914,0.4298436939716339,1.8108434677124023,0.025859463959932327,0.04632002151325154
CSBM-H0.5,GCN,1,0,2,128,8,2,convs.1,1024,0.9221063852310181,0.7911673784255981,0.08643083274364471,1.352552267545473,2,1.4214657545089722,0.7107328772544861,0.20522022247314453,0.0280479546636343,0.04632002151325154
CSBM-H0.5,GCN,1,0,2,128,16,1,convs.0,1024,0.9409706592559814,0.8450893759727478,6.900323867797852,1.6843400789057852,128,49.299415588378906,0.3851516842842102,1.9440280199050903,0.03034365549683571,0.03446449948689035
CSBM-H0.5,GCN,1,0,2,128,16,2,convs.1,1024,0.9761415719985962,0.8492171764373779,0.4441978335380554,1.5172721361993675,2,1.2168824672698975,0.6084412336349487,0.43604761362075806,0.14234906435012817,0.03446449948689035
CSBM-H0.5,GCN,1,0,2,128,32,1,convs.0,1024,0.9534502029418945,0.8549667596817017,7.248934745788574,1.702180704752431,128,48.33381271362305,0.37760791182518005,2.0071213245391846,0.031661733984947205,0.027156348906731718
CSBM-H0.5,GCN,1,0,2,128,32,2,convs.1,1024,0.9838263392448425,0.8660448789596558,0.6110351085662842,1.6021348319874724,2,1.1996904611587524,0.5998452305793762,0.49713435769081116,0.1899089515209198,0.027156348906731718
CSBM-H0.5,GCN,1,0,2,128,50,1,convs.0,1024,0.9838431477546692,0.8831188082695007,9.038596153259277,1.758003282232586,128,47.98233413696289,0.3748619854450226,2.2313902378082275,0.039472632110118866,0.030889140236098244
CSBM-H0.5,GCN,1,0,2,128,50,2,convs.1,1024,0.9977054595947266,0.8791876435279846,0.6922680735588074,1.6089170028063124,2,1.2229055166244507,0.6114527583122253,0.5273650288581848,0.21432027220726013,0.030889140236098244
CSBM-H0.5,GCN,1,0,2,128,100,1,convs.0,1024,0.9844294786453247,0.8867948651313782,17.93512535095215,1.76208846505172,128,48.38687515258789,0.3780224621295929,3.153249740600586,0.07827330380678177,0.07561408925679682
CSBM-H0.5,GCN,1,0,2,128,100,2,convs.1,1024,0.9929450154304504,0.9156606197357178,1.300071358680725,1.6968515839169713,2,1.2103462219238281,0.6051731109619141,0.7133154273033142,0.3826889395713806,0.07561408925679682
CSBM-H0.5,GCN,1,0,2,128,150,1,convs.0,1024,0.9717117547988892,0.8756517767906189,21.717187881469727,1.7398724334688784,128,48.93050003051758,0.3822695314884186,3.4941837787628174,0.09466693550348282,0.1903893556433178
CSBM-H0.5,GCN,1,0,2,128,150,2,convs.1,1024,0.968848466873169,0.912140429019928,1.8409007787704468,1.6787732186741269,2,1.1805179119110107,0.5902589559555054,0.8576294779777527,0.5309258103370667,0.1903893556433178
CSBM-H0.5,GCN,1,0,2,128,200,1,convs.0,1024,0.9553213119506836,0.8610023856163025,22.992351531982422,1.7112107697160364,128,49.07892608642578,0.3834291100502014,3.626763105392456,0.10012662410736084,0.22952832967153042
CSBM-H0.5,GCN,1,0,2,128,200,2,convs.1,1024,0.9887750148773193,0.9217519164085388,2.1963753700256348,1.7115349797866533,2,1.160498023033142,0.580249011516571,0.9266570210456848,0.6298743486404419,0.22952832967153042
