target_homophily,model,odd_depth,n,parity_residual_mean_pp,parity_residual_std_pp,parity_residual_ci95_pp,negative_seeds,positive_seeds,paired_t_pvalue,wilcoxon_pvalue,paired_t_pvalue_holm,wilcoxon_pvalue_holm
0.1,GCN,3,5,-0.02499997615814209,0.10458240357911208,0.12985620536980022,2,1,0.6213082950374971,1.0,1.0,1.0
0.1,GCN,5,5,-0.04999995231628418,0.11180329225095949,0.13882212286867054,1,0,0.373900966300059,1.0,1.0,1.0
0.1,GCN,7,5,14.300000071525574,13.084043316580969,16.245985537137194,0,3,0.07091156035017881,0.25,1.0,1.0
0.1,GCNPairNorm,3,5,0.02499997615814209,0.10458240357911208,0.12985620536980022,1,2,0.6213082950374971,1.0,1.0,1.0
0.1,GCNPairNorm,5,5,0.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0
0.1,GCNPairNorm,7,5,-0.04999995231628418,0.11180329225095949,0.13882212286867054,1,0,0.373900966300059,1.0,1.0,1.0
0.1,GraphSAGE,3,5,-0.07499992847442627,0.16770493837643924,0.20823318430300583,1,0,0.373900966300059,1.0,1.0,1.0
0.1,GraphSAGE,5,5,-0.07499992847442627,0.27386101757811526,0.34004336603819457,2,1,0.5733922538253555,0.75,1.0,1.0
0.1,GraphSAGE,7,5,9.950000047683716,13.681819608118014,16.988222837318503,1,2,0.17924214751960071,0.5,1.0,1.0
0.1,GraphSAGEPairNorm,3,5,0.09999990463256836,0.10458240357911208,0.12985620536980022,0,3,0.09930068321372677,0.25,1.0,1.0
0.1,GraphSAGEPairNorm,5,5,0.02499997615814209,0.055901646125479744,0.06941106143433527,0,1,0.373900966300059,1.0,1.0,1.0
0.1,GraphSAGEPairNorm,7,5,-0.04999995231628418,0.11180329225095949,0.13882212286867054,1,0,0.373900966300059,1.0,1.0,1.0
0.5,GCN,3,5,-1.3749992847442627,2.1157908258095035,2.627101296137477,3,2,0.21983890850036378,0.3125,1.0,1.0
0.5,GCN,5,5,-0.549999177455901,1.6737872364657662,2.078281352172516,3,2,0.5032357200619277,0.625,1.0,1.0
0.5,GCN,7,5,8.940696726966735e-07,2.1686679305470644,2.692756893419356,3,2,0.9999993086076469,0.8125,1.0,1.0
0.5,GCNPairNorm,3,5,-6.450001001358032,1.5677410688410631,1.946607643685441,5,0,0.0007755523697008988,0.0625,0.01861325687282157,1.0
0.5,GCNPairNorm,5,5,-2.3250019550323486,1.8990136308428778,2.3579368575158193,4,1,0.052030463306971954,0.125,1.0,1.0
0.5,GCNPairNorm,7,5,-1.4000007510185242,1.0093322340387758,1.2532514972325262,4,1,0.03616663626663015,0.125,0.7956659978658633,1.0
0.5,GraphSAGE,3,5,-1.225000023841858,2.2558942413941794,2.801062663294349,4,1,0.2914408685743634,0.3125,1.0,1.0
0.5,GraphSAGE,5,5,0.8499997854232788,5.881910178653538,7.303356109502381,3,2,0.7627793923877725,1.0,1.0,1.0
0.5,GraphSAGE,7,5,-5.874999761581421,3.298910623290426,4.09613855423167,4,0,0.01637113739892159,0.125,0.3765361601751966,1.0
0.5,GraphSAGEPairNorm,3,5,0.39999961853027344,1.4614843798421682,1.8146725383871785,2,3,0.5736164088548533,0.625,1.0,1.0
0.5,GraphSAGEPairNorm,5,5,-1.600000262260437,1.6259612843952562,2.018897589306745,5,0,0.09261490934965452,0.0625,1.0,1.0
0.5,GraphSAGEPairNorm,7,5,-0.5500006675720215,1.73340293002729,2.1523040125958084,3,1,0.5171860580495895,0.875,1.0,1.0
