target_homophily,graph_seed,model,architecture,uses_pairnorm,odd_minus_neighbor_even_pp
0.1,1,GCN,GCN,False,7.499999801317851
0.1,1,GCNPairNorm,GCN,True,-0.12499988079071045
0.1,1,GraphSAGE,GraphSAGE,False,0.041666626930236816
0.1,1,GraphSAGEPairNorm,GraphSAGE,True,0.12499988079071045
0.1,2,GCN,GCN,False,7.833333810170491
0.1,2,GCNPairNorm,GCN,True,0.0
0.1,2,GraphSAGE,GraphSAGE,False,-0.16666650772094727
0.1,2,GraphSAGEPairNorm,GraphSAGE,True,0.0
0.1,3,GCN,GCN,False,0.041666626930236816
0.1,3,GCNPairNorm,GCN,True,0.041666626930236816
0.1,3,GraphSAGE,GraphSAGE,False,8.333333333333334
0.1,3,GraphSAGEPairNorm,GraphSAGE,True,-0.08333325386047363
0.1,4,GCN,GCN,False,8.37499996026357
0.1,4,GCNPairNorm,GCN,True,0.0
0.1,4,GraphSAGE,GraphSAGE,False,0.0
0.1,4,GraphSAGEPairNorm,GraphSAGE,True,0.041666626930236816
0.1,5,GCN,GCN,False,-0.041666626930236816
0.1,5,GCNPairNorm,GCN,True,0.041666626930236816
0.1,5,GraphSAGE,GraphSAGE,False,8.12500019868215
0.1,5,GraphSAGEPairNorm,GraphSAGE,True,0.041666626930236816
0.5,1,GCN,GCN,False,-0.33333152532577515
0.5,1,GCNPairNorm,GCN,True,-2.374999721844991
0.5,1,GraphSAGE,GraphSAGE,False,-1.1666655540466309
0.5,1,GraphSAGEPairNorm,GraphSAGE,True,-1.000001033147176
0.5,2,GCN,GCN,False,-2.0000005761782327
0.5,2,GCNPairNorm,GCN,True,-4.000002145767212
0.5,2,GraphSAGE,GraphSAGE,False,-5.000000198682149
0.5,2,GraphSAGEPairNorm,GraphSAGE,True,0.20833412806193033
0.5,3,GCN,GCN,False,0.9583339095115662
0.5,3,GCNPairNorm,GCN,True,-3.1250029802322388
0.5,3,GraphSAGE,GraphSAGE,False,3.291665514310201
0.5,3,GraphSAGEPairNorm,GraphSAGE,True,-0.458332896232605
0.5,4,GCN,GCN,False,-0.37499815225601196
0.5,4,GCNPairNorm,GCN,True,-3.499999145666758
0.5,4,GraphSAGE,GraphSAGE,False,-3.374999761581421
0.5,4,GraphSAGEPairNorm,GraphSAGE,True,-0.08333325386047363
0.5,5,GCN,GCN,False,-1.458332935969035
0.5,5,GCNPairNorm,GCN,True,-3.958335518836975
0.5,5,GraphSAGE,GraphSAGE,False,-4.166666666666667
0.5,5,GraphSAGEPairNorm,GraphSAGE,True,-1.5833357969919841
