dataset,model,architecture,uses_pairnorm,num_layers,hidden_channels,seed,graph_seed,split_idx,target_homophily,realized_homophily,best_epoch,nearest_best_metric_epoch,best_test_acc,best_val_acc,best_hidden_pairwise_distance,best_hidden_edge_distance,best_hidden_rank_ratio,best_hidden_normalized_dirichlet,final_hidden_pairwise_distance,final_hidden_edge_distance,final_hidden_rank_ratio,final_hidden_normalized_dirichlet
CSBM-H0.1,GCN,GCN,False,2,128,1,1,0,0.1,0.09996520727872849,8,8,0.9975000023841858,1.0,0.9318819642066956,1.1874343156814575,0.3719905614852905,2.548996788111366,0.4232126474380493,0.6986404657363892,0.057725328952074,1.6518698397786085
CSBM-H0.1,GCN,GCN,False,3,128,1,1,0,0.1,0.09996520727872849,1,1,0.9975000023841858,1.0,0.1542419791221618,0.1809238493442535,0.5866599678993225,0.4017116095253915,0.4802629351615906,0.8604897856712341,0.0103083290159702,1.884670000106136
CSBM-H0.1,GCN,GCN,False,4,128,1,1,0,0.1,0.09996520727872849,2,2,1.0,1.0,0.0785676836967468,0.1398816853761673,0.1203645318746566,0.3151098756104628,0.5329170227050781,0.9822693467140198,0.0101944273337721,2.135088239863946
CSBM-H0.1,GCN,GCN,False,5,128,1,1,0,0.1,0.09996520727872849,1,1,1.0,1.0,0.0140358209609985,0.0254381634294986,0.0702865272760391,0.0807599556320356,0.513228714466095,0.9349098801612854,0.0106535879895091,2.023851808248678
CSBM-H0.1,GCN,GCN,False,6,128,1,1,0,0.1,0.09996520727872849,13,16,1.0,1.0,0.3405048251152038,0.6200348734855652,0.0117766028270125,1.3696064038901072,0.6213264465332031,1.132184386253357,0.0104114031419157,2.450465816714701
CSBM-H0.1,GCN,GCN,False,7,128,1,1,0,0.1,0.09996520727872849,13,16,1.0,1.0,0.3085340857505798,0.5597051978111267,0.0105881346389651,1.4361470047764455,0.5594622492790222,1.0191638469696045,0.0106350183486938,2.208015920582709
CSBM-H0.1,GCN,GCN,False,8,128,1,1,0,0.1,0.09996520727872849,88,100,0.5475000143051147,0.5224999785423279,1.1205673217773438e-05,1.202116982312873e-05,0.0083887642249464,2.636791690346749e-05,1.3113021850585938e-06,1.340424546469876e-06,0.0079622436314821,2.7387354419010464e-06
CSBM-H0.1,GCNPairNorm,GCN,True,2,128,1,1,0,0.1,0.09996520727872849,8,8,0.9975000023841858,1.0,1.0006117820739746,1.2892379760742188,0.3637332022190094,2.7408507048318094,0.9999046921730042,1.558463454246521,0.1858865767717361,3.232281896288176
CSBM-H0.1,GCNPairNorm,GCN,True,3,128,1,1,0,0.1,0.09996520727872849,1,1,0.9975000023841858,1.0,1.0001927614212036,1.2724896669387815,0.5674099326133728,2.6287372298304126,1.000171780586243,1.787574291229248,0.0476578921079635,3.707283212206924
CSBM-H0.1,GCNPairNorm,GCN,True,4,128,1,1,0,0.1,0.09996520727872849,1,1,1.0,1.0,1.000678777694702,1.6518161296844482,0.3873056173324585,3.482753354569132,1.0007039308547974,1.795341730117798,0.0099608590826392,3.784651413029963
CSBM-H0.1,GCNPairNorm,GCN,True,5,128,1,1,0,0.1,0.09996520727872849,1,1,1.0,1.0,1.000256061553955,1.7573577165603638,0.1959521174430847,3.7253436018441786,1.000315546989441,1.797678828239441,0.0096756732091307,3.789887864219836
CSBM-H0.1,GCNPairNorm,GCN,True,6,128,1,1,0,0.1,0.09996520727872849,1,1,1.0,1.0,1.0002461671829224,1.7872194051742554,0.05902811139822,3.790835032613665,1.0006611347198486,1.7986602783203125,0.0088001107797026,3.807881935478795
CSBM-H0.1,GCNPairNorm,GCN,True,7,128,1,1,0,0.1,0.09996520727872849,1,1,0.9975000023841858,1.0,0.9993581175804138,1.7730525732040403,0.0627211481332779,3.765647353020841,1.000577449798584,1.7992905378341677,0.0094803152605891,3.8216507401206377
CSBM-H0.1,GCNPairNorm,GCN,True,8,128,1,1,0,0.1,0.09996520727872849,1,1,1.0,1.0,0.9994550347328186,1.7766369581222534,0.0324228145182132,3.76725726384458,1.0003440380096436,1.7973687648773191,0.010186068713665,3.819116115568903
CSBM-H0.1,GraphSAGE,GraphSAGE,False,2,128,1,1,0,0.1,0.09996520727872849,106,100,0.9975000023841858,0.9975000023841858,0.9418985843658448,1.2014784812927246,0.4106299579143524,2.542884586833602,0.7244737148284912,1.0147860050201416,0.3311128914356231,2.201292880038204
CSBM-H0.1,GraphSAGE,GraphSAGE,False,3,128,1,1,0,0.1,0.09996520727872849,19,16,0.9975000023841858,1.0,0.3263640999794006,0.5749949812889099,0.1338534504175186,1.3377478834054175,0.402138888835907,0.7125739455223083,0.0339144878089427,1.5715678934874502
CSBM-H0.1,GraphSAGE,GraphSAGE,False,4,128,1,1,0,0.1,0.09996520727872849,12,8,0.9975000023841858,1.0,0.3406823277473449,0.6051447987556458,0.027347071096301,1.305895684047488,0.5743993520736694,1.0368998050689695,0.0128541514277458,2.1587980699505374
CSBM-H0.1,GraphSAGE,GraphSAGE,False,5,128,1,1,0,0.1,0.09996520727872849,6,4,1.0,1.0,0.1298783421516418,0.2237152308225631,0.1118071004748344,0.4701319215304683,0.5862669944763184,1.0542036294937134,0.011534908786416,2.1809049316551654
CSBM-H0.1,GraphSAGE,GraphSAGE,False,6,128,1,1,0,0.1,0.09996520727872849,7,8,0.9975000023841858,1.0,0.5638872385025024,1.021845459938049,0.0125986384227871,2.0949148685125567,0.6898531913757324,1.2473292350769043,0.010651527903974,2.5428603615081524
CSBM-H0.1,GraphSAGE,GraphSAGE,False,7,128,1,1,0,0.1,0.09996520727872849,10,8,0.9975000023841858,1.0,0.5192700624465942,0.9352691173553468,0.013536405749619,1.9211443163030129,0.7363541126251221,1.329410433769226,0.0102848382666707,2.707873729482721
CSBM-H0.1,GraphSAGE,GraphSAGE,False,8,128,1,1,0,0.1,0.09996520727872849,22,16,1.0,1.0,7.748603820800781e-06,1.3118446986482011e-05,0.018720244988799,2.71193061897378e-05,0.7165172100067139,1.293411135673523,0.0103139588609337,2.628138963763043
CSBM-H0.1,GraphSAGEPairNorm,GraphSAGE,True,2,128,1,1,0,0.1,0.09996520727872849,31,32,0.9975000023841858,0.9975000023841858,1.0005629062652588,1.518274188041687,0.4138147532939911,3.0708366331968566,1.0001695156097412,1.4664576053619385,0.4866718351840973,2.9611748787175034
CSBM-H0.1,GraphSAGEPairNorm,GraphSAGE,True,3,128,1,1,0,0.1,0.09996520727872849,17,16,1.0,1.0,1.0007426738739014,1.7926149368286133,0.0586452409625053,3.570572869200209,1.0005114078521729,1.7740881443023682,0.1652611494064331,3.553855208314891
CSBM-H0.1,GraphSAGEPairNorm,GraphSAGE,True,4,128,1,1,0,0.1,0.09996520727872849,3,2,0.9975000023841858,1.0,0.9999867081642152,1.6060885190963743,0.4861151874065399,3.246276639434404,1.0008702278137207,1.7946512699127195,0.036550398916006,3.61277938170262
CSBM-H0.1,GraphSAGEPairNorm,GraphSAGE,True,5,128,1,1,0,0.1,0.09996520727872849,2,2,1.0,1.0,1.000085473060608,1.7323933839797974,0.3242476880550384,3.4711593172331456,1.0004501342773438,1.7958920001983645,0.0152893299236893,3.623145725162024
CSBM-H0.1,GraphSAGEPairNorm,GraphSAGE,True,6,128,1,1,0,0.1,0.09996520727872849,2,2,1.0,1.0,1.0005944967269895,1.779853105545044,0.153968945145607,3.573802414759714,1.0006293058395386,1.797856330871582,0.0125840259715914,3.6254007625090328
CSBM-H0.1,GraphSAGEPairNorm,GraphSAGE,True,7,128,1,1,0,0.1,0.09996520727872849,2,2,1.0,1.0,1.0003827810287476,1.7547835111618042,0.2647399306297302,3.533596559000526,1.0006002187728882,1.7989109754562378,0.0107308533042669,3.618168855150447
CSBM-H0.1,GraphSAGEPairNorm,GraphSAGE,True,8,128,1,1,0,0.1,0.09996520727872849,2,2,1.0,1.0,1.000469207763672,1.7480714321136477,0.2954203486442566,3.524896163908969,1.0005104541778564,1.7981091737747192,0.0107796313241124,3.615583676761666
