h,model,seed,epoch,normalized_dirichlet_energy,effective_rank_ratio,mean_pairwise_cosine_distance
0.1,GraphSAGEPairNorm,1,1,2.190372930255709,0.735042154788971,0.9993265271186828
0.1,GraphSAGEPairNorm,1,2,3.524896163908969,0.2954203486442566,1.000469207763672
0.1,GraphSAGEPairNorm,1,4,3.6325223538999034,0.0119555201381444,1.0009050369262695
0.1,GraphSAGEPairNorm,1,8,3.6373685067893047,0.0089200921356678,1.0008327960968018
0.1,GraphSAGEPairNorm,1,16,3.638909406141952,0.0086310803890228,0.9996269941329956
0.1,GraphSAGEPairNorm,1,32,3.6314244832238254,0.0093392822891473,1.0009751319885254
0.1,GraphSAGEPairNorm,1,50,3.624919077319613,0.0108106769621372,0.9994853138923644
0.1,GraphSAGEPairNorm,1,100,3.6213363346796834,0.0105313891544938,1.000758409500122
0.1,GraphSAGEPairNorm,1,150,3.624613942712809,0.0117053883150219,0.9984875917434692
0.1,GraphSAGEPairNorm,1,200,3.615583676761666,0.0107796313241124,1.0005104541778564
0.1,GraphSAGEPairNorm,2,1,2.1274852919927496,0.742249071598053,0.9969812631607056
0.1,GraphSAGEPairNorm,2,2,3.4783489719833507,0.3238490223884582,0.9993067979812622
0.1,GraphSAGEPairNorm,2,4,3.6301555870918105,0.0124401291832327,1.000701904296875
0.1,GraphSAGEPairNorm,2,8,3.6374693795710105,0.008969772607088,0.9992888569831848
0.1,GraphSAGEPairNorm,2,16,3.637675806229249,0.008584089577198,1.0006656646728516
0.1,GraphSAGEPairNorm,2,32,3.62957359232634,0.0093420855700969,1.0005849599838257
0.1,GraphSAGEPairNorm,2,50,3.626099386251697,0.0106297805905342,1.0003107786178589
0.1,GraphSAGEPairNorm,2,100,3.611905605207877,0.010209621861577,1.000840425491333
0.1,GraphSAGEPairNorm,2,150,3.606942926851396,0.0106409871950745,1.0009121894836426
0.1,GraphSAGEPairNorm,2,200,3.615774328995777,0.0108119873329997,1.0009602308273315
0.1,GraphSAGEPairNorm,3,1,2.0924106424350226,0.7535539269447327,0.999646782875061
0.1,GraphSAGEPairNorm,3,2,3.4636028206057143,0.3324167728424072,0.9999856352806092
0.1,GraphSAGEPairNorm,3,4,3.631659642929967,0.0126969497650861,1.0008984804153442
0.1,GraphSAGEPairNorm,3,8,3.6391050636420528,0.0090599609538912,1.0009055137634275
0.1,GraphSAGEPairNorm,3,16,3.640756869767231,0.0086560323834419,0.999995231628418
0.1,GraphSAGEPairNorm,3,32,3.632889850194204,0.0096431588754057,0.999448537826538
0.1,GraphSAGEPairNorm,3,50,3.620947805133076,0.0107077406719326,0.9997490644454956
0.1,GraphSAGEPairNorm,3,100,3.6114156989286026,0.0111825857311487,0.9994765520095824
0.1,GraphSAGEPairNorm,3,150,3.6144613991455175,0.0114758526906371,1.0008805990219116
0.1,GraphSAGEPairNorm,3,200,3.622198955625872,0.0114114126190543,1.0006914138793943
0.1,GraphSAGEPairNorm,4,1,2.321428609748552,0.7188449501991272,0.9985076785087584
0.1,GraphSAGEPairNorm,4,2,3.601343076671267,0.1682627648115158,0.999913454055786
0.1,GraphSAGEPairNorm,4,4,3.652445711033675,0.0112054552882909,1.0003145933151243
0.1,GraphSAGEPairNorm,4,8,3.6546059305738576,0.0088524762541055,0.9989576935768129
