epoch,train_loss,train_accuracy,val_loss,val_accuracy,best_val_accuracy,best_test_accuracy_at_best_val
1,0.61994801958402,0.7926432291666666,0.475580096244812,0.9993489583333334,0.9993489583333334,0.9986979166666666
2,0.39511288205782574,0.9996744791666666,0.30961666504542035,1.0,1.0,1.0
3,0.2732251087824504,1.0,0.23025333881378174,1.0,1.0,1.0
4,0.20608784010012945,1.0,0.1764174352089564,1.0,1.0,1.0
5,0.15973723183075586,1.0,0.13887147108713785,1.0,1.0,1.0
6,0.12658746788899103,1.0,0.11127582689126332,1.0,1.0,1.0
7,0.1020865688721339,1.0,0.09069714943567912,1.0,1.0,1.0
8,0.08376648649573326,1.0,0.0751519501209259,1.0,1.0,1.0
9,0.06986383721232414,1.0,0.06329292804002762,1.0,1.0,1.0
10,0.05922249766687552,1.0,0.05415528267621994,1.0,1.0,1.0
11,0.0509698378543059,1.0,0.046997927129268646,1.0,1.0,1.0
12,0.044461230436960854,1.0,0.041306398808956146,1.0,1.0,1.0
13,0.039246361081798874,1.0,0.03669034192959467,1.0,1.0,1.0
14,0.034990654637416206,1.0,0.03289255624016126,1.0,1.0,1.0
15,0.03147422025601069,1.0,0.02971973456442356,1.0,1.0,1.0
16,0.02851666199664275,1.0,0.027031609167655308,1.0,1.0,1.0
17,0.02600156267484029,1.0,0.024735695372025173,1.0,1.0,1.0
18,0.023844302631914616,1.0,0.022751058141390484,1.0,1.0,1.0
19,0.021971741691231728,1.0,0.02101990580558777,1.0,1.0,1.0
20,0.0203332311163346,1.0,0.019499909753600757,1.0,1.0,1.0
21,0.01889254276951154,1.0,0.018153710911671322,1.0,1.0,1.0
22,0.017611497392257053,1.0,0.016956144322951634,1.0,1.0,1.0
23,0.0164689968029658,1.0,0.015884047995011013,1.0,1.0,1.0
24,0.015443666838109493,1.0,0.014919854079683622,1.0,1.0,1.0
25,0.01452156575396657,1.0,0.014048137081166109,1.0,1.0,1.0
26,0.013685046384731928,1.0,0.01325737809141477,1.0,1.0,1.0
27,0.012925895551840464,1.0,0.012537180446088314,1.0,1.0,1.0
28,0.01223394771416982,1.0,0.01187882013618946,1.0,1.0,1.0
29,0.011598959875603517,1.0,0.01127519520620505,1.0,1.0,1.0
30,0.011016976553946733,1.0,0.01072047216196855,1.0,1.0,1.0
31,0.01048146498699983,1.0,0.010208932061990103,1.0,1.0,1.0
32,0.009987383149564266,1.0,0.009735909290611744,1.0,1.0,1.0
33,0.009529826852182547,1.0,0.009297512782116732,1.0,1.0,1.0
34,0.009106270192811886,1.0,0.008889944603045782,1.0,1.0,1.0
35,0.0087110527480642,1.0,0.00851104874163866,1.0,1.0,1.0
36,0.008343509398400784,1.0,0.008157762698829174,1.0,1.0,1.0
37,0.00800100186218818,1.0,0.007827474425236383,1.0,1.0,1.0
38,0.0076800550644596415,1.0,0.00751851840565602,1.0,1.0,1.0
39,0.0073800859196732444,1.0,0.007228711775193612,1.0,1.0,1.0
40,0.007098081599300106,1.0,0.006956831241647403,1.0,1.0,1.0
41,0.0068338617372016115,1.0,0.006700714739660422,1.0,1.0,1.0
42,0.006584891506160299,1.0,0.006459484497706096,1.0,1.0,1.0
43,0.006349362976228197,1.0,0.00623240927234292,1.0,1.0,1.0
44,0.0061279351357370615,1.0,0.006017886723081271,1.0,1.0,1.0
45,0.005919250737254818,1.0,0.00581484055146575,1.0,1.0,1.0
46,0.005720850313082337,1.0,0.005622686507801215,1.0,1.0,1.0
47,0.005533299874514341,1.0,0.0054406098400553065,1.0,1.0,1.0
48,0.0053556610364466906,1.0,0.005267775772760312,1.0,1.0,1.0
49,0.0051866834207127495,1.0,0.005103706071774165,1.0,1.0,1.0
50,0.005026379832997918,1.0,0.004947713265816371,1.0,1.0,1.0
51,0.004873888256649177,1.0,0.004799144342541695,1.0,1.0,1.0
52,0.004728634841740131,1.0,0.004657662163178126,1.0,1.0,1.0
53,0.004590180624897282,1.0,0.0045227680044869585,1.0,1.0,1.0
54,0.004458022303879261,1.0,0.004394118518879016,1.0,1.0,1.0
55,0.004332033917307854,1.0,0.004271259841819604,1.0,1.0,1.0
56,0.0042116645102699595,1.0,0.004153772567709287,1.0,1.0,1.0
57,0.004096632280076544,1.0,0.004041356345017751,1.0,1.0,1.0
58,0.00398650315279762,1.0,0.003933683969080448,1.0,1.0,1.0
59,0.0038809539594997964,1.0,0.0038305765483528376,1.0,1.0,1.0
60,0.0037799634349842868,1.0,0.0037316790937135615,1.0,1.0,1.0
61,0.0036827936225260296,1.0,0.0036369117442518473,1.0,1.0,1.0
62,0.0035898688171679773,1.0,0.0035458895533035197,1.0,1.0,1.0
