model_base,distance,width,graph_seed,n_init_base,test_acc_base,matched_influence_base,distractor_influence_base,specificity_base,model_rewired,n_init_rewired,test_acc_rewired,matched_influence_rewired,distractor_influence_rewired,specificity_rewired,accuracy_gain_pp,specificity_gain
GraphSAGE,2,1,1,3,0.7804904513888888,1.2647335588311155,0.2693503960666324,0.8240507288219794,GraphSAGERewired,3,1.0,0.05955446296987551,0.00047808895001111296,0.9918091481870022,21.950954861111114,0.16775841936502278
GraphSAGE,2,1,2,3,0.7488064236111112,0.9684253764959673,0.22461302243270134,0.8110105565590283,GraphSAGERewired,3,1.0,0.047580104640928766,0.00047089571078610487,0.9873446238742534,25.119357638888886,0.17633406731522505
GraphSAGE,2,1,3,3,0.7610677083333334,1.0451380553810548,0.2553058107356871,0.8016931807318076,GraphSAGERewired,3,1.0,0.038427177484360676,0.00040979855234013485,0.9889172949928935,23.893229166666664,0.18722411426108587
GraphSAGE,2,1,4,3,0.7646484375,1.2246584665651123,0.25513873332965886,0.8271810350024423,GraphSAGERewired,3,1.0,0.028064772414381878,0.000377071941812801,0.9855815311580786,23.53515625,0.15840049615563623
GraphSAGE,2,1,5,3,0.7745225694444443,1.2075396784736465,0.26449607221002225,0.8202796406811371,GraphSAGERewired,3,1.0,0.03692552277304154,0.00044001608424082406,0.98787290730758,22.547743055555568,0.16759326662644292
GraphSAGE,2,2,1,3,0.9326171875,3.433509680132071,0.5359970139009723,0.8641477689084409,GraphSAGERewired,3,1.0,0.060371504913443154,0.0011090410957876884,0.9818229355090512,6.73828125,0.11767516660061028
GraphSAGE,2,2,2,3,0.9053819444444443,2.956519435159862,0.5246207092422992,0.8480607425130947,GraphSAGERewired,3,1.0,0.04816773804547362,0.0010700130672773867,0.9723545854113259,9.46180555555557,0.1242938428982312
GraphSAGE,2,2,3,3,0.9254557291666666,3.363826605180899,0.618729118083138,0.8439726729785842,GraphSAGERewired,3,1.0,0.03878738562586174,0.0008481376969105744,0.9776867014545464,7.4544270833333375,0.13371402847596214
GraphSAGE,2,2,4,3,0.9275173611111112,3.3960064314305782,0.5248183312360197,0.8628823953540907,GraphSAGERewired,3,1.0,0.04831306409990551,0.0009317555948390085,0.9774083505936845,7.248263888888884,0.11452595523959375
GraphSAGE,2,2,5,3,0.9448784722222223,4.106047592436274,0.6032011489442084,0.8731090915603489,GraphSAGERewired,3,1.0,0.0568501698247322,0.0010972750682185506,0.9806759766043377,5.512152777777768,0.10756688504398881
GraphSAGE,2,4,1,3,0.9964192708333334,4.893844187259674,0.913668568226664,0.8440975633639581,GraphSAGERewired,3,1.0,0.061110329911268,0.0023922016244644815,0.9619580529036554,0.35807291666666297,0.1178604895396973
GraphSAGE,2,4,2,3,0.9942491319444445,4.549303725982706,0.9024045313320433,0.8351332766257397,GraphSAGERewired,3,1.0,0.05933411278116788,0.002320582994874106,0.961972873293648,0.5750868055555469,0.12683959666790834
GraphSAGE,2,4,3,3,0.9968532986111112,4.882995202516516,0.9567105721798725,0.8358549849680269,GraphSAGERewired,3,0.9998914930555555,0.03942616334218959,0.0017790821242821646,0.9546091490181476,0.3038194444444309,0.11875416405012074
GraphSAGE,2,4,4,3,0.995876736111111,5.19088692838947,1.0550103706191294,0.8339563536372984,GraphSAGERewired,3,1.0,0.05834987099660793,0.0021633091625214242,0.9632711806928461,0.41232638888889506,0.12931482705554775
