model,distance,width,n_graphs,accuracy_mean,accuracy_sd,influence_mean,influence_sd,specificity_mean,specificity_sd
GraphSAGE,2,1,5,0.7659071180555556,0.012291638696977492,1.1420990271493792,0.12816174860379012,0.8168430283592789,0.010418388095108153
GraphSAGE,2,2,5,0.9271701388888889,0.014326902920139764,3.4511819488679363,0.41368092065975104,0.8584345342629118,0.012088508358693042
GraphSAGE,2,4,5,0.9722439236111111,0.05279313917971404,4.711628932552412,0.438233939234458,0.818057409227307,0.04312589584779676
GraphSAGE,2,8,5,0.8981987847222221,0.07174181800275199,3.3244467749324635,1.4621281454861683,0.6623730624561406,0.05239258144751196
GraphSAGE,4,1,5,0.6014973958333333,0.01477440692185976,0.1087817760310524,0.04853104091023553,0.629805351888233,0.05753921724317312
GraphSAGE,4,2,5,0.6537326388888889,0.04398945667319771,0.49637372148038894,0.5941590655395953,0.6211437556484908,0.08880911166629668
GraphSAGE,4,4,5,0.6945746527777777,0.07066949083774815,1.5545111774436313,2.0775104658793278,0.5691470878002218,0.09017979413249701
GraphSAGE,4,8,5,0.8235460069444445,0.08190216726753678,2.3510044781228623,1.4495081515328936,0.6184758623569564,0.09647603008755146
GraphSAGE,6,1,5,0.5754557291666667,0.009488806661010837,0.023675246683690903,0.01131508875951501,0.5247149779213419,0.028735439370855372
GraphSAGE,6,2,5,0.6000434027777779,0.005404691582210219,0.02928446110227772,0.004056546129610531,0.5016317362350308,0.0025156492253504896
GraphSAGE,6,4,5,0.6856770833333334,0.047175095922137054,1.1445569995365985,1.0552724827721782,0.5504934381401376,0.05220636230608207
GraphSAGE,6,8,5,0.8334852430555555,0.05119875768976317,4.080202181535242,1.2969510733206295,0.5785129604320906,0.008388383565441247
GraphSAGE,8,1,5,0.56875,0.0043542256355518045,0.0151284249715142,0.0013269063679657135,0.5051624666446088,0.006556576088702941
GraphSAGE,8,2,5,0.6011501736111111,0.01193018927583658,0.06774939570628172,0.05036296251004716,0.5346413341848936,0.051213894040903984
GraphSAGE,8,4,5,0.6543836805555555,0.02419794876408637,0.4328165004426713,0.5040771514259937,0.5349534605955808,0.04782280726101042
GraphSAGE,8,8,5,0.7004123263888888,0.007074203424933631,0.24766684476954787,0.04369546065402543,0.5103999177397229,0.01406793211072931
GraphSAGE,10,1,5,0.5702907986111112,0.003849626985393983,0.011418922341374583,0.004146624347962259,0.5111479763573186,0.01704709167452238
GraphSAGE,10,2,5,0.5999565972222223,0.007206282673304515,0.0687201646333089,0.08489089052501723,0.5222739941745491,0.043605196979125314
GraphSAGE,10,4,5,0.6539279513888889,0.015232110406133733,0.6329616624507253,0.5372542302184242,0.5486808510998494,0.04655005684053752
GraphSAGE,10,8,5,0.733224826388889,0.04450177892038829,1.7436080736340955,2.782432813444072,0.5239282889733585,0.019773444818681273
GraphSAGERewired,2,1,5,1.0,0.0,0.042110408056517674,0.011957651692408892,0.9883051011039615,0.0023011012882067365
GraphSAGERewired,2,2,5,1.0,0.0,0.050497972501883245,0.008443617640535545,0.9779897099145891,0.0036774334848039417
GraphSAGERewired,2,4,5,0.9999782986111111,4.852578076175694e-05,0.05520267890872978,0.008909007852918177,0.9603927735540705,0.003418334122662872
GraphSAGERewired,2,8,5,1.0,0.0,0.06105592380181406,0.0012400032567912104,0.9240114201993087,0.0010016701463341272
GraphSAGERewired,4,1,5,1.0,0.0,0.043733688954065056,0.019917910508209246,0.9972010622028975,0.0016039843078560429
GraphSAGERewired,4,2,5,0.999826388888889,0.0002829514932813549,0.043790589274734275,0.016070782891618618,0.9939704141496032,0.002195003003849735
GraphSAGERewired,4,4,5,1.0,0.0,0.0485946018264561,0.013702447841000468,0.9871852973766,0.004829926054505584
GraphSAGERewired,4,8,5,1.0,0.0,0.038278359939734705,0.01942124075423432,0.9622450520587817,0.00937971203953816
GraphSAGERewired,6,1,5,1.0,0.0,0.01460032175694626,0.0028510370773794876,0.9989853967494604,0.0006002546547217664
GraphSAGERewired,6,2,5,1.0,0.0,0.014612457083054173,0.0026894466521000205,0.9979805059982066,0.0012300393186881436
GraphSAGERewired,6,4,5,1.0,0.0,0.01901917213504021,0.007558877230932464,0.9948685300122582,0.00275117084025517
GraphSAGERewired,6,8,5,1.0,0.0,0.015132832291252878,0.0028596911762398276,0.9853077722575996,0.00579439685719508
GraphSAGERewired,8,1,5,1.0,0.0,0.01662909083137644,0.004099657122432711,0.9998038480505815,3.112584888346896e-05
GraphSAGERewired,8,2,5,1.0,0.0,0.01844256287495606,0.008336055074042016,0.9996003527872993,6.104280989741307e-05
GraphSAGERewired,8,4,5,1.0,0.0,0.014824474459741546,0.0040952723516184675,0.9988632788298126,0.0003806333715335074
GraphSAGERewired,8,8,5,1.0,0.0,0.014397457809877778,0.0043630863636053676,0.9955919771122634,0.0013541971938152559
GraphSAGERewired,10,1,5,1.0,0.0,0.015886985448044774,0.009388450590961729,0.9999668114410797,1.697862174223209e-05
GraphSAGERewired,10,2,5,1.0,0.0,0.020747586961685254,0.016110481979947845,0.9999481131493544,3.114226374643893e-05
GraphSAGERewired,10,4,5,1.0,0.0,0.012672977697820897,0.006509630222414972,0.9998770186085203,5.707956003392328e-05
GraphSAGERewired,10,8,5,1.0,0.0,0.013516577118692414,0.006888294372435772,0.9996506995974539,0.00012777095380090418
