domain,regime,dataset,h,feature_signal,baseline_nde_final,pairnorm_nde_final,baseline_nde_recovery,baseline_rank_final,pairnorm_rank_final,baseline_rank_recovery,baseline_pairwise_final,pairnorm_pairwise_final,baseline_pairwise_recovery
cSBM,lowlabel,cSBM,0.1,0.25,9.20146092635358e-16,3.393822864975273,-2.105971977186366e-06,0.0208201458677649,0.0212638918310403,-0.052188714034855296,8.344650268554688e-08,0.9929945230484007,-1.0967254638671876e-06
cSBM,lowlabel,cSBM,0.1,0.5,2.3242371612255016e-16,3.375433809806684,-1.535021842227012e-06,0.0166093800216912,0.0210705678910016,-0.0605767417699099,3.576278686523438e-08,0.9907186508178712,-7.987022399902344e-07
cSBM,lowlabel,cSBM,0.5,0.25,0.2922216387411359,2.1461676210087512,0.2922199169327353,0.0118744952604174,0.0228947140276431,-0.06553552653640511,0.0787267208099365,0.9782644152641295,0.07872564792633055
cSBM,lowlabel,cSBM,0.5,0.5,2.7031706245298434e-16,2.1494914667761824,-1.9035473387609541e-06,0.0116891730576753,0.0227745544165372,-0.06299839764833451,9.5367431640625e-08,0.9765646576881408,-9.298324584960937e-07
cSBM,lowlabel,cSBM,0.9,0.25,0.1802371272870065,0.5567647773389186,0.18022878157276867,0.0124502610415219,0.0179322374984621,-0.0528411149978638,0.3726911783218384,0.98907812833786,0.37268536090850835
cSBM,lowlabel,cSBM,0.9,0.5,0.2659490514178392,0.5736556665675641,0.26594471839089917,0.0129388423636555,0.0182005036622285,-0.0450087001547217,0.5968265414237977,0.9874064207077028,0.5968209505081177
cSBM,replicated,cSBM,0.1,,1.564742544974539,3.6195936655760894,1.0634631404054153,0.0118783958256244,0.0108346844092011,-0.010193657688796499,0.4260543942451477,1.0007447957992557,0.2902384042739868
cSBM,replicated,cSBM,0.5,,2.8747723704432224e-12,1.9710709835096096,-1.622735328994529e-05,0.0220393383875488,0.0236785620450973,0.0019494630396366015,-4.76837158203125e-08,0.9991078495979308,-3.516674041748047e-06
real-world,lowlabel,PubMed,0.1,,5.200054001849389e-26,2.651520394619709,-2.775866543982008e-09,0.0078125,0.0366219989955424,-0.0774390947073697,0.0,0.9972323775291444,0.0
real-world,lowlabel,PubMed,0.5,,2.789631129693702e-20,1.4039221769692596,-2.8069546639391315e-09,0.0078131902962922,0.0376080386340617,-0.028499974682927098,0.0,0.9958290696144104,0.0
real-world,lowlabel,PubMed,0.9,,0.1336825637473817,0.2314612940350297,0.13368215556866742,0.0197958182543515,0.0271595280617475,0.004261013306677301,0.6658633828163147,0.9963122963905334,0.6658622741699219
real-world,lowlabel,Roman-Empire,0.1,,1.2111419734744575,1.6852923390492016,1.2111397762195313,0.0881100669503211,0.1325611531734466,0.0435333892703056,0.7508522868156433,0.9982576131820678,0.7508443117141723
real-world,lowlabel,Roman-Empire,0.5,,0.2842386859263724,0.7258766149029532,0.2842361145613243,0.0904622003436087,0.1564590960741042,0.038874401524662906,0.844292688369751,0.997271966934204,0.8442830562591553
real-world,lowlabel,Roman-Empire,0.9,,0.0820386993361909,0.1870706376120253,0.0817523086617122,0.0778802745044231,0.1341994315385818,0.0461291212588549,0.8605968356132507,0.9975224494934082,0.8604040026664734
real-world,replicated,PubMed,0.1,,4.3996248231877474e-29,2.780028546836429,-4.4190509532097365e-09,0.0078125,0.029913993179798,-0.022828429378569,2.384185791015625e-08,0.9969568133354187,2.384185791015625e-08
real-world,replicated,PubMed,0.5,,7.088009826776975e-24,1.4884718540033135,-7.583381779015882e-09,0.0078127963468432,0.0310357414186,-0.014630938693881,7.152557373046876e-08,0.9942190766334532,7.152557373046876e-08
real-world,replicated,Roman-Empire,0.1,,1.1048859227517087,1.7968650826446697,1.1048846582828296,0.1223481610417365,0.1322977900505065,0.0895147955045104,0.7133695244789123,0.997798764705658,0.7133644938468933
real-world,replicated,Roman-Empire,0.5,,0.5532591292148668,0.7806631949523648,0.5498048126055703,0.0991215109825133,0.1475972473621368,0.0710843276232481,0.8504040837287903,0.9970077276229858,0.8493075728416444
