dataset,h,graph_seed,interaction_mean
PubMed,0.1,1,0.005250918865203858
PubMed,0.1,2,0.17719433307647708
PubMed,0.1,3,0.08234379887580873
PubMed,0.1,4,0.08357301354408266
PubMed,0.1,5,0.16428186893463137
PubMed,0.5,1,0.30035204887390143
PubMed,0.5,2,0.13968614339828495
PubMed,0.5,3,0.14046183824539188
PubMed,0.5,4,0.15346978902816774
PubMed,0.5,5,0.14436423778533938
PubMed,0.9,1,0.19350794553756717
PubMed,0.9,2,0.09986278414726259
PubMed,0.9,3,-3.579854965209961e-05
PubMed,0.9,4,0.0013365983963012696
PubMed,0.9,5,-0.00723193883895874
Roman-Empire,0.1,1,0.032736361026763916
Roman-Empire,0.1,2,0.01374654769897462
Roman-Empire,0.1,3,-0.012012672424316395
Roman-Empire,0.1,4,0.0011836171150207742
Roman-Empire,0.1,5,-0.021772313117980946
Roman-Empire,0.5,1,0.014608311653137206
Roman-Empire,0.5,2,0.04180034399032593
Roman-Empire,0.5,3,0.007631218433380127
Roman-Empire,0.5,4,0.0296838641166687
Roman-Empire,0.5,5,0.013248157501220704
Roman-Empire,0.9,1,0.0034262657165528678
Roman-Empire,0.9,2,0.0004983663558959739
Roman-Empire,0.9,3,0.0022218823432922363
Roman-Empire,0.9,4,0.005596208572387606
Roman-Empire,0.9,5,0.0022945642471313256
