dataset,h,init_seed,interaction_mean
PubMed,0.1,11,0.0880601465702057
PubMed,0.1,29,-0.0001432061195373535
PubMed,0.1,47,0.0846351206302643
PubMed,0.1,65,0.34081985950469973
PubMed,0.1,83,-0.000727987289428711
PubMed,0.5,11,0.2121367752552033
PubMed,0.5,29,-0.003031206130981445
PubMed,0.5,47,0.07612627148628236
PubMed,0.5,65,0.3665135324001313
PubMed,0.5,83,0.22658868432044987
PubMed,0.9,11,-0.002959597110748291
PubMed,0.9,29,-0.003138601779937744
PubMed,0.9,47,0.09864550232887268
PubMed,0.9,65,0.19977326393127443
PubMed,0.9,83,-0.004880976676940918
Roman-Empire,0.1,11,-0.010704487562179565
Roman-Empire,0.1,29,-0.014182615280151366
Roman-Empire,0.1,47,-0.008607161045074451
Roman-Empire,0.1,65,0.01033068895339967
Roman-Empire,0.1,83,0.03704511523246769
Roman-Empire,0.5,11,0.05340806245803833
Roman-Empire,0.5,29,0.023205113410949708
Roman-Empire,0.5,47,0.008586394786834716
Roman-Empire,0.5,65,0.01764005422592163
Roman-Empire,0.5,83,0.004132270812988281
Roman-Empire,0.9,11,-0.001360106468200728
Roman-Empire,0.9,29,0.0034262537956238014
Roman-Empire,0.9,47,0.0029797911643981044
Roman-Empire,0.9,65,0.0060323238372804065
Roman-Empire,0.9,83,0.002959024906158425
