dataset,model,depth,graph_seed,init_seed,split_idx,best_epoch,best_val,test_best,data_path
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,7,1,11,0,2399,0.837221086025238,0.8277343511581421,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,7,1,29,0,923,0.8387423753738403,0.8198579549789429,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,7,1,47,0,552,0.8382352590560913,0.8268989324569702,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,7,1,65,0,1060,0.8356997966766357,0.8212303519248962,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,7,1,83,0,1405,0.837221086025238,0.8249298930168152,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,8,1,11,0,1806,0.8448275923728943,0.8294647336006165,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,8,1,29,0,2259,0.8412778973579407,0.8279730081558228,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,8,1,47,0,2033,0.8392494916915894,0.8271973133087158,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,8,1,65,0,1772,0.842799186706543,0.8331642746925354,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,8,1,83,0,696,0.837221086025238,0.8291067481040955,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt
RW-PubMed-H0.1-LOW,GraphSAGE,7,1,11,0,1,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt
RW-PubMed-H0.1-LOW,GraphSAGE,7,1,29,0,1,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt
RW-PubMed-H0.1-LOW,GraphSAGE,7,1,47,0,1,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt
RW-PubMed-H0.1-LOW,GraphSAGE,7,1,65,0,1,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt
RW-PubMed-H0.1-LOW,GraphSAGE,7,1,83,0,1,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt
RW-PubMed-H0.1-LOW,GraphSAGE,8,1,11,0,1,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt
RW-PubMed-H0.1-LOW,GraphSAGE,8,1,29,0,2,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt
RW-PubMed-H0.1-LOW,GraphSAGE,8,1,47,0,2,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt
RW-PubMed-H0.1-LOW,GraphSAGE,8,1,65,0,1,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt
RW-PubMed-H0.1-LOW,GraphSAGE,8,1,83,0,2,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,7,1,11,0,776,0.8037525415420532,0.7721821069717407,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed1.pt
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,7,1,29,0,674,0.7991886138916016,0.7762396335601807,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed1.pt
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,7,1,47,0,1249,0.7981744408607483,0.7739124894142151,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed1.pt
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,7,1,65,0,1387,0.7976673245429993,0.7746285200119019,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed1.pt
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,7,1,83,0,847,0.8007099032402039,0.777612030506134,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed1.pt
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,8,1,11,0,484,0.7951318025588989,0.7657974362373352,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed1.pt
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,8,1,29,0,1092,0.8032454252243042,0.7720030546188354,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed1.pt
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,8,1,47,0,993,0.8002028465270996,0.7826839089393616,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed1.pt
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,8,1,65,0,1215,0.7991886138916016,0.7754639387130737,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed1.pt
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,8,1,83,0,561,0.795638918876648,0.7765379548072815,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed1.pt
RW-PubMed-H0.5-LOW,GraphSAGE,7,1,11,0,1002,0.7941176295280457,0.7734948396682739,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed1.pt
RW-PubMed-H0.5-LOW,GraphSAGE,7,1,29,0,3,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed1.pt
RW-PubMed-H0.5-LOW,GraphSAGE,7,1,47,0,526,0.7885395288467407,0.7798794507980347,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed1.pt
RW-PubMed-H0.5-LOW,GraphSAGE,7,1,65,0,1653,0.7971602082252502,0.7749865651130676,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed1.pt
RW-PubMed-H0.5-LOW,GraphSAGE,7,1,83,0,533,0.7941176295280457,0.7729578018188477,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed1.pt
RW-PubMed-H0.5-LOW,GraphSAGE,8,1,11,0,1,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed1.pt
RW-PubMed-H0.5-LOW,GraphSAGE,8,1,29,0,2,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed1.pt
RW-PubMed-H0.5-LOW,GraphSAGE,8,1,47,0,2,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed1.pt
RW-PubMed-H0.5-LOW,GraphSAGE,8,1,65,0,1,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed1.pt
RW-PubMed-H0.5-LOW,GraphSAGE,8,1,83,0,2,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed1.pt
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,7,1,11,0,435,0.9026368856430054,0.8881794810295105,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,7,1,29,0,419,0.9021297693252563,0.8840026259422302,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,7,1,47,0,1052,0.9046652913093567,0.8845993280410767,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,7,1,65,0,1478,0.9031440019607544,0.8856136798858643,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,7,1,83,0,784,0.9026368856430054,0.8804821372032166,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,8,1,11,0,1358,0.9046652913093567,0.8891341686248779,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,8,1,29,0,1255,0.9051724076271057,0.8804821372032166,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,8,1,47,0,12,0.90567946434021,0.8934303522109985,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,8,1,65,0,608,0.9046652913093567,0.8839429616928101,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt
RW-PubMed-H0.9-LOW,GraphSAGEPairNorm,8,1,83,0,593,0.9036511182785034,0.8802434206008911,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt
RW-PubMed-H0.9-LOW,GraphSAGE,7,1,11,0,1478,0.9092291593551636,0.8872843980789185,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt
RW-PubMed-H0.9-LOW,GraphSAGE,7,1,29,0,2025,0.9046652913093567,0.8858523368835449,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt
RW-PubMed-H0.9-LOW,GraphSAGE,7,1,47,0,66,0.9087221026420593,0.886747419834137,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt
RW-PubMed-H0.9-LOW,GraphSAGE,7,1,65,0,1563,0.906186580657959,0.8843606114387512,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt
RW-PubMed-H0.9-LOW,GraphSAGE,7,1,83,0,551,0.90567946434021,0.8826302289962769,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt
RW-PubMed-H0.9-LOW,GraphSAGE,8,1,11,0,156,0.9097362756729126,0.8925949931144714,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt
RW-PubMed-H0.9-LOW,GraphSAGE,8,1,29,0,643,0.9041581749916077,0.8840026259422302,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt
RW-PubMed-H0.9-LOW,GraphSAGE,8,1,47,0,2,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt
RW-PubMed-H0.9-LOW,GraphSAGE,8,1,65,0,1,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt
RW-PubMed-H0.9-LOW,GraphSAGE,8,1,83,0,2190,0.9051724076271057,0.888358473777771,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGEPairNorm,7,1,11,0,2203,0.5666372776031494,0.5469552874565125,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGEPairNorm,7,1,29,0,2115,0.5759046673774719,0.5577012896537781,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGEPairNorm,7,1,47,0,2240,0.5750220417976379,0.5514197945594788,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGEPairNorm,7,1,65,0,2400,0.5644307136535645,0.5381301045417786,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGEPairNorm,7,1,83,0,2172,0.5578111410140991,0.5349633693695068,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGEPairNorm,8,1,11,0,1977,0.5498676300048828,0.5258786082267761,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGEPairNorm,8,1,29,0,1953,0.5560458898544312,0.533769428730011,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGEPairNorm,8,1,47,0,1534,0.5622242093086243,0.5442039370536804,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGEPairNorm,8,1,65,0,2394,0.5467784404754639,0.5266054272651672,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGEPairNorm,8,1,83,0,2250,0.5375110507011414,0.5274360179901123,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGE,7,1,11,0,1580,0.5498676300048828,0.5362612009048462,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGE,7,1,29,0,1532,0.5476610660552979,0.5161190032958984,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGE,7,1,47,0,1363,0.5622242093086243,0.547318696975708,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGE,7,1,65,0,1001,0.5375110507011414,0.517157256603241,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGE,7,1,83,0,2341,0.5838481783866882,0.553548276424408,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGE,8,1,11,0,1887,0.5648720264434814,0.545397937297821,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGE,8,1,29,0,1095,0.4646955132484436,0.4275034964084625,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
RW-Roman-empire-H0.1-LOW,GraphSAGE,8,1,47,0,2061,0.5392762422561646,0.5190261006355286,realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt
