regime,dataset_raw,dataset,h,model,family,pairnorm,seed,split_idx,depth,epoch,layer_index,layer_name,embedding_dim,normalized_dirichlet_energy,effective_rank_ratio,mean_pairwise_cosine_distance,class_separation_margin,fisher_discriminant_ratio
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCNPairNorm,GCN,True,1,0,2,2400,2,pns.0,128,1.9728554260488944,0.6755406260490417,0.999692440032959,0.0447140336036682,0.0364800058305263
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCNPairNorm,GCN,True,2,0,2,2400,2,pns.0,128,1.928549830145268,0.6771728992462158,0.9992806911468506,0.04641854763031,0.0379994362592697
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCNPairNorm,GCN,True,3,0,2,2400,2,pns.0,128,1.883901604700557,0.6971993446350098,0.9996941685676576,0.0339646935462951,0.0282201766967773
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCNPairNorm,GCN,True,4,0,2,2400,2,pns.0,128,2.017571925044477,0.6920881271362305,1.000045657157898,0.0488442778587341,0.0382327325642108
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCNPairNorm,GCN,True,5,0,2,2400,2,pns.0,128,2.0358294743188616,0.6929787397384644,0.9999478459358216,0.0265504717826843,0.0211355816572904
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCNPairNorm,GCN,True,1,0,4,2400,6,pns.2,128,2.3749426140479857,0.054601889103651,0.9930959939956664,0.0628257989883422,0.0303858630359172
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCNPairNorm,GCN,True,2,0,4,2400,6,pns.2,128,2.683856789850297,0.056531187146902,0.9955949783325196,0.0606100559234619,0.0306172184646129
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCNPairNorm,GCN,True,3,0,4,2400,6,pns.2,128,2.351533001709935,0.0569568611681461,0.9933202862739564,0.0586183071136474,0.0295805428177118
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCNPairNorm,GCN,True,4,0,4,2400,6,pns.2,128,2.6788867456323677,0.0548701956868171,0.993628203868866,0.0521398186683654,0.0197703447192907
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCNPairNorm,GCN,True,5,0,4,2400,6,pns.2,128,2.504670989793967,0.0543043911457061,0.9949678182601928,0.0644473433494567,0.0390439480543136
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCNPairNorm,GCN,True,1,0,8,2400,14,pns.6,128,1.7535437906978906,0.0284194108098745,0.9920430779457092,0.0409322381019592,0.0242032650858163
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCNPairNorm,GCN,True,2,0,8,2400,14,pns.6,128,1.8784713751051836,0.0280569270253181,0.991661548614502,0.0444767475128173,0.0219683833420276
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCNPairNorm,GCN,True,3,0,8,2400,14,pns.6,128,1.655871875896703,0.0299213305115699,0.9941784143447876,0.0725123882293701,0.0390203557908535
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCNPairNorm,GCN,True,4,0,8,2400,14,pns.6,128,1.6606960388454306,0.0288212709128856,0.9971309900283812,0.0661744475364685,0.0341419279575347
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCNPairNorm,GCN,True,5,0,8,2400,14,pns.6,128,1.6376109786626871,0.0277254413813352,0.9937483072280884,0.0434579253196716,0.0270785894244909
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCN,GCN,False,1,0,2,2400,1,convs.0,128,1.1832536493624295,0.2048350870609283,0.3674928545951843,0.0835999250411987,0.1459041833877563
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCN,GCN,False,2,0,2,2400,1,convs.0,128,1.1867724396819388,0.198948860168457,0.3603658676147461,0.067466527223587,0.1100867390632629
