dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,class_metric_scope,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,0,1,convs.0,2048,2048,3,0.1786879003047943,0.18330372869968414,0.0046158283948898315,0.00589829683303833,0.017904037609696388,test,0.18138903379440308,0.13789071142673492,0.031212618574500084,0.2741996718992522,128,121.46038818359375,0.9489092826843262,0.3367912173271179,0.00016629943274892867,
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,0,2,pns.0,2048,2048,3,0.9821298122406006,1.0082206726074219,0.02609086036682129,1.4537646770477295,0.01732160523533821,test,0.9999914169311523,0.9405980706214905,1.4656338691711426,1.4663224908653216,128,121.38662719726562,0.9483330249786377,0.9696680903434753,0.00780883152037859,
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,0,3,convs.1,2048,2048,3,0.26710546016693115,0.27117112278938293,0.004065662622451782,0.0060214996337890625,0.010441886261105537,test,0.26631224155426025,0.18944968283176422,0.21438337862491608,0.3570169554345743,128,112.45704650878906,0.8785706758499146,0.7700719237327576,0.0013330723159015179,
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,0,4,pns.1,2048,2048,3,0.9862768650054932,1.0046279430389404,0.018351078033447266,1.312868356704712,0.011789292097091675,test,0.9987955689430237,0.920086681842804,1.2563248872756958,1.2563984264883286,128,112.19931030273438,0.8765571117401123,0.9631783962249756,0.007812041789293289,
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,0,5,convs.2,2048,2048,3,0.28548890352249146,0.2886301577091217,0.003141254186630249,0.0049495697021484375,0.0074378917925059795,test,0.2877565622329712,0.19167032837867737,0.18700501322746277,0.3541598913710098,128,109.70222473144531,0.8570486307144165,0.7209305763244629,0.001267304178327322,
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,0,6,pns.2,2048,2048,3,0.9885351657867432,1.0021941661834717,0.013659000396728516,1.1702208518981934,0.00881203729659319,test,0.9963008165359497,0.9010505080223083,1.1527514457702637,1.1528224268893585,128,109.77961730957031,0.8576532602310181,0.9578311443328857,0.0078120180405676365,
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,0,7,convs.3,2048,2048,3,0.24785301089286804,0.24980102479457855,0.0019480139017105103,0.003062725067138672,0.005599725991487503,test,0.25088798999786377,0.16493506729602814,0.17728063464164734,0.30132552715178823,128,108.1472396850586,0.8449003100395203,0.7580887675285339,0.0012932578101754189,
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,0,8,pns.3,2048,2048,3,0.9915789365768433,0.9988362789154053,0.007257342338562012,0.8827440738677979,0.004679321311414242,test,0.9939104914665222,0.8502305150032043,1.0708781480789185,1.0709427472388866,128,108.15888977050781,0.8449913263320923,0.9493918418884277,0.007812028285115957,
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,0,9,convs.4,2048,2048,3,0.2822129726409912,0.28378787636756897,0.0015749037265777588,0.002755463123321533,0.004166943021118641,test,0.27947932481765747,0.16963869333267212,0.16470670700073242,0.3173021121858608,128,107.31346130371094,0.8383864164352417,0.7133472561836243,0.0012536271242424846,
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,0,10,pns.4,2048,2048,3,0.9896911978721619,0.9963475465774536,0.006656348705291748,0.6905630826950073,0.004504609853029251,test,0.9938917756080627,0.8315556645393372,1.0263745784759521,1.026438389732867,128,107.20963287353516,0.8375752568244934,0.9402568936347961,0.007812013849616051,
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,0,11,convs.5,2048,2048,3,0.24929390847682953,0.25018924474716187,0.0008953362703323364,0.0016727447509765625,0.0030894610099494457,test,0.2542077302932739,0.14647570252418518,0.15826979279518127,0.27730606731641255,128,106.06063842773438,0.8285987377166748,0.7469304203987122,0.0012716635828837752,
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,0,12,pns.5,2048,2048,3,0.9880695939064026,0.9934507608413696,0.005381166934967041,0.5088810920715332,0.0034981186036020517,test,0.9916579127311707,0.8294090032577515,0.9722751379013062,0.9723348322437532,128,106.39885711669922,0.8312410712242126,0.9273654818534851,0.007812020368874073,
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,0,13,convs.6,2048,2048,3,0.25128087401390076,0.25228065252304077,0.0009997785091400146,0.0017938613891601562,0.003170943818986416,test,0.2478489875793457,0.13999353349208832,0.15624365210533142,0.26736166074826445,128,104.74020385742188,0.8182828426361084,0.751682698726654,0.001359699759632349,
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,0,14,pns.6,2048,2048,3,0.9814847707748413,0.9861398339271545,0.004655063152313232,0.282631516456604,0.00334067246876657,test,0.9852971434593201,0.7906604409217834,0.8976860642433167,0.8977376472408736,128,104.6883773803711,0.8178779482841492,0.9053299427032471,0.007812051102519035,
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,0,15,convs.7,2048,2048,3,0.10391680151224136,0.10410133749246597,0.00018453598022460938,0.00037384033203125,0.0015445841709151864,test,0.10161685943603516,0.05157497525215149,0.0037579871714115143,0.14078891460199813,3,2.920119047164917,0.973373015721639,0.15506714582443237,0.0017748416867107153,
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,1,1,convs.0,2048,2048,3,0.21033704280853271,0.21620209515094757,0.005865052342414856,0.007743716239929199,0.01907286047935486,test,0.212490975856781,0.1635986864566803,0.03150570020079613,0.3243052412745955,128,121.57853698730469,0.9498323202133179,0.31096434593200684,0.0001680245331954211,0.1905050805513448
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,1,2,pns.0,2048,2048,3,0.9799227118492126,1.009035348892212,0.029112637042999268,1.453653335571289,0.01933928392827511,test,0.9998983144760132,0.9381556510925293,1.4642139673233032,1.4648947587271808,128,121.5238265991211,0.9494048953056335,0.9697517156600952,0.007808868307620287,0.1905050805513448
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,1,3,convs.1,2048,2048,3,0.2841024100780487,0.28895479440689087,0.004852384328842163,0.007288455963134766,0.01180574856698513,test,0.2840123772621155,0.20323343575000763,0.21628472208976746,0.3820295263479058,128,112.35574340820312,0.8777792453765869,0.7470731735229492,0.0013374926056712866,0.1905050805513448
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,1,4,pns.1,2048,2048,3,0.9861683249473572,1.004929542541504,0.01876121759414673,1.3221663236618042,0.012047822587192059,test,0.9986647963523865,0.9180485606193542,1.263278841972351,1.2633524117056272,128,112.23253631591797,0.8768166899681091,0.9629648327827454,0.007812044583261013,0.1905050805513448
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,1,5,convs.2,2048,2048,3,0.29900386929512024,0.3027006685733795,0.0036967992782592773,0.0058699846267700195,0.008373519405722618,test,0.30325520038604736,0.20653963088989258,0.18817682564258575,0.37937251493972707,128,109.40055084228516,0.8546918034553528,0.6982996463775635,0.0012641241773962975,0.1905050805513448
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,1,6,pns.2,2048,2048,3,0.9882482290267944,1.0024718046188354,0.014223575592041016,1.1839540004730225,0.00894615426659584,test,0.9973259568214417,0.9038907289505005,1.1628926992416382,1.1629644434570656,128,109.5199203491211,0.8556243777275085,0.9583364725112915,0.007812017574906349,0.1905050805513448
RW-PubMed-H0.1-LOW-LRSENS-G3-LR0p003,GraphSAGEPairNorm,29,0,8,128,1,7,convs.3,2048,2048,3,0.26672685146331787,0.26855453848838806,0.0018276870250701904,0.0030243992805480957,0.0048941634595394135,test,0.26499831676483154,0.1771172285079956,0.17879967391490936,0.3213688609232828,128,107.61225128173828,0.8407207131385803,0.7363167405128479,0.0012930319644510746,0.1905050805513448
