dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,class_metric_scope,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
RW-PubMed-H0.1-LOW-LRSENS-G5-LR0p030,GraphSAGE,11,0,8,128,0,1,convs.0,2048,2048,3,0.2009502351284027,0.20524218678474426,0.004291951656341553,0.005675911903381348,0.014456665143370628,test,0.19902127981185913,0.15499751269817352,0.031272776424884796,0.3056650289712318,128,121.62162017822266,0.9501689076423645,0.31923985481262207,0.00016615063941571862,
RW-PubMed-H0.1-LOW-LRSENS-G5-LR0p030,GraphSAGE,11,0,8,128,0,2,convs.1,2048,2048,3,0.01326445396989584,0.013485046103596687,0.00022059213370084763,0.0002434849739074707,0.011999550275504589,test,0.013151705265045166,0.008535737171769142,0.006550624500960112,0.017185725030021904,128,104.5890884399414,0.8171022534370422,0.6173489093780518,3.98274787585251e-05,
RW-PubMed-H0.1-LOW-LRSENS-G5-LR0p030,GraphSAGE,11,0,8,128,0,3,convs.2,2048,2048,3,0.002256297040730715,0.002286731032654643,3.043399192392826e-05,3.36766242980957e-05,0.010006486438214779,test,0.002256155014038086,0.0013588203582912683,0.001395055907778442,0.0027415935712865854,128,88.18743896484375,0.6889643669128418,0.7133281826972961,8.943501597968861e-06,
RW-PubMed-H0.1-LOW-LRSENS-G5-LR0p030,GraphSAGE,11,0,8,128,0,4,convs.3,2048,2048,3,0.0004997238283976912,0.0005076379748061299,7.914146408438683e-06,8.64267349243164e-06,0.011596983298659325,test,0.0004922747611999512,0.0002857718791346997,0.0002983128360938281,0.000577399217543596,128,78.83403778076172,0.6158909201622009,0.7187809944152832,2.056160383290262e-06,
RW-PubMed-H0.1-LOW-LRSENS-G5-LR0p030,GraphSAGE,11,0,8,128,0,5,convs.4,2048,2048,3,0.00010423408821225166,0.00010604684939607978,1.8127611838281155e-06,1.9073486328125e-06,0.012468157336115837,test,0.00010472536087036133,5.812499512103386e-05,7.342556637013331e-05,0.0001175004601685578,128,71.31315612792969,0.5571340322494507,0.7905030846595764,5.185026452636521e-07,
RW-PubMed-H0.1-LOW-LRSENS-G5-LR0p030,GraphSAGE,11,0,8,128,0,6,convs.5,2048,2048,3,3.184708475600928e-05,3.244707113481127e-05,5.999863788019866e-07,5.960464477539062e-07,0.013533128425478935,test,3.159046173095703e-05,1.6952606529230252e-05,1.5327865185099654e-05,3.41377956335663e-05,128,64.47904968261719,0.5037425756454468,0.670074462890625,1.1143168876515119e-07,
RW-PubMed-H0.1-LOW-LRSENS-G5-LR0p030,GraphSAGE,11,0,8,128,0,7,convs.6,2048,2048,3,7.64280957810115e-06,7.788577022438403e-06,1.4576744433725253e-07,0.0,0.013826420530676842,test,8.165836334228516e-06,4.305323273001704e-06,3.5674638638738543e-06,8.66888648228003e-06,128,59.86411666870117,0.4676884114742279,0.6415021419525146,2.579906066557669e-08,
RW-PubMed-H0.1-LOW-LRSENS-G5-LR0p030,GraphSAGE,11,0,8,128,0,8,convs.7,2048,2048,3,1.1289873782516224e-06,1.1321011470499798e-06,3.1137687983573414e-09,0.0,0.003082331269979477,test,1.0728836059570312e-06,6.87951967393019e-07,2.1365133662243352e-08,2.1841996105397534e-06,3,2.8680760860443115,0.9560253620147705,0.09890232980251312,5.758060250826702e-09,
RW-PubMed-H0.1-LOW-LRSENS-G5-LR0p030,GraphSAGE,11,0,8,128,1,1,convs.0,2048,2048,3,0.03704103082418442,0.03857199102640152,0.001530960202217102,0.0016425251960754395,0.028364647179841995,test,0.03668785095214844,0.027829628437757492,0.012919954024255276,0.05711193282524044,128,118.92691802978516,0.9291165471076965,0.4754776656627655,6.638853665208444e-05,0.24486757657950634
RW-PubMed-H0.1-LOW-LRSENS-G5-LR0p030,GraphSAGE,11,0,8,128,1,2,convs.1,2048,2048,3,0.0012749728048220277,0.0013250468764454126,5.007407162338495e-05,5.2094459533691406e-05,0.025996936485171318,test,0.001275777816772461,0.0008205809281207621,0.0010573894251137972,0.001728707243608552,128,94.77250671386719,0.7404102087020874,0.7820489406585693,6.625973128393525e-06,0.24486757657950634
