dataset,model,graph_seed,init_seed,lr,best_epoch,best_val,test_best,source
PubMed,GraphSAGEPairNorm,1,11,0.001,40,0.6729208827018738,0.6706843972206116,lr_sensitivity
PubMed,GraphSAGEPairNorm,1,29,0.001,39,0.6708924770355225,0.6731905341148376,lr_sensitivity
PubMed,GraphSAGEPairNorm,1,47,0.001,38,0.6749492883682251,0.6729518175125122,lr_sensitivity
PubMed,GraphSAGEPairNorm,1,65,0.001,42,0.6648072600364685,0.6662688255310059,lr_sensitivity
PubMed,GraphSAGEPairNorm,1,83,0.001,42,0.6703853607177734,0.6707440614700317,lr_sensitivity
PubMed,GraphSAGE,1,11,0.001,5,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,1,29,0.001,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,1,47,0.001,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,1,65,0.001,5,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,1,83,0.001,28,0.40060850977897644,0.39966583251953125,lr_sensitivity
PubMed,GraphSAGEPairNorm,1,11,0.003,2140,0.749492883682251,0.7402589321136475,lr_sensitivity
PubMed,GraphSAGEPairNorm,1,29,0.003,2272,0.7839756608009338,0.7757025957107544,lr_sensitivity
PubMed,GraphSAGEPairNorm,1,47,0.003,2370,0.7824543714523315,0.7756429314613342,lr_sensitivity
PubMed,GraphSAGEPairNorm,1,65,0.003,2381,0.7910750508308411,0.783280611038208,lr_sensitivity
PubMed,GraphSAGEPairNorm,1,83,0.003,2280,0.790567934513092,0.7829225659370422,lr_sensitivity
PubMed,GraphSAGE,1,11,0.003,2,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,1,29,0.003,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,1,47,0.003,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,1,65,0.003,2,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,1,83,0.003,4,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGEPairNorm,1,11,0.03,1776,0.8458417654037476,0.8379378318786621,lr_sensitivity
PubMed,GraphSAGEPairNorm,1,29,0.03,2190,0.8453346490859985,0.8270183205604553,lr_sensitivity
PubMed,GraphSAGEPairNorm,1,47,0.03,2287,0.8488843441009521,0.8314934968948364,lr_sensitivity
PubMed,GraphSAGEPairNorm,1,65,0.03,1923,0.8443204760551453,0.8311355113983154,lr_sensitivity
PubMed,GraphSAGEPairNorm,1,83,0.03,487,0.8402636647224426,0.8310161232948303,lr_sensitivity
PubMed,GraphSAGE,1,11,0.03,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,1,29,0.03,2,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,1,47,0.03,19,0.40060850977897644,0.39996418356895447,lr_sensitivity
PubMed,GraphSAGE,1,65,0.03,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,1,83,0.03,2,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGEPairNorm,2,11,0.001,45,0.6754563450813293,0.6678202748298645,lr_sensitivity
PubMed,GraphSAGEPairNorm,2,29,0.001,44,0.6724137663841248,0.6693120002746582,lr_sensitivity
PubMed,GraphSAGEPairNorm,2,47,0.001,36,0.6759634613990784,0.6709230542182922,lr_sensitivity
PubMed,GraphSAGEPairNorm,2,65,0.001,43,0.6729208827018738,0.6640610694885254,lr_sensitivity
PubMed,GraphSAGEPairNorm,2,83,0.001,46,0.6744421720504761,0.6673429012298584,lr_sensitivity
PubMed,GraphSAGE,2,11,0.001,5,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,2,29,0.001,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,2,47,0.001,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
