dataset,model,graph_seed,init_seed,lr,test_best,best_val,nde,effective_rank,rank_ratio,pairwise
PubMed,GraphSAGEPairNorm,1,11,0.001,0.6706843972206116,0.6729208827018738,2.4172413714997187,5.091231346130371,0.0397752448916435,0.9648597240447998
PubMed,GraphSAGEPairNorm,1,29,0.001,0.6731905341148376,0.6708924770355225,2.3906309728981343,5.300235748291016,0.0414080917835235,0.9406650066375732
PubMed,GraphSAGEPairNorm,1,47,0.001,0.6729518175125122,0.6749492883682251,2.5018213386342727,5.237687587738037,0.0409194342792034,0.9657701253890992
PubMed,GraphSAGEPairNorm,1,65,0.001,0.6662688255310059,0.6648072600364685,2.30124740728254,5.262874126434326,0.0411162041127681,0.9647768139839172
PubMed,GraphSAGEPairNorm,1,83,0.001,0.6707440614700317,0.6703853607177734,2.529339596650064,5.559933185577393,0.0434369780123233,0.9625256061553956
PubMed,GraphSAGE,1,11,0.001,0.39936748147010803,0.3995943069458008,6.653581195477584e-18,1.0000237226486206,0.0078126853331923,-1.1920928955078125e-07
PubMed,GraphSAGE,1,29,0.001,0.39936748147010803,0.3995943069458008,2.6732144950848543e-24,1.000139594078064,0.0078135905787348,0.0
PubMed,GraphSAGE,1,47,0.001,0.39936748147010803,0.3995943069458008,4.665173452551432e-17,1.081601858139038,0.0084500145167112,1.1920928955078125e-07
PubMed,GraphSAGE,1,65,0.001,0.39936748147010803,0.3995943069458008,4.9897830455630076e-17,1.067718267440796,0.0083415489643812,0.0
PubMed,GraphSAGE,1,83,0.001,0.39966583251953125,0.40060850977897644,7.708811907818933e-17,1.0965865850448608,0.0085670826956629,-1.1920928955078125e-07
PubMed,GraphSAGEPairNorm,1,11,0.003,0.7402589321136475,0.749492883682251,2.6769171657871023,6.302028656005859,0.0492345988750457,0.9918994903564452
PubMed,GraphSAGEPairNorm,1,29,0.003,0.7757025957107544,0.7839756608009338,2.8009973993300643,4.86641263961792,0.038018848747015,0.9914816617965698
PubMed,GraphSAGEPairNorm,1,47,0.003,0.7756429314613342,0.7824543714523315,2.749062999793049,4.959653377532959,0.0387472920119762,0.9987085461616516
PubMed,GraphSAGEPairNorm,1,65,0.003,0.783280611038208,0.7910750508308411,2.8588414167476905,4.014344692230225,0.0313620679080486,0.9988482594490052
PubMed,GraphSAGEPairNorm,1,83,0.003,0.7829225659370422,0.790567934513092,2.754315759708418,4.3821539878845215,0.0342355780303478,0.9977941513061525
PubMed,GraphSAGE,1,11,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0,0.0078125,-2.384185791015625e-07
PubMed,GraphSAGE,1,29,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0000282526016235,0.0078127207234501,2.384185791015625e-07
