dataset,model,lr,graph_seed,split_idx,depth,epoch,normalized_dirichlet_energy,effective_rank,effective_rank_ratio,mean_pairwise_cosine_distance,class_separation_margin,fisher_discriminant_ratio,replicate_design
PubMed,GraphSAGEPairNorm,0.01,1,0,8,2400,2.6608776735657824,4.864399909973133,0.0380031242966651,0.9979878067970276,0.7990544438362122,1.3633626699447632,primary_lowlabel_graph_seed
PubMed,GraphSAGEPairNorm,0.01,2,0,8,2400,2.570729405403105,4.837682247161856,0.037794392555952,0.9995018243789672,0.8101151287555695,1.3723771572113037,primary_lowlabel_graph_seed
PubMed,GraphSAGEPairNorm,0.01,3,0,8,2400,2.6781061145665386,4.702069282531737,0.0367349162697792,0.9989039301872252,0.8219602108001709,1.4370580911636353,primary_lowlabel_graph_seed
PubMed,GraphSAGEPairNorm,0.01,4,0,8,2400,2.628160597193918,4.460580825805658,0.0348482877016067,0.9937527179718018,0.8420292139053345,1.5300289392471311,primary_lowlabel_graph_seed
PubMed,GraphSAGEPairNorm,0.01,5,0,8,2400,2.7197281823692023,4.573347091674803,0.0357292741537094,0.9960156083106996,0.8530500829219818,1.469085454940796,primary_lowlabel_graph_seed
PubMed,GraphSAGE,0.01,1,0,8,2400,7.0405568689725e-29,1.0,0.0078125,-1.1920928955078125e-07,0.0,1.0000284910202026,primary_lowlabel_graph_seed
PubMed,GraphSAGE,0.01,2,0,8,2400,5.0344599991917725e-30,1.0,0.0078125,0.0,0.0,0.9938088059425354,primary_lowlabel_graph_seed
PubMed,GraphSAGE,0.01,3,0,8,2400,2.107853571672265e-30,1.0,0.0078125,-1.1920928955078125e-07,0.0,0.9986990094184875,primary_lowlabel_graph_seed
PubMed,GraphSAGE,0.01,4,0,8,2400,3.3956071204810123e-32,1.0,0.0078125,1.1920928955078125e-07,0.0,1.3930493593215942,primary_lowlabel_graph_seed
PubMed,GraphSAGE,0.01,5,0,8,2400,2.5992511825413763e-25,1.0,0.0078125,1.1920928955078125e-07,0.0,0.6683328747749329,primary_lowlabel_graph_seed
Roman-Empire,GraphSAGEPairNorm,0.01,1,0,8,2400,1.694186034174807,16.34001159667968,0.12765634059906,0.9972495436668396,0.3335028290748596,0.5249108076095581,primary_lowlabel_graph_seed
Roman-Empire,GraphSAGEPairNorm,0.01,2,0,8,2400,1.636076481661422,17.1583251953125,0.1340494155883789,0.999110221862793,0.3942523002624511,0.676289975643158,primary_lowlabel_graph_seed
Roman-Empire,GraphSAGEPairNorm,0.01,3,0,8,2400,1.7566130993834712,16.89827156066894,0.1320177465677261,0.999592900276184,0.4063600897789001,0.7029653787612915,primary_lowlabel_graph_seed
Roman-Empire,GraphSAGEPairNorm,0.01,4,0,8,2400,1.6153317550361497,17.191473007202138,0.1343083828687667,0.9963369369506836,0.3522184491157532,0.4990427494049072,primary_lowlabel_graph_seed
Roman-Empire,GraphSAGEPairNorm,0.01,5,0,8,2400,1.7242543249901592,17.251056671142578,0.1347738802433014,0.9989984631538392,0.3549486994743347,0.5293055176734924,primary_lowlabel_graph_seed
Roman-Empire,GraphSAGE,0.01,1,0,8,2400,1.1610722912674152,11.410468101501465,0.0891442820429802,0.6666895151138306,0.251681387424469,0.7105368971824646,primary_lowlabel_graph_seed
Roman-Empire,GraphSAGE,0.01,2,0,8,2400,1.1354467147251517,12.60389518737792,0.09846793115139,0.7524499893188477,0.2776785790920257,0.6892148852348328,primary_lowlabel_graph_seed
Roman-Empire,GraphSAGE,0.01,3,0,8,2400,1.2843692201711596,12.005938529968256,0.093796394765377,0.8190130591392517,0.3186226487159729,0.5753939151763916,primary_lowlabel_graph_seed
Roman-Empire,GraphSAGE,0.01,4,0,8,2400,1.21075298888788,10.330709457397452,0.0807086676359176,0.7171831130981445,0.2567853033542633,0.761803388595581,primary_lowlabel_graph_seed
Roman-Empire,GraphSAGE,0.01,5,0,8,2400,1.2640686523206826,10.039431571960447,0.078433059155941,0.7989257574081421,0.3492292165756225,0.8020181655883789,primary_lowlabel_graph_seed
