dataset,model,lr,n,test_mean,nde_mean,nde_std,effective_rank_mean,rank_ratio_mean,pairwise_mean
PubMed,GraphSAGE,0.001,25,0.4050217568874359,2.919195790706194e-17,4.819431108907104e-17,1.0467935657501222,0.0081780747324227,0.0
PubMed,GraphSAGE,0.003,25,0.399367481470108,2.30185842682446e-18,1.1509292134084816e-17,1.0015569972991942,0.0078246640413999,7.152557373046876e-08
PubMed,GraphSAGE,0.01,5,0.399367481470108,5.200054001849389e-26,1.162333765265883e-25,1.0,0.0078125,0.0
PubMed,GraphSAGE,0.03,25,0.3992600798606872,7.017260236342709e-16,2.1312566231937543e-15,1.2057611417770386,0.009420008920133,3.337860107421875e-08
PubMed,GraphSAGEPairNorm,0.001,25,0.6678799319267273,2.461794122787871,0.1170945809626725,5.146209964752197,0.0402047653496264,0.9649872088432312
PubMed,GraphSAGEPairNorm,0.003,25,0.775628592967987,2.663435936864186,0.1422763097960453,4.983115215301513,0.038930587619543,0.9961246132850649
PubMed,GraphSAGEPairNorm,0.01,5,0.8348946690559387,2.6515203946197095,0.05594534287681434,4.687615871429438,0.036621998995542485,0.9972323775291443
PubMed,GraphSAGEPairNorm,0.03,25,0.8353290581703186,2.591708933469634,0.1211422089620727,5.216541576385498,0.0407542310655116,0.9949279284477234
Roman-Empire,GraphSAGE,0.001,25,0.4105694854259491,1.4669430074683942,0.183043392797614,4.830948333740235,0.0377417838573455,0.7812783217430115
Roman-Empire,GraphSAGE,0.003,25,0.4537424039840698,1.4934881935861666,0.190999651484303,7.099703140258789,0.0554664307832717,0.8155084037780762
Roman-Empire,GraphSAGE,0.01,5,0.5189222812652587,1.2111419734744577,0.06403194432257671,11.278088569641108,0.08811006695032116,0.7508522868156433
Roman-Empire,GraphSAGE,0.03,25,0.2816362947225571,0.3340499014652057,0.3545051377794495,3.456981158256531,0.0270076652988791,0.2436570811271667
Roman-Empire,GraphSAGEPairNorm,0.001,25,0.3563577795028687,1.2921792462148929,0.104963372726429,16.890949783325194,0.131960545182228,0.9873015928268432
Roman-Empire,GraphSAGEPairNorm,0.003,25,0.4529014146327972,1.4777926202454033,0.1063853756529639,18.35617774963379,0.1434076386690139,0.9981295680999756
Roman-Empire,GraphSAGEPairNorm,0.01,5,0.5556143879890442,1.6852923390492016,0.059161788660355936,16.967827606201165,0.1325611531734466,0.9982576131820678
Roman-Empire,GraphSAGEPairNorm,0.03,25,0.6062108659744263,1.745775193588988,0.077214390142119,14.322768402099609,0.1118966281414031,0.997607262134552
