dataset,model,lr,n,test_mean,nde_mean,nde_std,effective_rank_mean,rank_ratio_mean,pairwise_mean
PubMed,GraphSAGE,0.001,25,0.4050217568874359,2.919195790706194e-17,4.819431108907104e-17,1.0467935657501222,0.008178074732422784,0.0
PubMed,GraphSAGE,0.003,25,0.39936748147010803,2.30185842682446e-18,1.1509292134084816e-17,1.0015569972991942,0.007824664041399941,7.152557373046875e-08
PubMed,GraphSAGE,0.03,25,0.39926007986068723,7.01726023634271e-16,2.1312566231937543e-15,1.2057611417770386,0.009420008920133076,3.337860107421875e-08
PubMed,GraphSAGEPairNorm,0.001,25,0.6678799319267273,2.461794122787871,0.11709458096267258,5.146209964752197,0.04020476534962649,0.9649872088432312
PubMed,GraphSAGEPairNorm,0.003,25,0.775628592967987,2.663435936864186,0.14227630979604536,4.983115215301513,0.03893058761954304,0.9961246132850647
PubMed,GraphSAGEPairNorm,0.03,25,0.8353290581703186,2.591708933469634,0.12114220896207276,5.216541576385498,0.04075423106551166,0.9949279284477234
Roman-Empire,GraphSAGE,0.001,25,0.4105694854259491,1.4669430074683942,0.183043392797614,4.830948333740235,0.03774178385734554,0.7812783217430115
Roman-Empire,GraphSAGE,0.003,25,0.45374240398406984,1.4934881935861666,0.19099965148430306,7.099703140258789,0.055466430783271736,0.8155084037780762
Roman-Empire,GraphSAGE,0.03,25,0.2816362947225571,0.3340499014652057,0.3545051377794495,3.456981158256531,0.027007665298879106,0.24365708112716675
Roman-Empire,GraphSAGEPairNorm,0.001,25,0.3563577795028687,1.2921792462148929,0.10496337272642907,16.890949783325194,0.13196054518222805,0.9873015928268433
Roman-Empire,GraphSAGEPairNorm,0.003,25,0.45290141463279726,1.4777926202454033,0.10638537565296396,18.35617774963379,0.14340763866901393,0.9981295680999756
Roman-Empire,GraphSAGEPairNorm,0.03,25,0.6062108659744263,1.745775193588988,0.07721439014211903,14.322768402099609,0.11189662814140315,0.997607262134552
