dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,class_metric_scope,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,0,1,convs.0,2048,2048,3,0.8036964535713196,0.8128175139427185,0.009121060371398926,0.0509105920791626,0.0075528970919549465,test,0.8043696284294128,0.44031083583831787,0.024220380932092667,1.2849071543415111,128,117.0640869140625,0.9145631790161133,0.132085919380188,0.00012212531873956323,
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,0,2,convs.1,2048,2048,3,0.4053080081939697,0.4120860993862152,0.006778091192245483,0.012380123138427734,0.00945825595408678,test,0.405678391456604,0.125337615609169,0.005572353955358267,0.9788908257863863,128,90.64154815673828,0.7081370949745178,0.07104381173849106,2.0834702809224837e-05,
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,0,3,convs.2,2048,2048,3,0.2038387507200241,0.20522384345531464,0.0013850927352905273,0.002105712890625,0.00477350689470768,test,0.2036418318748474,0.04461696371436119,0.0025376630946993828,1.0483236620604284,128,71.01927947998047,0.5548381209373474,0.045477885752916336,5.949775186309125e-06,
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,0,4,convs.3,2048,2048,3,0.13612739741802216,0.13704663515090942,0.0009192377328872681,0.0012941360473632812,0.002682067221030593,test,0.13462167978286743,0.023610355332493782,0.0010371101088821888,1.11647276783661,128,56.72679138183594,0.44317805767059326,0.02786524035036564,1.981719378818525e-06,
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,0,5,convs.4,2048,2048,3,0.08241491764783859,0.08291144669055939,0.0004965290427207947,0.0006629228591918945,0.0013961743097752333,test,0.08225178718566895,0.012527410872280598,0.0004388935340102762,1.1741588562088856,128,47.5094108581543,0.37116727232933044,0.017566166818141937,7.020250336609024e-07,
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,0,6,convs.5,2048,2048,3,0.05284440889954567,0.05293704941868782,9.264051914215088e-05,0.0001767277717590332,0.001986946677789092,test,0.05086839199066162,0.006973969284445047,0.0002499425318092108,1.2082811824665034,128,38.60942840576172,0.3016361594200134,0.01301431655883789,3.5976091794509557e-07,
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,0,7,convs.6,2048,2048,3,0.03003573790192604,0.03012177348136902,8.60355794429779e-05,0.0001341104507446289,0.004955892451107502,test,0.030377209186553955,0.0037240933161228895,0.00013293197844177485,1.2304025402683378,128,29.57219696044922,0.23103278875350952,0.009382238611578941,1.7718957678880543e-07,
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,0,8,convs.7,2048,2048,3,0.01785747893154621,0.017892707139253616,3.522820770740509e-05,6.16312026977539e-05,0.0022860749159008265,test,0.017911553382873535,0.0019952738657593727,3.258326159993885e-06,1.212636603097386,3,2.1644668579101562,0.7214889526367188,0.0014769613044336438,1.8229420106763428e-07,
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,1,1,convs.0,2048,2048,3,0.3521311581134796,0.3561592698097229,0.004028111696243286,0.006893754005432129,0.00754703301936388,test,0.35432666540145874,0.19969262182712555,0.017846522852778435,0.5907252971836338,128,116.92718505859375,0.9134936332702637,0.1718708723783493,8.884654380381107e-05,0.2078891473072974
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,1,2,convs.1,2048,2048,3,0.05953613296151161,0.0604032427072525,0.0008671097457408905,0.0010067224502563477,0.008022087626159191,test,0.059330761432647705,0.04054287448525429,0.011102454736828804,0.3747401516982833,128,72.79444122314453,0.5687065720558167,0.16971108317375183,2.036525620496832e-05,0.2078891473072974
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,1,3,convs.2,2048,2048,3,0.020477136597037315,0.020581288263201714,0.0001041516661643982,0.00013571977615356445,0.0037800560239702463,test,0.02075183391571045,0.029237497597932816,0.021486718207597733,0.5418524848634363,128,30.86452293395996,0.2411290854215622,0.19409148395061493,2.255513572890777e-05,0.2078891473072974
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,1,4,convs.3,2048,2048,3,0.01466943509876728,0.014865719713270664,0.00019628461450338364,0.0002193450927734375,0.00888124667108059,test,0.014014959335327148,0.027935976162552834,0.018823781982064247,0.5068411923766949,128,14.1608247756958,0.11063144356012344,0.18809081614017487,1.875630914582871e-05,0.2078891473072974
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,1,5,convs.4,2048,2048,3,0.009377805516123772,0.009397042915225029,1.9237399101257324e-05,3.24249267578125e-05,0.0027727994602173567,test,0.010701954364776611,0.021179525181651115,0.022161815315485,0.5118504351318542,128,7.03323221206665,0.054947126656770706,0.20271891355514526,2.142032462870702e-05,0.2078891473072974
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,1,6,convs.5,2048,2048,3,0.01026977226138115,0.01031021773815155,4.0445476770401e-05,5.46574592590332e-05,0.00494319899007678,test,0.010751724243164062,0.02105831354856491,0.03258068114519119,0.6169158531350036,128,3.644296407699585,0.028471065685153008,0.22225219011306763,3.1964249501470476e-05,0.2078891473072974
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,1,7,convs.6,2048,2048,3,0.011284347623586655,0.011368903331458569,8.455570787191391e-05,0.00010073184967041016,0.006728197447955608,test,0.011475563049316406,0.021427089348435402,0.04080482944846153,0.6960813035368307,128,2.4784834384918213,0.019363151863217354,0.23291577398777008,4.051774158142507e-05,0.2078891473072974
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,1,8,convs.7,2048,2048,3,0.0004346364294178784,0.0004342469619587064,-3.894674591720104e-07,2.980232238769531e-07,0.00440997676923871,test,0.00042808055877685547,0.0004287949705030769,0.018855152651667595,0.968630548275015,3,1.2144149541854858,0.4048049847284953,0.13094761967658997,0.0007757664425298572,0.2078891473072974
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,2,1,convs.0,2048,2048,3,0.14450238645076752,0.14619235694408417,0.0016899704933166504,0.002173900604248047,0.00784734170883894,test,0.14150232076644897,0.08534242957830429,0.013216768391430378,0.24681900921053868,128,116.82079315185547,0.9126624464988708,0.2306279093027115,6.293479964369908e-05,0.17188248356727046
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,2,2,convs.1,2048,2048,3,0.018424129113554955,0.018640203401446342,0.00021607428789138794,0.00024712085723876953,0.005549387540668249,test,0.018551886081695557,0.022228462621569633,0.02510249614715576,0.32434217271326593,128,49.922245025634766,0.3900175392627716,0.2743362486362457,2.874435631383676e-05,0.17188248356727046
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,2,3,convs.2,2048,2048,3,0.010034811682999134,0.010064438916742802,2.9627233743667603e-05,4.4465065002441406e-05,0.002551099518314004,test,0.009893953800201416,0.019988080486655235,0.06648121029138565,0.5343534705056782,128,12.699874877929688,0.09921777248382568,0.3430982232093811,6.408024637494236e-05,0.17188248356727046
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,2,4,convs.3,2048,2048,3,0.008306659758090973,0.008361125364899635,5.4465606808662415e-05,6.657838821411133e-05,0.005956352222710848,test,0.009003996849060059,0.01689833030104637,0.08538881689310074,0.5702471677943874,128,4.685997009277344,0.03660935163497925,0.3748021721839905,8.447196159977466e-05,0.17188248356727046
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,2,5,convs.4,2048,2048,3,0.005862163845449686,0.005911138840019703,4.897499457001686e-05,5.733966827392578e-05,0.007185990456491709,test,0.005726158618927002,0.011081406846642494,0.15544170141220093,0.6473117753783493,128,2.513265371322632,0.01963488571345806,0.4712204039096832,0.0001545249979244545,0.17188248356727046
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,2,6,convs.5,2048,2048,3,0.004550175741314888,0.004559829831123352,9.65408980846405e-06,1.633167266845703e-05,0.0020802500657737255,test,0.0048370361328125,0.007954890839755535,0.3219912648200989,0.80571995081665,128,1.6609147787094116,0.012975896708667278,0.5998968482017517,0.00032732327235862613,0.17188248356727046
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,2,7,convs.6,2048,2048,3,0.003993635065853596,0.00400264747440815,9.012408554553986e-06,1.4781951904296875e-05,0.00498611805960536,test,0.004008591175079346,0.006172066554427147,0.5269959568977356,0.8583421515042667,128,1.4357988834381104,0.011217178776860237,0.7392059564590454,0.0005493100616149604,0.17188248356727046
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,2,8,convs.7,2048,2048,3,9.932593093253672e-05,9.96613671304658e-05,3.354361979290843e-07,4.76837158203125e-07,0.007080275099724531,test,9.930133819580078e-05,8.780562347965315e-05,0.3951514959335327,1.1084416758053937,3,1.0800421237945557,0.36001404126485187,0.5511837005615234,0.017574649304151535,0.17188248356727046
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,4,1,convs.0,2048,2048,3,0.05289583280682564,0.053447067737579346,0.0005512349307537079,0.0006600022315979004,0.007789795286953449,test,0.050708115100860596,0.03981362283229828,0.006020159460604191,0.0875619968647207,128,116.53254699707031,0.9104105234146118,0.26211240887641907,2.8164915420347825e-05,0.25938659617366533
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,4,2,convs.1,2048,2048,3,0.010329906828701496,0.010515573434531689,0.00018566660583019257,0.0002015233039855957,0.011542781256139278,test,0.009645164012908936,0.022467613220214844,0.01205294206738472,0.1533881884765324,128,36.85322570800781,0.28791582584381104,0.27906692028045654,1.2170961781521328e-05,0.25938659617366533
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,4,3,convs.2,2048,2048,3,0.009334037080407143,0.009424608200788498,9.057112038135529e-05,0.00010472536087036133,0.007575131952762604,test,0.009906947612762451,0.027202775701880455,0.0235322006046772,0.22905646335445853,128,8.198380470275879,0.0640498474240303,0.3180638551712036,2.156499795091804e-05,0.25938659617366533
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,4,4,convs.3,2048,2048,3,0.009677027352154255,0.009742134250700474,6.510689854621887e-05,7.94529914855957e-05,0.005077751353383064,test,0.010072529315948486,0.027460606768727303,0.03132544457912445,0.2862198163941979,128,3.1033732891082764,0.02424510382115841,0.3272521495819092,2.907086309278384e-05,0.25938659617366533
RW-PubMed-H0.1-LOW,GCN,1,0,8,128,4,5,convs.4,2048,2048,3,0.009218969382345676,0.009236181154847145,1.721177250146866e-05,3.0517578125e-05,0.0019881082698702812,test,0.009890377521514893,0.022790510207414627,0.05788447707891464,0.33140975956216556,128,2.0121734142303467,0.015720104798674583,0.41187742352485657,5.4643584007862955e-05,0.25938659617366533
