dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,class_metric_scope,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,5,0,2,128,0,1,convs.0,2048,2048,3,0.20429228246212006,0.20961502194404602,0.005322739481925964,0.006983578205108643,0.017696721479296684,test,0.2033175230026245,0.1569281667470932,0.03120146133005619,0.31048625573210714,128,121.29468536376953,0.9476147294044495,0.3163315951824188,0.00016649399185553193,
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,5,0,2,128,0,2,pns.0,2048,2048,3,0.9815858006477356,1.0084959268569946,0.026910126209259033,1.440773844718933,0.017600243911147118,test,0.9998945593833923,0.9441960453987122,1.4633986949920654,1.4640852188120124,128,121.42830657958984,0.9486586451530457,0.9687797427177429,0.007808835711330175,
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,5,0,2,128,0,3,convs.1,2048,2048,3,0.3260729908943176,0.3309978246688843,0.00492483377456665,0.00798875093460083,0.012520015239715576,test,0.32673180103302,0.19735977053642273,0.005151988472789526,0.4504414352618614,3,2.988640069961548,0.9962133566538492,0.10145403444766998,0.0014200471341609955,
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,5,0,2,128,1,1,convs.0,2048,2048,3,0.3710181415081024,0.4476431906223297,0.0766250491142273,0.12248671054840088,0.13541856408119202,test,0.4137834906578064,0.3739307224750519,0.05131479725241661,0.722739504106873,128,114.2799072265625,0.8928117752075195,0.26443976163864136,0.0002414757473161444,0.2071576598504787
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,5,0,2,128,1,2,pns.0,2048,2048,3,0.879641592502594,1.057862639427185,0.17822104692459106,1.488814115524292,0.13323912024497986,test,0.9991199970245361,1.0251113176345825,1.6596580743789673,1.6601950060190356,128,114.38802337646484,0.8936564326286316,0.9682238101959229,0.007809973321855068,0.2071576598504787
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,5,0,2,128,1,3,convs.1,2048,2048,3,0.4535409212112427,0.741037905216217,0.28749698400497437,0.4706217050552368,0.5742479562759399,test,0.585230827331543,0.7030690312385559,0.06365738064050674,1.197620220222423,3,2.6276931762695312,0.8758977254231771,0.21113373339176178,0.010455894283950329,0.2071576598504787
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,5,0,2,128,2,1,convs.0,2048,2048,3,0.5495519638061523,0.7702378034591675,0.22068583965301514,0.49105703830718994,0.27345308661460876,test,0.696967363357544,0.7366108894348145,0.08973795920610428,1.3990400117829302,128,105.05066680908203,0.8207083344459534,0.2473156601190567,0.0003667945566121489,0.18463122880160585
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,5,0,2,128,2,2,pns.0,2048,2048,3,0.7812356352806091,1.10398530960083,0.32274967432022095,1.490103840827942,0.28423064947128296,test,0.9995208382606506,1.0969148874282837,1.9109567403793335,1.9113637985499035,128,104.66651153564453,0.8177071213722229,0.9601308107376099,0.007810835726559162,0.18463122880160585
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,5,0,2,128,2,3,convs.1,2048,2048,3,0.4395350217819214,0.7171449065208435,0.2776098847389221,0.36133766174316406,0.660234272480011,test,0.5417964458465576,0.7167974710464478,0.18985538184642792,1.29025355179813,3,2.4170889854431152,0.8056963284810384,0.34680813550949097,0.028404850512742996,0.18463122880160585
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,5,0,2,128,4,1,convs.0,2048,2048,3,0.5707146525382996,0.9801210761070251,0.4094064235687256,0.9586740136146545,0.4964143931865692,test,0.846686601638794,0.9812420010566711,0.17538660764694214,1.9166051748845823,128,91.6064224243164,0.7156751751899719,0.28992924094200134,0.0006273502949625254,0.1941306687062571
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,5,0,2,128,4,2,pns.0,2048,2048,3,0.6762691736221313,1.154919981956482,0.4786508083343506,1.4907805919647217,0.4930787980556488,test,0.9989407658576965,1.1524838209152222,2.183847427368164,2.184119120633886,128,91.35472106933594,0.713708758354187,0.9479627013206482,0.0078115276992321014,0.1941306687062571
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,5,0,2,128,4,3,convs.1,2048,2048,3,0.4329615831375122,0.7386344075202942,0.305672824382782,0.4092292785644531,0.6988145709037781,test,0.5384913682937622,0.7415393590927124,0.6217765808105469,1.4613426791903503,3,2.2391092777252197,0.7463697592417399,0.5810141563415527,0.08507635444402695,0.1941306687062571
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,5,0,2,128,8,1,convs.0,2048,2048,3,0.5151301026344299,0.9709851145744324,0.45585501194000244,0.945493221282959,0.6276469230651855,test,0.8217290639877319,0.970882773399353,0.28054407238960266,1.9718428666857004,128,79.54407501220703,0.6214380860328674,0.36142396926879883,0.00095381896244362,0.17420532556793253
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,5,0,2,128,8,2,pns.0,2048,2048,3,0.6279887557029724,1.1781541109085083,0.5501653552055359,1.4926388263702393,0.6376785039901733,test,0.9987518191337585,1.1659290790557861,2.2976808547973633,2.2978686319526678,128,79.96357727050781,0.6247154474258423,0.9442674517631531,0.007811862044036388,0.17420532556793253
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,5,0,2,128,8,3,convs.1,2048,2048,3,0.4510591924190521,0.8636448383331299,0.41258564591407776,0.7335513830184937,0.892233669757843,test,0.6725760698318481,0.9034046530723572,2.095669746398926,1.807936624654001,3,2.200944185256958,0.7336480617523193,0.9509667158126831,0.26475822925567627,0.17420532556793253
