dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,class_metric_scope,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
RW-PubMed-H0.1-LOW,GraphSAGE,2,0,7,128,0,1,convs.0,2048,2048,3,0.19559895992279053,0.2012864202260971,0.00568746030330658,0.0073430538177490234,0.019640715792775154,test,0.1965475082397461,0.14906829595565796,0.031713299453258514,0.29620748184875506,128,121.00584411621094,0.945358157157898,0.32658708095550537,0.00016934530867729336,
RW-PubMed-H0.1-LOW,GraphSAGE,2,0,7,128,0,2,convs.1,2048,2048,3,0.012793328613042831,0.013056319206953049,0.0002629905939102173,0.00028514862060546875,0.014729032292962074,test,0.012835144996643066,0.008155726827681065,0.005395735614001751,0.01641565716814596,128,101.43586730957031,0.7924677133560181,0.5732758045196533,3.312318222015165e-05,
RW-PubMed-H0.1-LOW,GraphSAGE,2,0,7,128,0,3,convs.2,2048,2048,3,0.001963411457836628,0.002005143789574504,4.173233173787594e-05,4.482269287109375e-05,0.015136311762034893,test,0.0019751787185668945,0.001182497595436871,0.0011079312535002828,0.0023815148386789075,128,86.15082550048828,0.6730533242225647,0.6820654273033142,7.3031951615121216e-06,
RW-PubMed-H0.1-LOW,GraphSAGE,2,0,7,128,0,4,convs.3,2048,2048,3,0.00041009439155459404,0.00041775841964408755,7.664028089493513e-06,8.404254913330078e-06,0.013671952299773693,test,0.00041538476943969727,0.0002300145133631304,0.00024359718372579664,0.00046239999261851446,128,77.9420166015625,0.608922004699707,0.7258161902427673,1.7142048136520316e-06,
RW-PubMed-H0.1-LOW,GraphSAGE,2,0,7,128,0,5,convs.4,2048,2048,3,7.926789839984849e-05,8.053243072936311e-05,1.2645323295146227e-06,1.2516975402832031e-06,0.011558844707906246,test,7.95125961303711e-05,4.371749673737213e-05,5.346297621144913e-05,8.830823490945577e-05,128,68.21050262451172,0.5328945517539978,0.7780827283859253,3.808033284258272e-07,
RW-PubMed-H0.1-LOW,GraphSAGE,2,0,7,128,0,6,convs.5,2048,2048,3,2.1216463210294023e-05,2.1633104552165605e-05,4.1664134187158197e-07,4.76837158203125e-07,0.013963381759822369,test,2.1398067474365234e-05,1.1576978067751043e-05,1.3494194718077779e-05,2.3414699431617387e-05,128,62.892417907714844,0.4913470149040222,0.7591526508331299,9.764977448867285e-08,
RW-PubMed-H0.1-LOW,GraphSAGE,2,0,7,128,0,7,convs.6,2048,2048,3,2.9220414035080466e-06,2.9940065360278822e-06,7.19651325198356e-08,0.0,0.012211577966809273,test,2.9802322387695312e-06,1.9027696680495865e-06,9.79990133487263e-08,5.4198488592845155e-06,3,2.9347429275512695,0.9782476425170898,0.13446739315986633,2.749775873667204e-08,
RW-PubMed-H0.1-LOW,GraphSAGE,2,0,7,128,1,1,convs.0,2048,2048,3,0.11649768799543381,0.12085596472024918,0.004358276724815369,0.005083680152893066,0.02514481358230114,test,0.11542177200317383,0.08855225145816803,0.01691862940788269,0.17878059975640653,128,120.31295013427734,0.9399449229240417,0.3073412775993347,8.858853834681213e-05,0.24225288644043919
RW-PubMed-H0.1-LOW,GraphSAGE,2,0,7,128,1,2,convs.1,2048,2048,3,0.005088746082037687,0.005265558138489723,0.0001768120564520359,0.00018513202667236328,0.02397160232067108,test,0.00514674186706543,0.0033239000476896763,0.002376489108428359,0.0067164384978365774,128,96.24402618408203,0.7519064545631409,0.5948185324668884,1.426320341124665e-05,0.24225288644043919
RW-PubMed-H0.1-LOW,GraphSAGE,2,0,7,128,1,3,convs.2,2048,2048,3,0.0004976641503162682,0.0005175514961592853,1.98873458430171e-05,2.0623207092285156e-05,0.027312051504850388,test,0.0005087852478027344,0.00030762204551137984,0.0004283119924366474,0.0006250556968414775,128,79.90027618408203,0.6242209076881409,0.8277855515480042,2.7636058348434744e-06,0.24225288644043919
RW-PubMed-H0.1-LOW,GraphSAGE,2,0,7,128,1,4,convs.3,2048,2048,3,5.145762042957358e-05,5.374000102165155e-05,2.2823805920779705e-06,2.205371856689453e-06,0.02889103628695011,test,5.14984130859375e-05,2.968420449178666e-05,7.880702469265088e-05,6.151197943211869e-05,128,66.61048889160156,0.5203944444656372,1.1318837404251099,5.482964979819371e-07,0.24225288644043919
RW-PubMed-H0.1-LOW,GraphSAGE,2,0,7,128,1,5,convs.4,2048,2048,3,5.808463356515858e-06,6.065278284950182e-06,2.568149284343235e-07,1.1920928955078125e-07,0.02513398602604866,test,5.543231964111328e-06,3.214440312149236e-06,1.554208211018704e-05,7.027561662970522e-06,128,56.72649383544922,0.443175733089447,1.4871405363082886,1.227477355314477e-07,0.24225288644043919
RW-PubMed-H0.1-LOW,GraphSAGE,2,0,7,128,1,6,convs.5,2048,2048,3,7.427572654705727e-07,7.695996373513481e-07,2.6842371880775318e-08,0.0,0.013952185399830341,test,7.152557373046875e-07,4.0148819380192435e-07,4.594229721988086e-06,1.0465580985988924e-06,128,48.36003875732422,0.37781280279159546,2.0951955318450928,4.791467489440038e-08,0.24225288644043919
RW-PubMed-H0.1-LOW,GraphSAGE,2,0,7,128,1,7,convs.6,2048,2048,3,1.912611757859395e-08,2.0011261980812378e-08,8.851444022184296e-10,0.0,0.003960245754569769,test,0.0,1.425837137247754e-08,2.0995103966470197e-07,2.1058631757404388e-07,3,1.829329013824463,0.6097763379414877,0.9984901547431946,1.8351896358126396e-07,0.24225288644043919
RW-PubMed-H0.1-LOW,GraphSAGE,2,0,7,128,2,1,convs.0,2048,2048,3,0.07572272419929504,0.08041886240243912,0.0046961382031440735,0.00518953800201416,0.04162461683154106,test,0.07769143581390381,0.059564340859651566,0.009778699837625027,0.12341233456788776,128,116.65174102783203,0.9113417267799377,0.2812216281890869,4.983189865015447e-05,0.4554076426624028
RW-PubMed-H0.1-LOW,GraphSAGE,2,0,7,128,2,2,convs.1,2048,2048,3,0.0035020108334720135,0.003758383449167013,0.0002563726156949997,0.00026226043701171875,0.04987556114792824,test,0.0036487579345703125,0.0024277325719594955,0.0010413668351247907,0.0048901231339706554,128,84.07383728027344,0.6568268537521362,0.46146246790885925,6.118879355199169e-06,0.4554076426624028
RW-PubMed-H0.1-LOW,GraphSAGE,2,0,7,128,2,3,convs.2,2048,2048,3,0.0003705401613842696,0.00040231537423096597,3.177521284669638e-05,3.24249267578125e-05,0.057707708328962326,test,0.00039064884185791016,0.00024627192760817707,0.00018069331417791545,0.0004990010634579624,128,62.664283752441406,0.4895647168159485,0.6017536520957947,1.1296538104943465e-06,0.4554076426624028
RW-PubMed-H0.1-LOW,GraphSAGE,2,0,7,128,2,4,convs.3,2048,2048,3,3.83213373424951e-05,4.250178608344868e-05,4.1804487409535795e-06,4.112720489501953e-06,0.07295417040586472,test,4.166364669799805e-05,2.521785063436255e-05,2.7943189707002603e-05,5.099627166956083e-05,128,51.88084030151367,0.40531906485557556,0.740233302116394,1.765285446708731e-07,0.4554076426624028
RW-PubMed-H0.1-LOW,GraphSAGE,2,0,7,128,2,5,convs.4,2048,2048,3,5.0710832510958426e-06,5.785197572549805e-06,7.141143214539625e-07,5.960464477539062e-07,0.09304157644510269,test,5.364418029785156e-06,3.5392106383369537e-06,4.79963318866794e-06,7.166714717447245e-06,128,41.84636688232422,0.32692474126815796,0.8183591365814209,2.9464992223893205e-08,0.4554076426624028
RW-PubMed-H0.1-LOW,GraphSAGE,2,0,7,128,2,6,convs.5,2048,2048,3,7.104657129275438e-07,8.140408453982673e-07,1.0357513247072347e-07,0.0,0.09615636616945267,test,7.152557373046875e-07,5.311408131092321e-07,1.0513974757486722e-06,1.0769976176882373e-06,128,40.49087142944336,0.31633493304252625,0.9880435466766357,5.998526120265524e-09,0.4554076426624028
