dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,class_metric_scope,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
RW-PubMed-H0.9-LOW,GCNPairNorm,3,0,2,128,0,1,convs.0,2048,2048,3,0.8279167413711548,0.8925562500953674,0.06463950872421265,0.36759883165359497,0.04842187091708183,test,0.8670168519020081,0.32462701201438904,0.039650097489356995,1.6673027177673494,128,113.15875244140625,0.8840527534484863,0.1445065587759018,0.00016428023809567094,
RW-PubMed-H0.9-LOW,GCNPairNorm,3,0,2,128,0,2,pns.0,2048,2048,3,0.9459769129753113,1.0233322381973267,0.07735532522201538,1.4365917444229126,0.05168554186820984,test,0.9968642592430115,0.45219936966896057,1.8847012519836426,1.8855975652088248,128,112.65628051757812,0.8801271915435791,0.9351416230201721,0.007808786816895008,
RW-PubMed-H0.9-LOW,GCNPairNorm,3,0,2,128,0,3,convs.1,2048,2048,3,0.5476330518722534,0.5756380558013916,0.028005003929138184,0.010620415210723877,0.0232261810451746,test,0.5308895111083984,0.17781701683998108,0.012304726988077164,1.0103709062488888,3,2.9832775592803955,0.9944258530934652,0.0984811782836914,0.0023360305931419134,
RW-PubMed-H0.9-LOW,GCNPairNorm,3,0,2,128,1,1,convs.0,2048,2048,3,0.70540452003479,0.8717363476753235,0.16633182764053345,0.552415668964386,0.14138053357601166,test,0.8091374635696411,0.2596589922904968,0.05219157412648201,1.7033040166288338,128,107.31238555908203,0.8383780121803284,0.16404223442077637,0.00020163314184173942,0.1987047858361265
RW-PubMed-H0.9-LOW,GCNPairNorm,3,0,2,128,1,2,pns.0,2048,2048,3,0.8636670112609863,1.0598061084747314,0.19613909721374512,1.463139295578003,0.14692643284797668,test,0.9966943860054016,0.37977951765060425,2.021437168121338,2.0222203962883403,128,108.02812957763672,0.8439697623252869,0.9270356297492981,0.007809474132955074,0.1987047858361265
RW-PubMed-H0.9-LOW,GCNPairNorm,3,0,2,128,1,3,convs.1,2048,2048,3,0.41874831914901733,1.1954602003097534,0.7767118811607361,1.3289868831634521,0.810896635055542,test,0.8371129631996155,0.08749677240848541,0.11181289702653885,1.072038275792063,3,2.519871950149536,0.8399573167165121,0.2825790047645569,0.02923106960952282,0.1987047858361265
RW-PubMed-H0.9-LOW,GCNPairNorm,3,0,2,128,2,1,convs.0,2048,2048,3,0.5904615521430969,0.8867036700248718,0.2962421178817749,0.7231894135475159,0.30168306827545166,test,0.7564324140548706,0.20528393983840942,0.07733330875635147,1.7536689642017225,128,98.95597839355469,0.773093581199646,0.19597111642360687,0.00027643790235742927,0.17095032857828577
RW-PubMed-H0.9-LOW,GCNPairNorm,3,0,2,128,2,2,pns.0,2048,2048,3,0.7586191296577454,1.1089651584625244,0.35034602880477905,1.4795093536376953,0.308580607175827,test,0.9948249459266663,0.31145334243774414,2.1849241256713867,2.185541076811539,128,98.51483154296875,0.7696471214294434,0.9117681384086609,0.007810294162482023,0.17095032857828577
RW-PubMed-H0.9-LOW,GCNPairNorm,3,0,2,128,2,3,convs.1,2048,2048,3,0.3745564818382263,1.2554301023483276,0.8808736205101013,1.3984949588775635,1.030153512954712,test,0.8749992847442627,0.07815533876419067,0.25934863090515137,0.9980758275564386,3,2.3661019802093506,0.7887006600697836,0.4499319791793823,0.07492655515670776,0.17095032857828577
RW-PubMed-H0.9-LOW,GCNPairNorm,3,0,2,128,4,1,convs.0,2048,2048,3,0.43243470788002014,0.8473361134529114,0.41490140557289124,0.7271884679794312,0.520835816860199,test,0.6851805448532104,0.12619444727897644,0.15559503436088562,1.9875182978517671,128,84.34403228759766,0.6589377522468567,0.25513264536857605,0.00045485160080716014,0.15271973788268828
RW-PubMed-H0.9-LOW,GCNPairNorm,3,0,2,128,4,2,pns.0,2048,2048,3,0.6366490125656128,1.1627650260925293,0.5261160135269165,1.4723877906799316,0.5146136283874512,test,0.9908226728439331,0.2955649197101593,2.6720306873321533,2.6724897691914324,128,84.5745620727539,0.6607387661933899,0.8850773572921753,0.007811158429831266,0.15271973788268828
RW-PubMed-H0.9-LOW,GCNPairNorm,3,0,2,128,4,3,convs.1,2048,2048,3,0.3447514474391937,1.2606604099273682,0.9159089624881744,1.4054874181747437,1.1175024509429932,test,0.888476550579071,0.06979426741600037,0.5153660774230957,0.9065115723648005,3,2.256086587905884,0.7520288626352946,0.6722230911254883,0.1614164113998413,0.15271973788268828
