dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,class_metric_scope,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,0,1,convs.0,2048,2048,18,0.46284350752830505,0.5537950992584229,0.0909515917301178,0.1646655797958374,0.2049415111541748,test,0.5654041171073914,0.4873802959918976,0.8089048862457275,1.129572406787736,128,98.98821258544922,0.773345410823822,0.7960903644561768,0.003626687917858362,
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,0,2,convs.1,2048,2048,18,0.10139520466327667,0.11670318245887756,0.015307977795600891,0.017950117588043213,0.14752961695194244,test,0.12373745441436768,0.10021105408668518,0.1403224766254425,0.22791152207499715,128,94.05313873291016,0.7347901463508606,0.7789400815963745,0.0006939156446605921,
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,0,3,convs.2,2048,2048,18,0.030176104977726936,0.03408319130539894,0.003907086327672005,0.004298150539398193,0.12858380377292633,test,0.037323713302612305,0.027415847405791283,0.033787328749895096,0.05844873807105877,128,86.03324890136719,0.6721347570419312,0.7594459056854248,0.00018458686827216297,
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,0,4,convs.3,2048,2048,18,0.009274156764149666,0.010219321586191654,0.0009451648220419884,0.0010355114936828613,0.10508999973535538,test,0.011178731918334961,0.006964913569390774,0.007591191679239273,0.01426372683821269,128,79.52742767333984,0.6213080286979675,0.7294357419013977,4.713743692263961e-05,
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,0,5,convs.4,2048,2048,18,0.0020110937766730785,0.0021906537003815174,0.00017955992370843887,0.0001977682113647461,0.09415186941623688,test,0.0022830963134765625,0.0013041808269917965,0.00023997115204110742,0.0027216747034463575,18,16.162879943847656,0.8979377746582031,0.2969158887863159,1.2076928214810323e-05,
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,1,1,convs.0,2048,2048,18,0.30442941188812256,0.3744804263114929,0.07005101442337036,0.10002505779266357,0.2835642993450165,test,0.37818920612335205,0.3233472406864166,1.1169244050979614,0.8115552439644231,128,87.89600372314453,0.6866875290870667,1.08958899974823,0.00522041879594326,0.27309940704525987
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,1,2,convs.1,2048,2048,18,0.05111240968108177,0.06315967440605164,0.012047264724969864,0.01316535472869873,0.2634151577949524,test,0.06881827116012573,0.051206547766923904,0.2950693964958191,0.1479491126895985,128,68.68928527832031,0.5366350412368774,1.37309992313385,0.0019298952538520098,0.27309940704525987
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,1,3,convs.2,2048,2048,18,0.008898761123418808,0.0109062185510993,0.0020074574276804924,0.002103090286254883,0.2246149778366089,test,0.012080848217010498,0.00713316909968853,0.09986178576946259,0.025483965631961154,128,44.72261047363281,0.34939539432525635,1.9511443376541138,0.0012474231189116836,0.27309940704525987
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,1,4,convs.3,2048,2048,18,0.001730294548906386,0.00213193753734231,0.00040164298843592405,0.0004175901412963867,0.2320677638053894,test,0.0023482441902160645,0.0009273953619413078,0.06589077413082123,0.007843751866100757,128,20.102304458618164,0.1570492535829544,2.864485263824463,0.0016772137023508549,0.27309940704525987
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,1,5,convs.4,2048,2048,18,0.0003384267329238355,0.000403115147491917,6.46884145680815e-05,6.771087646484375e-05,0.19379262626171112,test,0.0004392862319946289,0.0001041177602019161,0.02060321345925331,0.005036642929606012,18,2.432002067565918,0.13511122597588432,1.999178171157837,0.0053208936005830765,0.27309940704525987
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,2,1,convs.0,2048,2048,18,0.21053852140903473,0.2634175717830658,0.05287905037403107,0.06793498992919922,0.3564970791339874,test,0.25684165954589844,0.22346621751785278,1.9209506511688232,0.6434255256638274,128,72.92962646484375,0.5697627067565918,1.5530961751937866,0.00967231672257185,0.3584272359430847
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,2,2,convs.1,2048,2048,18,0.020062332972884178,0.02588258869946003,0.0058202557265758514,0.006112277507781982,0.4144710600376129,test,0.026343226432800293,0.020122110843658447,1.280086636543274,0.11182820462106476,128,38.272743225097656,0.29900580644607544,3.1500816345214844,0.014092291705310345,0.3584272359430847
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,2,3,convs.2,2048,2048,18,0.0021220354828983545,0.002730300650000572,0.0006082651671022177,0.0006276965141296387,0.3411286473274231,test,0.003010571002960205,0.0018067380879074335,1.9720003604888916,0.03560680697663222,128,9.787471771240234,0.07646462321281433,7.065769672393799,0.04384296387434006,0.3584272359430847
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,2,4,convs.3,2048,2048,18,0.00028740361449308693,0.0003739378589671105,8.653424447402358e-05,8.90493392944336e-05,0.33597224950790405,test,0.00038677453994750977,0.00019008672097697854,6.391670227050781,0.02114489427565482,128,2.8062288761138916,0.021923663094639778,16.631961822509766,0.2013133466243744,0.3584272359430847
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,2,5,convs.4,2048,2048,18,5.1743019866989926e-05,6.549884710693732e-05,1.3755827239947394e-05,1.424551010131836e-05,0.3070203363895416,test,7.015466690063477e-05,2.6848209017771296e-05,5.5045623779296875,0.015956042252924324,18,1.2559800148010254,0.06977666748894586,17.84186553955078,1.4818353652954102,0.3584272359430847
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,4,1,convs.0,2048,2048,18,0.18794389069080353,0.23705819249153137,0.049114301800727844,0.06108289957046509,0.33452942967414856,test,0.24783551692962646,0.19732317328453064,1.681907296180725,0.5830407563099524,128,72.87129974365234,0.5693070292472839,1.559207797050476,0.008687352761626244,0.5949563344410839
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,4,2,convs.1,2048,2048,18,0.07174406200647354,0.09396234154701233,0.022218279540538788,0.024508774280548096,0.3900902569293976,test,0.09644734859466553,0.055246785283088684,0.3920291066169739,0.21898076790796756,128,44.20891189575195,0.34538212418556213,1.2231682538986206,0.0034939302131533623,0.5949563344410839
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,4,3,convs.2,2048,2048,18,0.012791280634701252,0.017170235514640808,0.004378954879939556,0.0045462846755981445,0.39214757084846497,test,0.018516182899475098,0.008157540112733841,0.10508907586336136,0.03997249754465642,128,27.335247039794922,0.21355661749839783,1.5719469785690308,0.0016208088491111994,0.5949563344410839
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,4,4,convs.3,2048,2048,18,0.0023940387181937695,0.003183361142873764,0.0007893224246799946,0.0008109807968139648,0.35420024394989014,test,0.0036422014236450195,0.000998058938421309,0.05725670978426933,0.01099662438218638,128,12.507721900939941,0.09771657735109329,2.2430038452148438,0.00152574700769037,0.5949563344410839
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,4,5,convs.4,2048,2048,18,0.001311822677962482,0.001687713898718357,0.0003758912207558751,0.00038754940032958984,0.2783580422401428,test,0.002079308032989502,0.0003786692686844617,0.005524942185729742,0.006292993739841444,18,2.771406412124634,0.153967022895813,0.9247307777404785,0.0013729352504014969,0.5949563344410839
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,8,1,convs.0,2048,2048,18,0.0866306945681572,0.1112489104270935,0.02461821585893631,0.0273323655128479,0.3597436845302582,test,0.11471253633499146,0.08453818410634995,2.2253258228302,0.29943391846454837,128,60.381324768066406,0.4717290997505188,2.5364956855773926,0.014035485684871674,0.2419728847083443
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,8,2,convs.1,2048,2048,18,0.06828878819942474,0.0884561687707901,0.020167380571365356,0.022176265716552734,0.22056661546230316,test,0.09892374277114868,0.05383601784706116,0.13696648180484772,0.21615816223872764,128,33.231544494628906,0.25962144136428833,0.7506147027015686,0.001129200798459351,0.2419728847083443
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,8,3,convs.2,2048,2048,18,0.008097099140286446,0.011002961546182632,0.002905862405896187,0.0029966235160827637,0.37499815225601196,test,0.011563777923583984,0.004609919153153896,0.011244237422943115,0.011353358050525503,128,33.490760803222656,0.261646568775177,0.9923521280288696,0.00012776856601703912,0.2419728847083443
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,8,4,convs.3,2048,2048,18,0.0005772706936113536,0.0007175058126449585,0.00014023511903360486,0.00014531612396240234,0.23473882675170898,test,0.0007627010345458984,0.0002878398518078029,0.0013510796707123518,0.0007831715822923975,128,30.300640106201172,0.23672375082969666,1.3130689859390259,1.818880446080584e-05,0.2419728847083443
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,8,5,convs.4,2048,2048,18,7.204324356280267e-05,9.048262290889397e-05,1.84393793460913e-05,1.895427703857422e-05,0.26309463381767273,test,0.00010126829147338867,3.75216368411202e-05,3.6087734770262614e-05,0.0001023607178723649,18,9.836989402770996,0.5464994112650553,0.593732476234436,3.998149622930214e-06,0.2419728847083443
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,16,1,convs.0,2048,2048,18,0.047746237367391586,0.061211854219436646,0.01346561685204506,0.014458537101745605,0.34510868787765503,test,0.07391512393951416,0.050810251384973526,3.379303455352783,0.2242784834322403,128,48.41791915893555,0.37826499342918396,3.6104557514190674,0.023626791313290596,0.4859995143500034
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,16,2,convs.1,2048,2048,18,0.04350791871547699,0.06272967159748077,0.019221752882003784,0.02038252353668213,0.2486225813627243,test,0.06408601999282837,0.032178398221731186,0.11625082790851593,0.13340533022066922,128,21.38448143005371,0.16706626117229462,0.8970097899436951,0.0010215196525678039,0.4859995143500034
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,16,3,convs.2,2048,2048,18,0.0066611613146960735,0.009051059372723103,0.002389898058027029,0.0024613142013549805,0.3638339042663574,test,0.010133087635040283,0.002449536230415106,0.026728440076112747,0.015313437542024728,128,11.465461730957031,0.0895739197731018,1.3069508075714111,0.00043377114343456924,0.4859995143500034
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,16,4,convs.3,2048,2048,18,0.0011522818822413683,0.0015605767257511616,0.0004082948435097933,0.0004184842109680176,0.31282731890678406,test,0.0017284154891967773,0.0002846204733941704,0.13769133388996124,0.008720869457162982,128,2.61244797706604,0.020409749820828438,3.9199156761169434,0.0035256328992545605,0.4859995143500034
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,16,5,convs.4,2048,2048,18,0.00025305349845439196,0.0003331490734126419,8.009557495824993e-05,8.225440979003906e-05,0.288519948720932,test,0.000385284423828125,4.832409831578843e-05,0.07440728694200516,0.0040399616803566026,18,1.4576759338378906,0.08098199632432726,4.257177829742432,0.016740793362259865,0.4859995143500034
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,32,1,convs.0,2048,2048,18,0.06331907957792282,0.09502064436674118,0.03170156478881836,0.034458935260772705,0.5061179399490356,test,0.1124071478843689,0.08145421743392944,6.349213600158691,0.32651666474414354,128,36.833126068115234,0.28775879740715027,4.075900554656982,0.03914949297904968,0.4019001456330042
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,32,2,convs.1,2048,2048,18,0.26043254137039185,0.4549199938774109,0.19448745250701904,0.24534696340560913,1.0108543634414673,test,0.5015188455581665,0.27224743366241455,5.541893005371094,1.1189592291382107,128,8.151531219482422,0.06368383765220642,1.697595238685608,0.028994379565119743,0.4019001456330042
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,32,3,convs.2,2048,2048,18,0.16315148770809174,0.3081340193748474,0.14498253166675568,0.17248374223709106,0.8361703157424927,test,0.41670095920562744,0.3384406268596649,23.363487243652344,1.4783506678812064,128,4.30825138092041,0.033658213913440704,3.00193190574646,0.09217207133769989,0.4019001456330042
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,32,4,convs.3,2048,2048,18,0.23557338118553162,0.37607628107070923,0.1405028998851776,0.17270034551620483,0.9889985918998718,test,0.4043888449668884,0.262660413980484,96.53321075439453,1.1942195016195316,128,2.837847948074341,0.022170687094330788,5.906413555145264,0.4501838684082031,0.4019001456330042
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,32,5,convs.4,2048,2048,18,0.12711173295974731,0.19775395095348358,0.07064221799373627,0.07935458421707153,0.7392218708992004,test,0.22259581089019775,0.10227207839488983,59.30828094482422,0.6411014932455797,18,2.3946239948272705,0.13303466637929282,6.803018569946289,2.974137783050537,0.4019001456330042
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,50,1,convs.0,2048,2048,18,0.0852547436952591,0.132123202085495,0.0468684583902359,0.05183219909667969,0.5078892111778259,test,0.1520298719406128,0.11346759647130966,6.036371231079102,0.36100562885510873,128,35.95159912109375,0.2808718681335449,3.785710334777832,0.03654269874095917,0.4396232345277605
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,50,2,convs.1,2048,2048,18,0.24290521442890167,0.5025660395622253,0.25966082513332367,0.3251606225967407,1.3210150003433228,test,0.5751118659973145,0.41521140933036804,3.7402610778808594,1.1435368427774173,128,12.60761547088623,0.09849699586629868,1.5366369485855103,0.019640441983938217,0.4396232345277605
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,50,3,convs.2,2048,2048,18,0.2503429055213928,0.5071206092834473,0.25677770376205444,0.3185950517654419,1.5611475706100464,test,0.5500642657279968,0.33762502670288086,18.482934951782227,1.0609517446878953,128,5.963186264038086,0.046587392687797546,3.396489381790161,0.10004299879074097,0.4396232345277605
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,50,4,convs.3,2048,2048,18,0.33669930696487427,0.6104531288146973,0.273753821849823,0.37305355072021484,1.6377284526824951,test,0.6289770603179932,0.442951500415802,191.9647674560547,1.2744630214246415,128,4.332887649536133,0.03385068476200104,9.530350685119629,0.8600215315818787,0.4396232345277605
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,50,5,convs.4,2048,2048,18,0.443161278963089,0.76856929063797,0.325408011674881,0.5127058029174805,1.534711480140686,test,0.7240116596221924,0.489374041557312,431.52130126953125,1.2214503983293705,18,3.461453914642334,0.19230299525790745,14.39261245727539,14.316024780273438,0.4396232345277605
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,100,1,convs.0,2048,2048,18,0.17836055159568787,0.27279841899871826,0.0944378674030304,0.11356943845748901,0.5009476542472839,test,0.2747507691383362,0.22089742124080658,6.578320026397705,0.5640641210355198,128,37.55674743652344,0.29341208934783936,3.162733316421509,0.03487352281808853,0.5575358133933633
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,100,2,convs.1,2048,2048,18,0.3218120038509369,0.6972135901451111,0.3754015862941742,0.5187844038009644,1.3657135963439941,test,0.7314707636833191,0.6573383212089539,7.586233615875244,1.607799525264391,128,16.670042037963867,0.1302347034215927,1.8049002885818481,0.03090117871761322,0.5575358133933633
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,100,3,convs.2,2048,2048,18,0.3473798930644989,0.7282272577285767,0.38084736466407776,0.5428186655044556,1.4417084455490112,test,0.7535451650619507,0.6328004002571106,25.795438766479492,1.385293592239215,128,10.014764785766602,0.07824034988880157,3.6074161529541016,0.12135569006204605,0.5575358133933633
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,100,4,convs.3,2048,2048,18,0.3557879328727722,0.7463237047195435,0.39053577184677124,0.5665223598480225,1.7561595439910889,test,0.7317255735397339,0.6391521692276001,359.2004699707031,1.5433200716308944,128,7.811418533325195,0.06102670729160309,12.476479530334473,1.416616678237915,0.5575358133933633
RW-Roman-empire-H0.1-LOW,GraphSAGE,1,0,5,128,100,5,convs.4,2048,2048,18,0.3827991783618927,0.800144374370575,0.41734519600868225,0.6280820369720459,1.5093976259231567,test,0.7488921880722046,0.6410956382751465,1160.2635498046875,1.582857526354372,18,5.5387983322143555,0.30771101845635307,22.406965255737305,31.423715591430664,0.5575358133933633
