dataset,model,depth,seed,best_epoch,best_val,test_best,target_h,realized_h
RW-PubMed-H0.1-LOW,GCNPairNorm,2,1,16,0.6693711876869202,0.650874137878418,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCNPairNorm,2,2,21,0.656693696975708,0.6544542908668518,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCNPairNorm,2,3,17,0.6779918670654297,0.6573781371116638,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCNPairNorm,2,4,13,0.6653143763542175,0.6514708399772644,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCNPairNorm,2,5,15,0.6774847507476807,0.664717435836792,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCNPairNorm,4,1,7,0.5988843441009521,0.5776597261428833,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCNPairNorm,4,2,8,0.5715010166168213,0.573900580406189,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCNPairNorm,4,3,9,0.5917849540710449,0.5672175884246826,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCNPairNorm,4,4,7,0.5846855640411377,0.5731845498085022,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCNPairNorm,4,5,6,0.5856997966766357,0.5814189314842224,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCNPairNorm,8,1,185,0.4918864071369171,0.4664359390735626,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCNPairNorm,8,2,1353,0.48732250928878784,0.46112534403800964,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCNPairNorm,8,3,2318,0.4898580014705658,0.47067245841026306,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCNPairNorm,8,4,938,0.47718051075935364,0.4707321226596832,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCNPairNorm,8,5,1416,0.4863083064556122,0.4567098021507263,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCN,2,1,284,0.6977687478065491,0.6718181371688843,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCN,2,2,2079,0.6825557351112366,0.674562931060791,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCN,2,3,1442,0.6977687478065491,0.6776657104492188,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCN,2,4,63,0.6926977634429932,0.6845873594284058,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCN,2,5,151,0.6967545747756958,0.675696611404419,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCN,4,1,2259,0.5730223059654236,0.5607136487960815,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCN,4,2,83,0.5775861740112305,0.5727071762084961,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCN,4,3,91,0.5856997966766357,0.5630407333374023,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCN,4,4,550,0.5755577683448792,0.5728265047073364,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCN,4,5,94,0.5765720009803772,0.5569544434547424,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCN,8,1,4,0.40263691544532776,0.40360403060913086,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCN,8,2,24,0.41430020332336426,0.4162539541721344,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCN,8,3,914,0.41227179765701294,0.40545377135276794,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCN,8,4,34,0.41227179765701294,0.4058714509010315,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GCN,8,5,2329,0.41937118768692017,0.4031863510608673,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,10,1,2324,0.8377282023429871,0.8304194808006287,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,10,2,2384,0.8504056334495544,0.8378781080245972,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,10,3,2088,0.8402636647224426,0.8349543213844299,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,10,4,726,0.8412778973579407,0.8359090685844421,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,10,5,1704,0.8575050234794617,0.8379974961280823,0.1,0.10001353919506073
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,2,1,2342,0.8174442052841187,0.8023748397827148,0.1,0.10001353919506073
