dataset,h,family,n,baseline_L2,baseline_L8,pairnorm_L2,pairnorm_L8,baseline_depth_loss_pp,pairnorm_depth_loss_pp,mitigation_pp,mitigation_ci_low_pp,mitigation_ci_high_pp,mitigation_positive,exact_signflip_p,cohen_dz,pairnorm_L8_effect_pp
PubMed,0.1,GCN,5,0.6768661499023437,0.4068739116191864,0.655778968334198,0.46513513326644895,26.99922382831573,19.064383506774902,7.9348403215408325,6.854824423789976,9.014856219291687,5,0.0625,5.503803539311533,5.826122164726257
PubMed,0.1,GraphSAGE,5,0.8587146997451782,0.399367481470108,0.8135210752487183,0.8348946690559387,45.93472182750703,-2.137359380722046,48.07208120822907,47.3918503522873,48.85732829570772,5,0.0625,49.98609097419238,43.552718758583076
PubMed,0.5,GCN,5,0.7196610569953918,0.4046184062957763,0.6943134903907776,0.5895459055900574,31.50426506996155,10.476758480072021,21.02750658988953,20.21122753620148,21.935676336288456,5,0.0625,19.085760537147877,18.492749929428104
PubMed,0.5,GraphSAGE,5,0.810979163646698,0.399367481470108,0.7720866203308105,0.7809177041053772,41.161168217659004,-0.883108377456665,42.04427659511567,41.46906316280366,42.66245305538178,5,0.0625,52.859995091831415,38.155022263526924
PubMed,0.9,GCN,5,0.9080016493797303,0.8245957136154175,0.8993257045745849,0.8930842876434326,8.34059357643128,0.6241416931152366,7.716451883316042,0.18378257751465066,22.096784114837646,4,0.1875,0.48125264046876537,6.848857402801515
PubMed,0.9,GraphSAGE,5,0.8865922570228577,0.7880422174930573,0.8745151638984681,0.8856494784355163,9.855003952980043,-1.113431453704834,10.968435406684875,0.7852506637573243,30.689181685447693,5,0.0625,0.49965794070953,9.76072609424591
Roman-Empire,0.1,GCN,5,0.4153247117996216,0.21828375458717342,0.32776826024055483,0.19111249744892117,19.70409572124482,13.665576279163364,6.038519442081456,3.4304115176200884,9.079581499099735,5,0.0625,1.6926971997791367,-2.717125713825223
Roman-Empire,0.1,GraphSAGE,5,0.6798006534576416,0.5189222812652587,0.6452681183815002,0.5556143879890442,16.08783721923828,8.965373039245605,7.122464179992677,3.647409081459045,10.412710905075077,5,0.0625,1.5753637511958962,3.669210672378541
Roman-Empire,0.5,GCN,5,0.6633961439132691,0.49622592329978943,0.5721434950828552,0.4958417654037476,16.717022061347965,7.63017296791077,9.086849093437195,8.321649432182308,9.720187187194826,5,0.0625,10.09058526019226,-0.03841578960418701
Roman-Empire,0.5,GraphSAGE,5,0.7708560466766358,0.7182474136352539,0.7272594928741455,0.786782956123352,5.260863304138184,-5.952346324920654,11.213209629058838,8.48050832748413,14.47023034095764,5,0.0625,2.967921033121077,6.853554248809815
Roman-Empire,0.9,GCN,5,0.8783886194229126,0.901043438911438,0.8323106288909912,0.9060789942741394,-2.265481948852539,-7.376836538314817,5.1113545894622785,4.032599925994873,5.937809944152829,5,0.0625,4.199252307882211,0.5035555362701394
Roman-Empire,0.9,GraphSAGE,5,0.8675907015800476,0.9855162620544433,0.8380003094673156,0.9813009262084961,-11.792556047439573,-14.330061674118042,2.537505626678469,2.2374498844146773,2.788764238357544,5,0.0625,7.075000534943984,-0.42153358459472434
