dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,class_metric_scope,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
RW-PubMed-H0.1-REP,GCN,5,0,7,128,0,1,convs.0,2048,2048,3,0.8327323794364929,0.8428310751914978,0.010098695755004883,0.06729316711425781,0.008236956782639027,test,0.8325070142745972,0.46218037605285645,0.02430558018386364,1.2818830232140521,128,116.31575775146484,0.9087168574333191,0.13252797722816467,0.0001260604476556182,
RW-PubMed-H0.1-REP,GCN,5,0,7,128,0,2,convs.1,2048,2048,3,0.490620493888855,0.5002687573432922,0.009648263454437256,0.020186543464660645,0.01104217953979969,test,0.49071621894836426,0.16115452349185944,0.0047168550081551075,0.9798811957887829,128,91.56436157226562,0.7153465747833252,0.06563868373632431,2.0407376723596826e-05,
RW-PubMed-H0.1-REP,GCN,5,0,7,128,0,3,convs.2,2048,2048,3,0.24261467158794403,0.24497076869010925,0.002356097102165222,0.0035660862922668457,0.004829972982406616,test,0.24883908033370972,0.05670090392231941,0.0018362760310992599,1.015504813727977,128,74.88990020751953,0.5850773453712463,0.039434291422367096,4.924297172692604e-06,
RW-PubMed-H0.1-REP,GCN,5,0,7,128,0,4,convs.3,2048,2048,3,0.127994105219841,0.12972858548164368,0.0017344802618026733,0.0021935701370239258,0.005861546378582716,test,0.12709468603134155,0.023652276024222374,0.0010938135674223304,1.0793080830474948,128,60.0098762512207,0.46882715821266174,0.029176052659749985,2.1101109268784057e-06,
RW-PubMed-H0.1-REP,GCN,5,0,7,128,0,5,convs.4,2048,2048,3,0.07413168251514435,0.07479055225849152,0.000658869743347168,0.0008218884468078613,0.002525065094232559,test,0.07432466745376587,0.011636479757726192,0.0006068760994821787,1.14698332019982,128,48.60847473144531,0.3797537088394165,0.020925436168909073,9.674299690232147e-07,
RW-PubMed-H0.1-REP,GCN,5,0,7,128,0,6,convs.5,2048,2048,3,0.033519208431243896,0.03377643972635269,0.00025723129510879517,0.00031566619873046875,0.0028937675524502993,test,0.0324481725692749,0.004369757603853941,0.00044707042980007827,1.1964455467067694,128,34.08902359008789,0.26632049679756165,0.01749543659389019,6.036299282641266e-07,
RW-PubMed-H0.1-REP,GCN,5,0,7,128,0,7,convs.6,2048,2048,3,0.00772410212084651,0.007798506412655115,7.44042918086052e-05,8.690357208251953e-05,0.0020289346575737,test,0.008607029914855957,0.0009816273814067245,1.5291027011699043e-05,1.2233960404627473,3,1.8587623834609985,0.6195874611536661,0.0031826291233301163,8.156399644576595e-07,
RW-PubMed-H0.1-REP,GCN,5,0,7,128,1,1,convs.0,2048,2048,3,0.361283540725708,0.3661399483680725,0.004856407642364502,0.008210182189941406,0.008907172828912735,test,0.3599897623062134,0.20521049201488495,0.018205448985099792,0.5940411581460692,128,116.64034271240234,0.9112526774406433,0.1731739640235901,9.201033390127122e-05,0.20407406490162344
RW-PubMed-H0.1-REP,GCN,5,0,7,128,1,2,convs.1,2048,2048,3,0.06445261090993881,0.06576129049062729,0.0013086795806884766,0.001495659351348877,0.011242459528148174,test,0.06473827362060547,0.046764496713876724,0.0136369988322258,0.4469689745396523,128,72.97815704345703,0.5701418519020081,0.17185135185718536,2.3155060262070037e-05,0.20407406490162344
RW-PubMed-H0.1-REP,GCN,5,0,7,128,1,3,convs.2,2048,2048,3,0.016275819391012192,0.016405783593654633,0.0001299642026424408,0.00015592575073242188,0.005290082190185785,test,0.015345096588134766,0.021747911348938942,0.020365150645375252,0.48232372649448374,128,30.765531539916992,0.2403557151556015,0.20068798959255219,2.1090185327921063e-05,0.20407406490162344
RW-PubMed-H0.1-REP,GCN,5,0,7,128,1,4,convs.3,2048,2048,3,0.011789695359766483,0.011843080632388592,5.338527262210846e-05,7.05718994140625e-05,0.004301544278860092,test,0.012204349040985107,0.02217021770775318,0.032459549605846405,0.6259571872086915,128,11.272257804870605,0.0880645141005516,0.2203138768672943,3.185764217050746e-05,0.20407406490162344
RW-PubMed-H0.1-REP,GCN,5,0,7,128,1,5,convs.4,2048,2048,3,0.00940948911011219,0.009430257603526115,2.076849341392517e-05,3.4809112548828125e-05,0.0028608746360987425,test,0.009863317012786865,0.017803194001317024,0.04768854379653931,0.7034790772431951,128,5.232996940612793,0.040882788598537445,0.2501242160797119,4.700351200881414e-05,0.20407406490162344
RW-PubMed-H0.1-REP,GCN,5,0,7,128,1,6,convs.5,2048,2048,3,0.0084091667085886,0.00841892883181572,9.762123227119446e-06,2.2232532501220703e-05,0.0018088227370753884,test,0.009071409702301025,0.015275702811777592,0.05892982333898544,0.7384511550128734,128,3.0516090393066406,0.02384069561958313,0.27010905742645264,6.002239024383016e-05,0.20407406490162344
RW-PubMed-H0.1-REP,GCN,5,0,7,128,1,7,convs.6,2048,2048,3,0.00024952474632300436,0.00024983874754980206,3.1400122679769993e-07,5.960464477539062e-07,0.0037098880857229233,test,0.0002524852752685547,0.00025094361626543105,0.025666486471891403,1.0016838675975868,3,1.206139326095581,0.40204644203186035,0.1496739685535431,0.0010756164556369185,0.20407406490162344
RW-PubMed-H0.1-REP,GCN,5,0,7,128,2,1,convs.0,2048,2048,3,0.13605988025665283,0.1376933753490448,0.0016334950923919678,0.0020778775215148926,0.008190399967133999,test,0.13543164730072021,0.07637969404459,0.015104124322533607,0.25432788962454406,128,115.75857543945312,0.9043638706207275,0.2426653355360031,6.679673970211297e-05,0.15900315053621228
RW-PubMed-H0.1-REP,GCN,5,0,7,128,2,2,convs.1,2048,2048,3,0.02002483420073986,0.020332537591457367,0.0003077033907175064,0.00034332275390625,0.0073440722189843655,test,0.019669413566589355,0.026873944327235222,0.042237017303705215,0.4309579076555558,128,45.67683792114258,0.3568502962589264,0.30729326605796814,4.467598773771897e-05,0.15900315053621228
