dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,class_metric_scope,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,5,0,8,128,0,1,convs.0,2048,2048,3,0.20554330945014954,0.21081380546092987,0.0052704960107803345,0.006949067115783691,0.017268873751163483,test,0.20329594612121582,0.1569281667470932,0.03120146133005619,0.31048625573210714,128,121.29468536376953,0.9476147294044495,0.3163315951824188,0.00016649399185553193,
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,5,0,8,128,0,2,pns.0,2048,2048,3,0.9821130037307739,1.0080933570861816,0.025980353355407715,1.4551000595092773,0.017231369391083717,test,0.9999727010726929,0.9441960453987122,1.4633986949920654,1.4640852188120124,128,121.6875228881836,0.9506837725639343,0.9687797427177429,0.007808835711330175,
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,5,0,8,128,0,3,convs.1,2048,2048,3,0.26172590255737305,0.26613757014274597,0.004411667585372925,0.006430447101593018,0.011420031078159809,test,0.2655472159385681,0.19107381999492645,0.21418048441410065,0.36539957911477844,128,112.484619140625,0.8787860870361328,0.7597458362579346,0.0013070493005216122,
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,5,0,8,128,0,4,pns.1,2048,2048,3,0.9864077568054199,1.00486159324646,0.01845383644104004,1.3191566467285156,0.011948768980801105,test,0.998223602771759,0.940272331237793,1.2801239490509033,1.2802005601741322,128,112.38028717041016,0.8779709935188293,0.9601483941078186,0.007812033407390118,
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,5,0,8,128,0,5,convs.2,2048,2048,3,0.2616092264652252,0.264801949262619,0.003192722797393799,0.004779815673828125,0.00841547455638647,test,0.2644801735877991,0.17805984616279602,0.1903131753206253,0.33186127291993306,128,109.00459289550781,0.8515983819961548,0.7501398324966431,0.0012811855413019657,
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,5,0,8,128,0,6,pns.2,2048,2048,3,0.9875180125236511,1.002312421798706,0.014794409275054932,1.1682345867156982,0.009420409798622131,test,0.9970772862434387,0.9134441614151001,1.1604337692260742,1.1605046008057132,128,108.86071014404297,0.8504742980003357,0.9521625638008118,0.007812023162841797,
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,5,0,8,128,0,7,convs.3,2048,2048,3,0.2698478698730469,0.2726338803768158,0.002786010503768921,0.004261493682861328,0.007566331420093775,test,0.2746730446815491,0.1754133105278015,0.1783517450094223,0.3270722594344454,128,107.56310272216797,0.8403367400169373,0.7309874296188354,0.0012780728284269571,
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,5,0,8,128,0,8,pns.3,2048,2048,3,0.9885836839675903,0.9991397857666016,0.01055610179901123,0.9469146728515625,0.006815200671553612,test,0.9953312873840332,0.8915010094642639,1.090147614479065,1.0902141558704144,128,107.74698638916016,0.8417733311653137,0.9427541494369507,0.007812023162841797,
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,5,0,8,128,0,9,convs.4,2048,2048,3,0.2190200537443161,0.22109995782375336,0.002079904079437256,0.00299227237701416,0.006859478075057268,test,0.21829044818878174,0.13782458007335663,0.17226046323776245,0.26178726165664207,128,107.65243530273438,0.8410346508026123,0.8037800788879395,0.0012562696356326342,
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,5,0,8,128,0,10,pns.4,2048,2048,3,0.9893634915351868,0.9991703033447266,0.009806811809539795,0.954124391078949,0.006292460951954126,test,0.9926475286483765,0.8826119899749756,1.07118821144104,1.0712548088291651,128,107.463134765625,0.8395557403564453,0.9388921856880188,0.007812014780938625,
