dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,class_metric_scope,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,0,1,convs.0,2048,2048,3,0.19086520373821259,0.1955951750278473,0.004729971289634705,0.00606536865234375,0.016755253076553345,test,0.1915484070777893,0.14866742491722107,0.03120306134223938,0.29285317951330336,128,121.45106506347656,0.9488364458084106,0.3258594870567322,0.00016480288468301296,
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,0,2,convs.1,2048,2048,3,0.010835673660039902,0.010986699722707272,0.00015102606266736984,0.00016880035400390625,0.010145235806703568,test,0.010717630386352539,0.006838356144726276,0.0059517077170312405,0.013761961795232059,128,102.60640716552734,0.8016125559806824,0.6575889587402344,3.658574860310182e-05,
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,0,3,convs.2,2048,2048,3,0.002814148087054491,0.002854085760191083,3.993767313659191e-05,4.416704177856445e-05,0.010393691249191761,test,0.0027427077293395996,0.0015736606437712908,0.001359317684546113,0.0031659304652677735,128,90.40470123291016,0.7062867283821106,0.655246376991272,9.303483238909394e-06,
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,0,4,convs.3,2048,2048,3,0.0007076629553921521,0.0007154068443924189,7.74388900026679e-06,8.702278137207031e-06,0.008368748240172863,test,0.0006948113441467285,0.00037371093640103936,0.00030752195743843913,0.0007526600455061845,128,81.53971099853516,0.6370289921760559,0.6392010450363159,2.2154117687023245e-06,
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,0,5,convs.4,2048,2048,3,0.00013616503565572202,0.00013674604997504503,5.810143193230033e-07,7.748603820800781e-07,0.005028447601944208,test,0.00013494491577148438,7.241634011734277e-05,1.6925192767303088e-06,0.00020300635621713333,3,2.95847487449646,0.98615829149882,0.09130580723285675,5.528779070118617e-07,
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,1,1,convs.0,2048,2048,3,0.11252395063638687,0.11890128254890442,0.006377331912517548,0.007323563098907471,0.03854137286543846,test,0.11484616994857788,0.09265245497226715,0.01919362135231495,0.18627480151771933,128,119.6014404296875,0.9343862533569336,0.3207021653652191,9.436281106900424e-05,0.18876066012864953
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,1,2,convs.1,2048,2048,3,0.004825362004339695,0.005166164133697748,0.0003408021293580532,0.0003495216369628906,0.048392292112112045,test,0.005029857158660889,0.0036230720579624176,0.003243696875870228,0.007381158885769261,128,96.04890441894531,0.7503820657730103,0.6628825068473816,1.7632144590606913e-05,0.18876066012864953
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,1,3,convs.2,2048,2048,3,0.00046750728506594896,0.000513397273607552,4.588998854160309e-05,4.673004150390625e-05,0.06337640434503555,test,0.000489354133605957,0.00034111065906472504,0.0007132185273803771,0.0006983085396287845,128,79.50911712646484,0.6211649775505066,1.0106067657470703,4.205673121759901e-06,0.18876066012864953
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,1,4,convs.3,2048,2048,3,4.109549263375811e-05,4.551634629024193e-05,4.420853656483814e-06,4.410743713378906e-06,0.060814399272203445,test,4.315376281738281e-05,2.8600175937754102e-05,0.00013205829600337893,6.19491941811672e-05,128,60.56879425048828,0.4731937050819397,1.4600341320037842,8.784731448940875e-07,0.18876066012864953
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,1,5,convs.4,2048,2048,3,5.30772069851082e-07,5.882290565750736e-07,5.7456986723991577e-08,0.0,0.011406592093408108,test,4.76837158203125e-07,3.6886726206830645e-07,2.169328126910841e-06,3.109396194106691e-06,3,2.2065834999084473,0.7355278333028158,0.8352632522583008,1.4522378251058399e-06,0.18876066012864953
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,2,1,convs.0,2048,2048,3,0.07564601302146912,0.08685960620641708,0.011213593184947968,0.01221621036529541,0.0985838994383812,test,0.08362680673599243,0.07247952371835709,0.013873349875211716,0.1503129647459274,128,112.789306640625,0.8811664581298828,0.3034684360027313,6.130171095719561e-05,0.20332124760422415
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,2,2,convs.1,2048,2048,3,0.004339129198342562,0.005126534029841423,0.0007874048314988613,0.000797271728515625,0.12418397516012192,test,0.004846036434173584,0.0038127941079437733,0.0017831336008384824,0.007711809462563293,128,72.82318878173828,0.5689311623573303,0.4808354675769806,8.86525413079653e-06,0.20332124760422415
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,2,3,convs.2,2048,2048,3,0.00033439398976042867,0.00040498445741832256,7.05904676578939e-05,7.11679458618164e-05,0.1359684020280838,test,0.0003731250762939453,0.00027962919557467103,0.00033179036108776927,0.0005713042087719664,128,59.2458381652832,0.462858110666275,0.7620686292648315,1.799861024665006e-06,0.20332124760422415
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,2,4,convs.3,2048,2048,3,2.925447370216716e-05,3.65462910849601e-05,7.291817382792942e-06,7.271766662597656e-06,0.1593465507030487,test,3.337860107421875e-05,2.770538230834063e-05,4.868818723480217e-05,5.699093658466386e-05,128,41.514678955078125,0.32433342933654785,0.9242902398109436,2.392335147760605e-07,0.20332124760422415
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,2,5,convs.4,2048,2048,3,6.182181664371456e-07,8.073139383668604e-07,1.8909577192971483e-07,1.1920928955078125e-07,0.12511910498142242,test,7.152557373046875e-07,6.257707809709245e-07,2.957086451260693e-07,2.0184144336150494e-06,3,2.6748526096343994,0.8916175365447998,0.3827599585056305,1.11869653096619e-07,0.20332124760422415
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,4,1,convs.0,2048,2048,3,0.030488472431898117,0.04264608770608902,0.012157615274190903,0.01257544755935669,0.23835349082946777,test,0.03916698694229126,0.039243802428245544,0.011588381603360176,0.09019544025886665,128,94.51557922363281,0.7384029626846313,0.3571367561817169,4.75661909149494e-05,0.07745052833955826
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,4,2,convs.1,2048,2048,3,0.002979811979457736,0.003996965475380421,0.0010171534959226847,0.0010242462158203125,0.22453396022319794,test,0.003752410411834717,0.0027873830404132605,0.0007545657572336495,0.005657397307275756,128,44.59498977661133,0.348398357629776,0.3651949167251587,3.941803697671276e-06,0.07745052833955826
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,4,3,convs.2,2048,2048,3,0.00015363239799626172,0.00020463333930820227,5.100094131194055e-05,5.1140785217285156e-05,0.18787667155265808,test,0.0001862645149230957,0.00012775247159879655,0.0001471810828661546,0.00028164606902856415,128,32.3890495300293,0.2530394494533539,0.7228744029998779,9.872920827547205e-07,0.07745052833955826
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,4,4,convs.3,2048,2048,3,9.075640264200047e-06,1.1820685358543415e-05,2.745045094343368e-06,2.682209014892578e-06,0.20124171674251556,test,1.1205673217773438e-05,7.825678949302528e-06,1.214267649629619e-05,1.606947651199209e-05,128,25.839719772338867,0.2018728107213974,0.86927330493927,6.73851090482458e-08,0.07745052833955826
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,4,5,convs.4,2048,2048,3,2.9641378773703764e-07,4.685007866100932e-07,1.7208699887305556e-07,1.1920928955078125e-07,0.3967788815498352,test,4.76837158203125e-07,4.6375407691812143e-07,1.1090051543760637e-07,9.867571513147038e-07,3,2.7366955280303955,0.9122318426767985,0.3352445065975189,1.8900145448697003e-08,0.07745052833955826
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,8,1,convs.0,2048,2048,3,0.04136515036225319,0.05439149588346481,0.013026345521211624,0.013625741004943848,0.20620006322860718,test,0.04971891641616821,0.04202834889292717,0.013805501163005829,0.09803989314645674,128,102.419921875,0.8001556396484375,0.37368589639663696,6.440702418331057e-05,0.027421694646750164
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,8,2,convs.1,2048,2048,3,0.003183578373864293,0.004929442889988422,0.0017458645161241293,0.0017557144165039062,0.34771546721458435,test,0.004427611827850342,0.0042680008336901665,0.0010346968192607164,0.008781008735062448,128,39.55994415283203,0.30906206369400024,0.34324121475219727,4.30610089097172e-06,0.027421694646750164
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,8,3,convs.2,2048,2048,3,0.0001361021859338507,0.0002012967597693205,6.519457383546978e-05,6.54458999633789e-05,0.26889270544052124,test,0.00017851591110229492,0.00016674601647537202,0.00022094794258009642,0.00037089954705523195,128,19.036277770996094,0.14872092008590698,0.7717986702919006,1.1019317298632814e-06,0.027421694646750164
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,8,4,convs.3,2048,2048,3,7.043932328087976e-06,1.128458734456217e-05,4.240655016474193e-06,4.112720489501953e-06,0.34427013993263245,test,9.775161743164062e-06,1.0660136467777193e-05,3.411717261769809e-05,2.3087861733215493e-05,128,14.02049732208252,0.10953513532876968,1.2156093120574951,1.5032739497655712e-07,0.027421694646750164
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,8,5,convs.4,2048,2048,3,5.370873736865178e-07,1.0117868214365444e-06,4.746994477500266e-07,2.980232238769531e-07,0.3505164682865143,test,8.344650268554688e-07,1.1840082834169152e-06,1.077156980500149e-06,2.8084092899367505e-06,3,2.365069627761841,0.7883565425872803,0.6193113923072815,2.2510982944368152e-07,0.027421694646750164
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,16,1,convs.0,2048,2048,3,0.07567036151885986,0.16380688548088074,0.08813652396202087,0.09559440612792969,0.7271575331687927,test,0.13937890529632568,0.17489291727542877,0.06648993492126465,0.4165167137769375,128,49.8654899597168,0.3895741403102875,0.39605170488357544,0.00020310717809479684,0.08661123638682368
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,16,2,convs.1,2048,2048,3,0.11887291818857193,0.24838986992835999,0.12951695173978806,0.14696502685546875,0.6636677384376526,test,0.2185840606689453,0.3116283416748047,0.1803029328584671,0.6983167921643985,128,5.43709135055542,0.04247727617621422,0.5023383498191833,0.0005129453493282199,0.08661123638682368
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,16,3,convs.2,2048,2048,3,0.07230234146118164,0.1386243849992752,0.06632204353809357,0.0711594820022583,0.5833019018173218,test,0.12481582164764404,0.17927822470664978,0.2905641198158264,0.38317268429181717,128,3.9556617736816406,0.030903607606887817,0.8668966889381409,0.0008107863832265139,0.08661123638682368
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,16,4,convs.3,2048,2048,3,0.06916794925928116,0.13118524849414825,0.062017299234867096,0.06614208221435547,0.5738073587417603,test,0.11133933067321777,0.16590450704097748,0.3189120888710022,0.3567155636374546,128,3.7455761432647705,0.02926231361925602,0.9384387135505676,0.0009151717531494796,0.08661123638682368
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,16,5,convs.4,2048,2048,3,0.047761525958776474,0.09595179557800293,0.048190269619226456,0.050316810607910156,0.6627002954483032,test,0.07875192165374756,0.12321195751428604,0.08264155685901642,0.25637825139448334,3,1.5821385383605957,0.5273795127868652,0.566421389579773,0.009404918178915977,0.08661123638682368
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,32,1,convs.0,2048,2048,3,0.1835501492023468,0.405044823884964,0.2214946746826172,0.2700880169868469,0.7404710054397583,test,0.3307797908782959,0.3679889440536499,0.25406497716903687,0.8602960869624011,128,34.602195739746094,0.27032965421676636,0.5347943305969238,0.0008838426438160241,0.40152010046390607
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,32,2,convs.1,2048,2048,3,0.24900366365909576,0.6788919568061829,0.4298882931470871,0.5697169303894043,0.8247480392456055,test,0.5834565162658691,0.7551186084747314,1.6282758712768555,1.9235911851463319,128,4.171268463134766,0.032588034868240356,0.8056381344795227,0.004690565634518862,0.40152010046390607
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,32,3,convs.2,2048,2048,3,0.25323686003685,0.7327908873558044,0.47955402731895447,0.6312478184700012,1.0642057657241821,test,0.6141767501831055,0.8312987089157104,9.58230209350586,1.9976374935323329,128,2.698683500289917,0.021083464846014977,1.9821418523788452,0.02684912085533142,0.40152010046390607
RW-PubMed-H0.1-REP,GraphSAGE,1,0,5,128,32,4,convs.3,2048,2048,3,0.27007582783699036,0.7613995671272278,0.4913237392902374,0.657070517539978,1.258370280265808,test,0.6264986991882324,0.8545588850975037,48.28057098388672,1.9702882780221866,128,2.8852858543395996,0.022541295737028122,4.595385551452637,0.13641320168972015,0.40152010046390607
