dataset_name,h,model,depth,n,test_mean,test_std,best_epoch_mean
PubMed,0.1,GCN,2,5,0.7335699677467347,0.009153093689398283,1137.0
PubMed,0.1,GCN,3,5,0.6525354743003845,0.025591932405636748,2035.6
PubMed,0.1,GCN,4,5,0.6659736156463623,0.010915310564673887,1374.4
PubMed,0.1,GCN,5,5,0.42327585220336916,0.03333990007027824,347.2
PubMed,0.1,GCN,6,5,0.40664299130439757,0.004875151317633193,1058.2
PubMed,0.1,GCN,7,5,0.40425962805747984,0.003579459658164659,948.2
PubMed,0.1,GCN,8,5,0.4074543476104736,0.005288198220185968,724.8
PubMed,0.1,GCNPairNorm,2,5,0.7306795001029969,0.007972523409334067,400.0
PubMed,0.1,GCNPairNorm,3,5,0.6551723957061768,0.00875758184674312,153.0
PubMed,0.1,GCNPairNorm,4,5,0.6597362875938415,0.009868906404151443,412.8
PubMed,0.1,GCNPairNorm,5,5,0.6823022127151489,0.008763060628922445,1335.4
PubMed,0.1,GCNPairNorm,6,5,0.6932555556297302,0.004898173391017387,829.6
PubMed,0.1,GCNPairNorm,7,5,0.7032961368560791,0.012752556859755359,1261.6
PubMed,0.1,GCNPairNorm,8,5,0.7080628514289856,0.003868624511846247,1298.6
PubMed,0.1,GraphSAGE,2,5,0.9110040307044983,0.00611681822824124,1554.0
PubMed,0.1,GraphSAGE,3,5,0.9228701710700988,0.0035288059246670945,1400.6
PubMed,0.1,GraphSAGE,4,5,0.9240364909172059,0.005953281635343813,1429.8
PubMed,0.1,GraphSAGE,5,5,0.9230222940444947,0.00538935755854422,836.0
PubMed,0.1,GraphSAGE,6,5,0.7095841646194458,0.2832227124176735,894.0
PubMed,0.1,GraphSAGE,7,5,0.3993407487869262,0.0,1.2
PubMed,0.1,GraphSAGE,8,5,0.3993407487869262,0.0,1.4
PubMed,0.1,GraphSAGEPairNorm,2,5,0.9108011960983277,0.00465594189055451,748.4
PubMed,0.1,GraphSAGEPairNorm,3,5,0.9209431886672974,0.0062168871060500515,1002.8
PubMed,0.1,GraphSAGEPairNorm,4,5,0.9221095085144043,0.005436268032405485,588.4
PubMed,0.1,GraphSAGEPairNorm,5,5,0.9236308097839355,0.0037324410626979965,1000.2
PubMed,0.1,GraphSAGEPairNorm,6,5,0.9245942831039429,0.003606290175986309,566.6
PubMed,0.1,GraphSAGEPairNorm,7,5,0.9247971415519715,0.0039508182008602495,1426.4
PubMed,0.1,GraphSAGEPairNorm,8,5,0.9232251286506653,0.004960132091772668,505.6
PubMed,0.5,GCN,2,5,0.75841783285141,0.004296905139945142,1045.6
PubMed,0.5,GCN,3,5,0.735598349571228,0.005065928680806712,875.4
PubMed,0.5,GCN,4,5,0.7241379022598267,0.00625194801703147,618.4
PubMed,0.5,GCN,5,5,0.7188640832901001,0.006301623576866743,1491.4
PubMed,0.5,GCN,6,5,0.4231744289398193,0.018567220072241736,574.8
PubMed,0.5,GCN,7,5,0.41916834712028506,0.01056332517074521,1300.2
PubMed,0.5,GCN,8,5,0.417799186706543,0.008975798164723983,1327.4
PubMed,0.5,GCNPairNorm,2,5,0.7588235139846802,0.0029752888748879372,98.6
PubMed,0.5,GCNPairNorm,3,5,0.7235800981521606,0.0036452992255530635,35.4
PubMed,0.5,GCNPairNorm,4,5,0.7097362995147705,0.005237508861372986,35.2
PubMed,0.5,GCNPairNorm,5,5,0.7100912570953369,0.007002750359373142,43.2
PubMed,0.5,GCNPairNorm,6,5,0.7001013994216919,0.0055648095191542304,50.6
PubMed,0.5,GCNPairNorm,7,5,0.7027383208274841,0.004694434501162564,70.4
PubMed,0.5,GCNPairNorm,8,5,0.6970588088035583,0.004554732576167186,75.2
PubMed,0.5,GraphSAGE,2,5,0.8823529243469238,0.007309114091570098,1185.6
PubMed,0.5,GraphSAGE,3,5,0.8820486664772034,0.0032932152864249805,765.0
PubMed,0.5,GraphSAGE,4,5,0.879513168334961,0.005662162636283114,399.2
PubMed,0.5,GraphSAGE,5,5,0.8754056572914124,0.006314866198712003,656.2
PubMed,0.5,GraphSAGE,6,5,0.8672413349151611,0.010275181917835751,712.4
PubMed,0.5,GraphSAGE,7,5,0.5825557589530945,0.25093322885519825,141.0
PubMed,0.5,GraphSAGE,8,5,0.3993407487869262,0.0,1.8
PubMed,0.5,GraphSAGEPairNorm,2,5,0.8737829446792602,0.004596871320171171,946.2
PubMed,0.5,GraphSAGEPairNorm,3,5,0.880628788471222,0.006895904388068965,1242.8
PubMed,0.5,GraphSAGEPairNorm,4,5,0.8790060639381408,0.006460286285788881,665.8
PubMed,0.5,GraphSAGEPairNorm,5,5,0.8783975601196289,0.0016587638641727305,1034.4
PubMed,0.5,GraphSAGEPairNorm,6,5,0.8775861978530883,0.005209811258451668,1245.8
PubMed,0.5,GraphSAGEPairNorm,7,5,0.8795131564140319,0.004101720748531554,1012.4
PubMed,0.5,GraphSAGEPairNorm,8,5,0.8785496830940247,0.006652972596379891,834.2
Roman-Empire,0.1,GCN,2,5,0.5512022972106934,0.0033983157920923204,2039.0
Roman-Empire,0.1,GCN,3,5,0.4608868360519409,0.005872812048585962,2136.4
Roman-Empire,0.1,GCN,4,5,0.4348555147647858,0.005866582160622801,2100.8
Roman-Empire,0.1,GCN,5,5,0.3842488467693329,0.014737955189609669,2042.2
Roman-Empire,0.1,GCN,6,5,0.3412309765815734,0.011038380809252714,2241.8
Roman-Empire,0.1,GCN,7,5,0.3197882235050201,0.010248726327864935,2277.6
Roman-Empire,0.1,GCN,8,5,0.2878888219594955,0.040284328799618185,2126.0
Roman-Empire,0.1,GCNPairNorm,2,5,0.46516656279563906,0.006050757349202775,1297.2
Roman-Empire,0.1,GCNPairNorm,3,5,0.3390690505504608,0.009048819954438337,114.0
Roman-Empire,0.1,GCNPairNorm,4,5,0.31718509197235106,0.006801991531799192,133.4
Roman-Empire,0.1,GCNPairNorm,5,5,0.29706596732139584,0.00931593407329004,245.2
Roman-Empire,0.1,GCNPairNorm,6,5,0.2833443701267242,0.004691678776027275,327.0
Roman-Empire,0.1,GCNPairNorm,7,5,0.29058019518852235,0.009472386299342373,372.4
Roman-Empire,0.1,GCNPairNorm,8,5,0.28762409687042234,0.007930103486272915,1041.4
Roman-Empire,0.1,GraphSAGE,2,5,0.7934701323509217,0.004722170341193001,1810.0
Roman-Empire,0.1,GraphSAGE,3,5,0.8113390803337097,0.006917287941912955,1074.0
Roman-Empire,0.1,GraphSAGE,4,5,0.8052945137023926,0.0049071679242081575,534.8
Roman-Empire,0.1,GraphSAGE,5,5,0.8049856662750244,0.005763216257913932,1388.8
Roman-Empire,0.1,GraphSAGE,6,5,0.803529679775238,0.011865151520213472,2098.2
Roman-Empire,0.1,GraphSAGE,7,5,0.7927200555801391,0.018487792215221458,2313.6
Roman-Empire,0.1,GraphSAGE,8,5,0.765938663482666,0.019294381009483424,2146.8
Roman-Empire,0.1,GraphSAGEPairNorm,2,5,0.7654974699020386,0.003123705851248695,1531.8
Roman-Empire,0.1,GraphSAGEPairNorm,3,5,0.7917052745819092,0.003468460754974215,1651.4
Roman-Empire,0.1,GraphSAGEPairNorm,4,5,0.7949702382087708,0.003118254479974345,1828.0
Roman-Empire,0.1,GraphSAGEPairNorm,5,5,0.7916611671447754,0.0038829019963716096,1472.4
Roman-Empire,0.1,GraphSAGEPairNorm,6,5,0.7871167063713074,0.004300380565802699,2064.6
Roman-Empire,0.1,GraphSAGEPairNorm,7,5,0.7892786383628845,0.007502819176034983,1789.8
Roman-Empire,0.1,GraphSAGEPairNorm,8,5,0.7829693555831909,0.005847899107521084,2203.4
Roman-Empire,0.5,GCN,2,5,0.7589234590530396,0.007837510539950845,2056.0
Roman-Empire,0.5,GCN,3,5,0.7433487772941589,0.009631863219050312,2253.6
Roman-Empire,0.5,GCN,4,5,0.740304434299469,0.007278959375829304,1779.8
Roman-Empire,0.5,GCN,5,5,0.7239355921745301,0.011309713577645918,2174.4
Roman-Empire,0.5,GCN,6,5,0.6984337210655213,0.01269864784193066,2180.6
Roman-Empire,0.5,GCN,7,5,0.6815354108810425,0.01097338229180357,2284.8
Roman-Empire,0.5,GCN,8,5,0.6589896440505981,0.013476219165747472,2275.6
Roman-Empire,0.5,GCNPairNorm,2,5,0.7167438864707947,0.007358089621941121,928.4
Roman-Empire,0.5,GCNPairNorm,3,5,0.695257019996643,0.010656134540613184,376.8
Roman-Empire,0.5,GCNPairNorm,4,5,0.6908007979393005,0.0053824653655353445,321.4
Roman-Empire,0.5,GCNPairNorm,5,5,0.6761526823043823,0.009937006349657128,307.2
Roman-Empire,0.5,GCNPairNorm,6,5,0.6688285827636719,0.009003527739344363,670.4
Roman-Empire,0.5,GCNPairNorm,7,5,0.6616368889808655,0.007617098553804578,987.6
Roman-Empire,0.5,GCNPairNorm,8,5,0.6568718314170837,0.008086886176534438,1248.8
Roman-Empire,0.5,GraphSAGE,2,5,0.8781381130218506,0.0023841538320574893,1688.4
Roman-Empire,0.5,GraphSAGE,3,5,0.9189058184623718,0.003497109317805935,1389.4
Roman-Empire,0.5,GraphSAGE,4,5,0.9266710877418518,0.0019458242784211632,1089.0
Roman-Empire,0.5,GraphSAGE,5,5,0.9287006497383118,0.004065938746564107,1552.6
Roman-Empire,0.5,GraphSAGE,6,5,0.9282153129577637,0.004027473802015349,1535.4
Roman-Empire,0.5,GraphSAGE,7,5,0.92680344581604,0.006014050939204351,1910.6
Roman-Empire,0.5,GraphSAGE,8,5,0.9212000846862793,0.005029113177711941,2021.0
Roman-Empire,0.5,GraphSAGEPairNorm,2,5,0.8640194177627564,0.004149460030894765,1112.2
Roman-Empire,0.5,GraphSAGEPairNorm,3,5,0.9147143125534057,0.003576240123749566,2014.2
Roman-Empire,0.5,GraphSAGEPairNorm,4,5,0.9262298822402955,0.0038005512740939946,1353.8
Roman-Empire,0.5,GraphSAGEPairNorm,5,5,0.9283035516738891,0.003356513302148154,1863.0
Roman-Empire,0.5,GraphSAGEPairNorm,6,5,0.9295830607414246,0.004596846226282846,1099.2
Roman-Empire,0.5,GraphSAGEPairNorm,7,5,0.9322744488716126,0.003260926581809748,1428.0
Roman-Empire,0.5,GraphSAGEPairNorm,8,5,0.9305537343025208,0.002305285932838533,1836.6
