dataset,model,depth,graph_seed,seed,split_idx,best_epoch,best_val,test_best,data_path
RW-PubMed-H0.1-REP,GCNPairNorm,2,1,1,0,52,0.7491757869720459,0.7221094965934753,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GCNPairNorm,2,2,2,0,343,0.7461324334144592,0.7342799305915833,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GCNPairNorm,2,3,3,0,885,0.7387776374816895,0.7406186461448669,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GCNPairNorm,2,4,4,0,593,0.7489221692085266,0.7335192561149597,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GCNPairNorm,2,5,5,0,127,0.7441034913063049,0.7228701710700989,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GCNPairNorm,3,1,1,0,102,0.6776566505432129,0.6452839374542236,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GCNPairNorm,3,2,2,0,200,0.6758813261985779,0.6569472551345825,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GCNPairNorm,3,3,3,0,138,0.6616789698600769,0.6681034564971924,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GCNPairNorm,3,4,4,0,209,0.67512047290802,0.6564401388168335,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GCNPairNorm,3,5,5,0,116,0.6680192947387695,0.6490871906280518,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GCNPairNorm,4,1,1,0,755,0.68780118227005,0.6513691544532776,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GCNPairNorm,4,2,2,0,382,0.6756277084350586,0.6637930870056152,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GCNPairNorm,4,3,3,0,168,0.669287383556366,0.6736814975738525,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GCNPairNorm,4,4,4,0,539,0.6776566505432129,0.6604969501495361,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GCNPairNorm,4,5,5,0,220,0.66599041223526,0.6493407487869263,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GCNPairNorm,5,1,1,0,967,0.7007355093955994,0.6726673245429993,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GCNPairNorm,5,2,2,0,2294,0.7017499804496765,0.6848376989364624,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GCNPairNorm,5,3,3,0,1333,0.6951559782028198,0.6954867839813232,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GCNPairNorm,5,4,4,0,651,0.7014963626861572,0.6764705777168274,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GCNPairNorm,5,5,5,0,1432,0.6829825043678284,0.6820486783981323,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GCNPairNorm,6,1,1,0,559,0.7144306898117065,0.69447261095047,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GCNPairNorm,6,2,2,0,1752,0.7129089832305908,0.6919370889663696,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GCNPairNorm,6,3,3,0,408,0.7012427449226379,0.7010648846626282,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
