dataset,variant,model,replicate_design,graph_seed,init_seed,epoch,layer_name,embedding_dim,normalized_dirichlet_energy,effective_rank,effective_rank_ratio,mean_pairwise_cosine_distance
PubMed,full,GraphSAGEPairNorm,primary_graph_seed,1,,2400,pns.6,128,2.6608776735657824,4.864399909973133,0.0380031242966651,0.9979878067970276
PubMed,full,GraphSAGEPairNorm,primary_graph_seed,2,,2400,pns.6,128,2.570729405403105,4.837682247161856,0.037794392555952,0.9995018243789672
PubMed,full,GraphSAGEPairNorm,primary_graph_seed,3,,2400,pns.6,128,2.6781061145665386,4.702069282531737,0.0367349162697792,0.9989039301872252
PubMed,full,GraphSAGEPairNorm,primary_graph_seed,4,,2400,pns.6,128,2.628160597193918,4.460580825805658,0.0348482877016067,0.9937527179718018
PubMed,full,GraphSAGEPairNorm,primary_graph_seed,5,,2400,pns.6,128,2.7197281823692023,4.573347091674803,0.0357292741537094,0.9960156083106996
PubMed,baseline,GraphSAGE,primary_graph_seed,1,,2400,convs.6,128,7.0405568689725e-29,1.0,0.0078125,-1.1920928955078125e-07
PubMed,baseline,GraphSAGE,primary_graph_seed,2,,2400,convs.6,128,5.0344599991917725e-30,1.0,0.0078125,0.0
PubMed,baseline,GraphSAGE,primary_graph_seed,3,,2400,convs.6,128,2.107853571672265e-30,1.0,0.0078125,-1.1920928955078125e-07
PubMed,baseline,GraphSAGE,primary_graph_seed,4,,2400,convs.6,128,3.3956071204810123e-32,1.0,0.0078125,1.1920928955078125e-07
PubMed,baseline,GraphSAGE,primary_graph_seed,5,,2400,convs.6,128,2.5992511825413763e-25,1.0,0.0078125,1.1920928955078125e-07
Roman-Empire,full,GraphSAGEPairNorm,primary_graph_seed,1,,2400,pns.6,128,0.1769972840947732,16.13611221313476,0.1260633766651153,0.9980767369270324
Roman-Empire,full,GraphSAGEPairNorm,primary_graph_seed,2,,2400,pns.6,128,0.2119634317313898,17.70955848693847,0.1383559256792068,0.9978339672088624
Roman-Empire,full,GraphSAGEPairNorm,primary_graph_seed,3,,2400,pns.6,128,0.1719647707073407,17.117685317993164,0.1337319165468216,0.9981924295425416
Roman-Empire,full,GraphSAGEPairNorm,primary_graph_seed,4,,2400,pns.6,128,0.1722986732524915,17.449323654174798,0.1363228410482406,0.9960291981697084
Roman-Empire,full,GraphSAGEPairNorm,primary_graph_seed,5,,2400,pns.6,128,0.2021290282741316,17.47495651245116,0.1365230977535247,0.9974799156188964
Roman-Empire,baseline,GraphSAGE,primary_graph_seed,1,,2400,convs.6,128,0.1122501857881248,11.404446601867674,0.0890972390770912,0.9035003781318665
